project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
pugixml,2020-09-10 07:40:35.764000,"{pugixml,afl}","{22401bafaff996baecfb694ddc754855e184d377,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-11 06:40:14.218000,"{pugixml,afl}","{a3fad540a70bbba9349e8361aff8bff4dfdf7e67,82b5e359463238d790cadbe2dd494d6a4928bff3}",2784.0,9005.0,2819.0,9043.0,38.0,0.25712551230492764
pugixml,2020-09-11 06:40:14.218000,"{pugixml,afl}","{a3fad540a70bbba9349e8361aff8bff4dfdf7e67,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-12 06:21:05.843000,"{pugixml,afl}","{c4bae8d8185858435bdf22cd98ba7e58e67d9041,82b5e359463238d790cadbe2dd494d6a4928bff3}",2819.0,9043.0,2827.0,9050.0,7.0,0.06428585829642586
pugixml,2020-10-26 06:04:47.851000,"{pugixml,afl}","{c4bae8d8185858435bdf22cd98ba7e58e67d9041,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-27 10:49:39.172000,"{pugixml,afl}","{30761e48dfbd810912cf94f3eff2c410f371e0ab,82b5e359463238d790cadbe2dd494d6a4928bff3}",2829.0,9050.0,2829.0,9050.0,0.0,0.0
pugixml,2020-11-25 08:08:13.408000,"{pugixml,afl}","{30761e48dfbd810912cf94f3eff2c410f371e0ab,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-26 06:17:39.003000,"{pugixml,afl}","{632c042a355dda6b97d488fc3bb232d0aac4dbe0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2274.0,7258.0,2274.0,7262.0,4.0,-0.01725747461523497
pugixml,2020-11-26 06:17:39.003000,"{pugixml,afl}","{632c042a355dda6b97d488fc3bb232d0aac4dbe0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-27 06:16:00.681000,"{pugixml,afl}","{7a9da11d8b2b2f06c0904d397864f216bd7c1e14,82b5e359463238d790cadbe2dd494d6a4928bff3}",2274.0,7262.0,2274.0,7262.0,0.0,0.0
pugixml,2020-12-04 07:14:27.827000,"{pugixml,afl}","{7a9da11d8b2b2f06c0904d397864f216bd7c1e14,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-05 06:19:31.847000,"{pugixml,afl}","{5a0fd5d85f2b31f44c8df84a4bc51f453cef57ac,82b5e359463238d790cadbe2dd494d6a4928bff3}",2272.0,7262.0,2274.0,7262.0,0.0,0.027540622418065652
pugixml,2020-12-14 06:39:39.021000,"{pugixml,afl}","{5a0fd5d85f2b31f44c8df84a4bc51f453cef57ac,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-15 06:22:14.736000,"{pugixml,afl}","{907955280f11f659eb9354a07104359e591319c2,82b5e359463238d790cadbe2dd494d6a4928bff3}",2274.0,7262.0,2274.0,7262.0,0.0,0.0
pugixml,2020-12-18 08:44:14.622000,"{pugixml,afl}","{907955280f11f659eb9354a07104359e591319c2,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-19 07:45:26.819000,"{pugixml,afl}","{0e3f1699ffab5f820060fe99c61f0f9495c0c5b6,82b5e359463238d790cadbe2dd494d6a4928bff3}",2274.0,7262.0,2274.0,7262.0,0.0,0.0
pugixml,2020-12-22 06:08:28.460000,"{pugixml,afl}","{0e3f1699ffab5f820060fe99c61f0f9495c0c5b6,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-23 11:07:18.247000,"{pugixml,afl}","{08b3433180727ea2f78fe02e860a08471db1e03c,82b5e359463238d790cadbe2dd494d6a4928bff3}",2274.0,7262.0,2274.0,7262.0,0.0,0.0
pugixml,2021-01-25 06:14:32.921000,"{pugixml,afl}","{08b3433180727ea2f78fe02e860a08471db1e03c,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-26 06:41:55.523000,"{pugixml,aflplusplus,afl}","{08b3433180727ea2f78fe02e860a08471db1e03c,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2273.0,7262.0,2273.0,7262.0,0.0,0.0
pugixml,2021-01-31 09:38:59.740000,"{pugixml,aflplusplus,afl}","{08b3433180727ea2f78fe02e860a08471db1e03c,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-01 07:44:00.474000,"{pugixml,aflplusplus}","{08b3433180727ea2f78fe02e860a08471db1e03c,068bef5eab942df0a133c92522f2ab81b28ac636}",2273.0,7262.0,2273.0,7262.0,0.0,0.0
