project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
pynacl,2023-01-19 06:12:10.154000,{pynacl},{4008464dbe47c117e8fc03c7a705fc80e067a7cc},2023-01-20 06:32:26.966000,{pynacl},{93db1f38cd4491f99e3133c01f175984bcda685e},3558.0,17979.0,3558.0,17979.0,0.0,0.0
pynacl,2023-03-16 06:39:57.010000,{pynacl},{93db1f38cd4491f99e3133c01f175984bcda685e},2023-03-17 06:08:46.760000,{pynacl},{daef434d69ec6ed952aec2d2a405949aaa4c76e3},810.0,3599.0,810.0,3599.0,0.0,0.0
pynacl,2023-03-24 06:24:41.231000,{pynacl},{daef434d69ec6ed952aec2d2a405949aaa4c76e3},2023-03-25 06:15:30.187000,{pynacl},{8b63807138043d0adb1ff66d9364362893091f34},810.0,3599.0,810.0,3599.0,0.0,0.0
pynacl,2023-04-14 06:24:37.567000,{pynacl},{8b63807138043d0adb1ff66d9364362893091f34},2023-04-15 06:32:01.038000,{pynacl},{0bd2a68ce1ad88164d045e686196d93a71f1b6bb},810.0,3599.0,810.0,3599.0,0.0,0.0
pynacl,2023-05-02 06:24:32.875000,{pynacl},{0bd2a68ce1ad88164d045e686196d93a71f1b6bb},2023-05-03 06:32:14.889000,{pynacl},{81943b3c61b9cc731ae0f2e87b7a91e42fbc8fa1},810.0,3599.0,810.0,3599.0,0.0,0.0
pynacl,2023-05-04 06:41:04.968000,{pynacl},{81943b3c61b9cc731ae0f2e87b7a91e42fbc8fa1},2023-05-05 06:43:17.220000,{pynacl},{fe8b74923d09ebdb4e429bfdc49c324968d8733e},810.0,3599.0,811.0,3606.0,7.0,-0.01595778207325438
pynacl,2023-06-12 06:53:40.654000,{pynacl},{fe8b74923d09ebdb4e429bfdc49c324968d8733e},2023-06-13 07:04:34.618000,{pynacl},{874f25ccbaa2c8f915c8d76ae6dac699af641051},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2023-08-25 06:14:59.891000,{pynacl},{874f25ccbaa2c8f915c8d76ae6dac699af641051},2023-08-26 06:38:59.175000,{pynacl},{d35d78ef2d890906aa8312fcbe5517dfbb8002bc},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2023-09-05 06:35:00.455000,{pynacl},{d35d78ef2d890906aa8312fcbe5517dfbb8002bc},2023-09-06 07:12:35.697000,{pynacl},{d239a05a8cca231e313a4c9048d03745069036ab},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2023-10-03 06:36:44.426000,{pynacl},{d239a05a8cca231e313a4c9048d03745069036ab},2023-10-04 06:52:33.025000,{pynacl},{3ff83ce278fcb310880fabcaa84387197cb3ab2e},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2023-11-14 06:12:43.555000,{pynacl},{3ff83ce278fcb310880fabcaa84387197cb3ab2e},2023-11-15 07:18:19.148000,{pynacl},{8ace015e0bf6f6bc84761d7b4092fe101eaf7040},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2023-11-17 07:07:21.612000,{pynacl},{8ace015e0bf6f6bc84761d7b4092fe101eaf7040},2023-11-18 06:46:38.091000,{pynacl},{90e23b8215ea1e3d90b8ccf88d34401358e30eac},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2023-12-07 07:28:51.405000,{pynacl},{90e23b8215ea1e3d90b8ccf88d34401358e30eac},2023-12-08 06:55:38.695000,{pynacl},{b3987352c86ce92f9e1fac760cbeb1368c1e2e80},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2023-12-17 07:15:29.190000,{pynacl},{b3987352c86ce92f9e1fac760cbeb1368c1e2e80},2023-12-18 06:40:03.060000,{pynacl},{31dc2c1f401a192743b5a3b34125c9baab9df8bc},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2024-02-23 06:09:53.722000,{pynacl},{31dc2c1f401a192743b5a3b34125c9baab9df8bc},2024-02-25 06:36:12.362000,{pynacl},{2911447300d984c397b777b573f8c1014a45ea41},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2024-05-17 06:33:51.892000,{pynacl},{2911447300d984c397b777b573f8c1014a45ea41},2024-05-18 06:10:29.665000,{pynacl},{6004abe093cabfc55d7e77c4aa7e3c3465a06224},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2024-06-04 06:33:22.895000,{pynacl},{6004abe093cabfc55d7e77c4aa7e3c3465a06224},2024-06-05 06:29:53.488000,{pynacl},{141ab0a8cf15df90f350643be7a563ed07f95ba3},811.0,3606.0,811.0,3606.0,0.0,0.0
pynacl,2024-06-13 06:14:13.595000,{pynacl},{141ab0a8cf15df90f350643be7a563ed07f95ba3},2024-06-14 06:30:23.867000,{pynacl},{37da768204a77db8a2916793b65a43f9b4e381a5},811.0,3606.0,811.0,3606.0,0.0,0.0
