project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
python-markdown,2022-12-09 06:26:48.356000,{markdown},{a8ad6fc8ba687736145b5dff3b0c53839d07ef1e},2022-12-10 06:30:59.674000,{markdown},{4dab9a7436357173fad08a0f4e67a63daaaa15a6},3141.0,8701.0,3141.0,8701.0,0.0,0.0
python-markdown,2023-01-09 06:25:50.992000,{markdown},{4dab9a7436357173fad08a0f4e67a63daaaa15a6},2023-01-10 06:56:39.371000,{markdown},{4a7b9352d677ae89d4dc89c243148dafac130957},3231.0,8905.0,3231.0,8905.0,0.0,0.0
python-markdown,2023-03-22 06:07:32.100000,{markdown},{4a7b9352d677ae89d4dc89c243148dafac130957},2023-03-23 06:26:28.536000,{markdown},{6a85e4d4e28e105d4e772a6c2ab8188ddeba1644},1397.0,1577.0,1397.0,1577.0,0.0,0.0
python-markdown,2023-03-23 06:26:28.536000,{markdown},{6a85e4d4e28e105d4e772a6c2ab8188ddeba1644},2023-03-24 06:38:08.439000,{markdown},{be1c2839dd587a858f91c710e56667cba9f5329d},1397.0,1577.0,1397.0,1577.0,0.0,0.0
python-markdown,2023-04-06 07:01:19.136000,{markdown},{be1c2839dd587a858f91c710e56667cba9f5329d},2023-04-07 06:59:14.663000,{markdown},{07b8b2c90a92c20fb0740d5527c6a219d2afb7ae},1397.0,1577.0,1397.0,1577.0,0.0,0.0
python-markdown,2023-05-03 07:06:05.295000,{markdown},{07b8b2c90a92c20fb0740d5527c6a219d2afb7ae},2023-05-04 06:16:59.436000,{markdown},{1aa4c3d385a8456397c5189079c90e818fc34a06},1397.0,1577.0,1397.0,1577.0,0.0,0.0
python-markdown,2023-05-16 06:27:42.315000,{markdown},{1aa4c3d385a8456397c5189079c90e818fc34a06},2023-05-17 06:06:43.234000,{markdown},{965c06c398a394b1da06651bb4ed62be7609a946},1397.0,1577.0,1397.0,1577.0,0.0,0.0
python-markdown,2023-05-22 06:11:12.444000,{markdown},{965c06c398a394b1da06651bb4ed62be7609a946},2023-05-23 06:13:25.941000,{markdown},{dba80252f122da11b1d520a2aaee1ba8f553e3bc},1397.0,1577.0,1397.0,1577.0,0.0,0.0
python-markdown,2023-06-05 06:15:01.782000,{markdown},{dba80252f122da11b1d520a2aaee1ba8f553e3bc},2023-06-06 06:52:17.612000,{markdown},{1337d0891757e192165668d2606db36cf08e65a9},1397.0,1577.0,1397.0,1577.0,0.0,0.0
python-markdown,2023-07-17 06:07:01.752000,{markdown},{1337d0891757e192165668d2606db36cf08e65a9},2023-07-18 06:31:10.036000,{markdown},{93054dd9f7e6e2f555537873a3ec76d99e82326a},1397.0,1577.0,1397.0,1577.0,0.0,0.0
python-markdown,2023-07-19 07:14:18.547000,{markdown},{93054dd9f7e6e2f555537873a3ec76d99e82326a},2023-07-20 06:49:25.991000,{markdown},{d60c16f712e5caf806e3c0ed40eac385a9d2e18a},1397.0,1577.0,1403.0,1583.0,6.0,0.04326245367812476
python-markdown,2023-07-20 06:49:25.991000,{markdown},{d60c16f712e5caf806e3c0ed40eac385a9d2e18a},2023-07-21 06:20:57.022000,{markdown},{ff882617662b522961a1373241409a7fafba926e},1403.0,1583.0,1403.0,1583.0,0.0,0.0
python-markdown,2023-07-25 07:06:29.159000,{markdown},{ff882617662b522961a1373241409a7fafba926e},2023-07-26 06:25:58.507000,{markdown},{f99f176d248d0e472b0960d06a7aaf649bb1da25},1403.0,1583.0,1403.0,1583.0,0.0,0.0
python-markdown,2023-08-01 06:44:27.334000,{markdown},{f99f176d248d0e472b0960d06a7aaf649bb1da25},2023-08-02 06:26:36.523000,{markdown},{47c978d8c18d0cd216bbd67c706a4f7c7cc4e8db},1403.0,1583.0,1403.0,1583.0,0.0,0.0
python-markdown,2023-08-07 06:06:28.259000,{markdown},{47c978d8c18d0cd216bbd67c706a4f7c7cc4e8db},2023-08-08 06:07:05.513000,{markdown},{fbb34ea825b5c29faf9490ed3bbd3aab0ad22dbe},1403.0,1583.0,1403.0,1583.0,0.0,0.0
python-markdown,2023-08-08 06:07:05.513000,{markdown},{fbb34ea825b5c29faf9490ed3bbd3aab0ad22dbe},2023-08-09 06:51:10.155000,{markdown},{8ae73a0580129dfa86e253f337e3da43537104c1},1403.0,1583.0,1403.0,1583.0,0.0,0.0
python-markdown,2023-08-11 06:40:49.087000,{markdown},{8ae73a0580129dfa86e253f337e3da43537104c1},2023-08-12 07:05:06.578000,{markdown},{25b64df6a9066b8eef7e68101567de938e38ea0e},1403.0,1583.0,1400.0,1580.0,-3.0,-0.021590154889381097
python-markdown,2023-09-05 06:49:12.648000,{markdown},{25b64df6a9066b8eef7e68101567de938e38ea0e},2023-09-06 06:37:14.441000,{markdown},{5a2fee340845ee5a70f6570c35b53fd4a37ade1c},1400.0,1580.0,1400.0,1580.0,0.0,0.0
python-markdown,2023-10-06 06:06:07.292000,{markdown},{5a2fee340845ee5a70f6570c35b53fd4a37ade1c},2023-10-07 06:45:53.622000,{markdown},{4f0b91abe1a954a72ab3c99c3e2b880ab36631fa},1400.0,1580.0,1436.0,1616.0,36.0,0.2537912019050168
python-markdown,2023-10-26 06:05:25.876000,{markdown},{4f0b91abe1a954a72ab3c99c3e2b880ab36631fa},2023-10-27 06:05:20.771000,{markdown},{524e4daa56ead7e551f2c9c0d5ea9460884ad521},1436.0,1616.0,1440.0,1620.0,4.0,0.02750275027501914
python-markdown,2023-10-27 06:05:20.771000,{markdown},{524e4daa56ead7e551f2c9c0d5ea9460884ad521},2023-10-28 06:45:37.612000,{markdown},{c53d5d7e56062619d6805ecd117c1067227ae788},1440.0,1620.0,1440.0,1620.0,0.0,0.0
python-markdown,2023-10-30 06:17:31.014000,{markdown},{c53d5d7e56062619d6805ecd117c1067227ae788},2023-10-31 06:33:17.647000,{markdown},{99425b47bc5b5cf5cda570c1ae5f739082370d8d},1440.0,1620.0,1446.0,1626.0,6.0,0.04100041000410215
