project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
quartz,2024-09-27 06:30:02.476000,{quartz},{a5c4d27e963f51097f9b2777489d310a88897ca4},2024-09-28 06:43:50.543000,{quartz},{9035cb472a15f34b378e8e0c41aa428350b0188b},436.0,16162.0,436.0,16162.0,0.0,0.0
quartz,2024-10-07 02:10:03.452000,{quartz},{9035cb472a15f34b378e8e0c41aa428350b0188b},2024-10-13 17:56:06.601000,{quartz},{12fac31b6cf878f3af924712941638f54dd7d492},nan,nan,412.0,16162.0,nan,nan
quartz,2024-10-13 17:56:06.601000,{quartz},{12fac31b6cf878f3af924712941638f54dd7d492},2024-10-14 18:33:32.720000,{quartz},{f3bbe5a4992cfe592d239f69b9c1ae8dc2080f96},412.0,16162.0,411.0,16123.0,-39.0,-3.607338502353841e-05
quartz,2024-10-14 18:33:32.720000,{quartz},{f3bbe5a4992cfe592d239f69b9c1ae8dc2080f96},2024-10-15 06:27:33.799000,{quartz},{424d60ed48e9061e81789d74e4e8cf956dc708be},411.0,16123.0,411.0,16123.0,0.0,0.0
quartz,2024-10-15 06:27:33.799000,{quartz},{424d60ed48e9061e81789d74e4e8cf956dc708be},2024-10-16 06:26:34.641000,{quartz},{2c7e548db504c86d4de4b31110061615c9f41ce7},411.0,16123.0,410.0,15950.0,-173.0,0.021379531995123102
quartz,2024-10-16 06:26:34.641000,{quartz},{2c7e548db504c86d4de4b31110061615c9f41ce7},2024-10-17 06:12:27.889000,{quartz},{423a6246e9d6528e315c4d6bc555058c234a25fd},410.0,15950.0,411.0,15952.0,2.0,0.00594652295444309
quartz,2024-10-17 06:12:27.889000,{quartz},{423a6246e9d6528e315c4d6bc555058c234a25fd},2024-10-18 06:20:39.965000,{quartz},{67da3763864847c1bd833541887575e4ef5d8f65},411.0,15952.0,411.0,15952.0,0.0,0.0
quartz,2024-10-22 06:34:12.009000,{quartz},{67da3763864847c1bd833541887575e4ef5d8f65},2024-10-23 06:29:18.826000,{quartz},{d85adad8d4fc0f0a08aeada67a8714580e0624b3},411.0,15952.0,411.0,15912.0,-40.0,0.00647682111190262
quartz,2024-10-25 06:23:05.365000,{quartz},{d85adad8d4fc0f0a08aeada67a8714580e0624b3},2024-10-26 06:21:15.521000,{quartz},{f31707597d5a851e28c27c83cf31a23b09f9385a},411.0,15912.0,436.0,15744.0,-168.0,0.18635268366258373
quartz,2024-10-28 06:44:12.278000,{quartz},{f31707597d5a851e28c27c83cf31a23b09f9385a},2024-10-29 06:29:29.736000,{quartz},{e9c4a55527538da7aca6853238ee9b63daf5342c},436.0,15744.0,436.0,15744.0,0.0,0.0
quartz,2024-10-29 06:29:29.736000,{quartz},{e9c4a55527538da7aca6853238ee9b63daf5342c},2024-10-30 06:35:15.253000,{quartz},{19e622c151b86ee0194fb88deb5003f89317ac27},436.0,15744.0,436.0,15751.0,7.0,-0.0012307258333836835
quartz,2024-11-01 06:50:50.855000,{quartz},{19e622c151b86ee0194fb88deb5003f89317ac27},2024-11-02 06:38:08.622000,{quartz},{98574b8f25b466acd98849363b484e94cd6e9d06},436.0,15751.0,436.0,15771.0,20.0,-0.003510339505746085
quartz,2024-11-04 06:33:10.365000,{quartz},{98574b8f25b466acd98849363b484e94cd6e9d06},2024-11-05 06:46:47.365000,{quartz},{08fb8ff476df0130749629ee7d0f4752d8f52992},436.0,15771.0,436.0,15771.0,0.0,0.0
quartz,2024-11-06 06:09:44.753000,{quartz},{08fb8ff476df0130749629ee7d0f4752d8f52992},2024-11-07 06:22:10.411000,{quartz},{33ef50636c25eadcb1062d854fae441cc6f34981},436.0,15771.0,436.0,15771.0,0.0,0.0
