project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
rapidjson,2019-06-15 13:28:19.780000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363493}",2019-06-16 13:28:02.070000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363507}",427.0,3077.0,727.0,3077.0,0.0,9.7497562560936
rapidjson,2019-06-16 13:28:02.070000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363507}",2019-06-17 13:28:24.425000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363555}",727.0,3077.0,759.0,3077.0,0.0,1.039974000649984
rapidjson,2019-06-17 13:28:24.425000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363555}",2019-06-18 13:29:24.946000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363679}",759.0,3077.0,759.0,3077.0,0.0,0.0
rapidjson,2019-06-18 13:29:24.946000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363679}",2019-06-19 13:28:56.440000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363799}",759.0,3077.0,743.0,3077.0,0.0,-0.519987000324992
rapidjson,2019-06-19 13:28:56.440000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363799}",2019-06-20 13:33:37.132000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363926}",743.0,3077.0,1395.0,3077.0,0.0,21.18947026324342
rapidjson,2019-06-20 13:33:37.132000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,363926}",2019-06-21 13:30:06.497000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,364044}",1395.0,3077.0,1341.0,3077.0,0.0,-1.7549561260968503
rapidjson,2019-06-21 13:30:06.497000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,364044}",2019-06-22 13:30:02.211000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,364131}",1341.0,3077.0,1341.0,3077.0,0.0,0.0
rapidjson,2019-06-22 13:30:02.211000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,364131}",2019-06-23 13:31:27.529000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,364152}",1341.0,3077.0,1341.0,3077.0,0.0,0.0
rapidjson,2019-06-23 13:31:27.529000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,364152}",2019-06-24 13:31:38.311000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,364181}",1341.0,3077.0,1216.0,3077.0,0.0,-4.062398440038997
rapidjson,2019-06-24 13:31:38.311000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,364181}",2019-06-25 13:29:35.572000,"{rapidjson-fuzzers,rapidjson,libfuzzer}","{0bdce470b1bbddcddd132687c4e346145eebc448,4b3d7c2f42142f10b888e580c515f60ca98e2ee9,364311}",1216.0,3077.0,1216.0,3077.0,0.0,0.0
