project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
rdf4j,2023-07-21 07:20:36.617000,{rdf4j},{4d181d675bfbf46e6961c3a7be836eb99a250c4e},2023-07-23 06:43:20.968000,{rdf4j},{0afd64b3c6604950b9d67626582afc1fd1bc6f1d},5057.0,15247.0,5097.0,15247.0,0.0,0.2623466911523593
rdf4j,2023-07-28 07:07:25.197000,{rdf4j},{0afd64b3c6604950b9d67626582afc1fd1bc6f1d},2023-07-29 06:36:45.890000,{rdf4j},{d4a4e0c5e8d42f0834dd27a36be2f655e4b572b7},5732.0,15394.0,5870.0,15416.0,22.0,0.8420357873342397
rdf4j,2023-07-29 06:36:45.890000,{rdf4j},{d4a4e0c5e8d42f0834dd27a36be2f655e4b572b7},2023-07-30 07:12:10.961000,{rdf4j},{bc1ce6ce95fa92edf652c4ea3027a531d9c8a4a9},5870.0,15416.0,5896.0,15416.0,0.0,0.16865594187856203
rdf4j,2023-07-31 06:34:17.937000,{rdf4j},{bc1ce6ce95fa92edf652c4ea3027a531d9c8a4a9},2023-08-01 07:13:22.671000,{rdf4j},{48881cb6ab103c290fffd472420eb38438b0e260},5946.0,15416.0,5233.0,3374490.0,3359074.0,-38.41524126877883
rdf4j,2023-08-05 07:07:09.458000,{rdf4j},{48881cb6ab103c290fffd472420eb38438b0e260},2023-08-06 07:22:08.365000,{rdf4j},{c689a0c7303b78d4b541ff04894dcae9f380ae68},5477.0,3374490.0,5510.0,3374520.0,30.0,0.0009764739340019923
rdf4j,2023-08-06 07:22:08.365000,{rdf4j},{c689a0c7303b78d4b541ff04894dcae9f380ae68},2023-08-07 06:48:08.172000,{rdf4j},{3569066fe5bf9932b2b7f35008e455059c7319cd},5510.0,3374520.0,5636.0,3374520.0,0.0,0.0037338643718217435
rdf4j,2023-08-07 06:48:08.172000,{rdf4j},{3569066fe5bf9932b2b7f35008e455059c7319cd},2023-08-08 07:45:53.713000,{rdf4j},{1b889dfed00ee82ade5ddb0a7b36f3796956b576},5636.0,3374520.0,6219.0,3374520.0,0.0,0.017276531180730914
rdf4j,2023-08-10 07:43:00.248000,{rdf4j},{1b889dfed00ee82ade5ddb0a7b36f3796956b576},2023-08-11 07:04:17.622000,{rdf4j},{03cec8a79880390c7ca82a3e23a3283873420da0},6435.0,3374520.0,6474.0,3374520.0,0.0,0.001155719924611498
rdf4j,2023-08-18 08:00:51.673000,{rdf4j},{03cec8a79880390c7ca82a3e23a3283873420da0},2023-08-19 06:55:26.956000,{rdf4j},{541d712f83351405bdbf523760fe98e6c12b47bc},7028.0,3374520.0,6993.0,3374520.0,0.0,-0.001037184547728276
rdf4j,2023-08-21 07:02:41.146000,{rdf4j},{541d712f83351405bdbf523760fe98e6c12b47bc},2023-08-22 07:18:15.801000,{rdf4j},{7ad3ebfdf52a4d063ed18a48dcae1e35efb86ab5},7161.0,3374520.0,7303.0,3374524.0,4.0,0.0042077493501798124
rdf4j,2023-08-24 07:19:58.098000,{rdf4j},{7ad3ebfdf52a4d063ed18a48dcae1e35efb86ab5},2023-08-25 07:18:24.056000,{rdf4j},{0ead97ffa040044141ae937178d3cf25eae137d9},7396.0,3374524.0,7425.0,3374691.0,167.0,0.0008484920053734579
rdf4j,2023-08-25 07:18:24.056000,{rdf4j},{0ead97ffa040044141ae937178d3cf25eae137d9},2023-08-26 07:53:39.276000,{rdf4j},{fddce606a7a76fefe112bc6e586e6444b4a0003d},7425.0,3374691.0,7425.0,3375040.0,349.0,-2.275144302857357e-05
rdf4j,2023-08-27 07:23:57.399000,{rdf4j},{fddce606a7a76fefe112bc6e586e6444b4a0003d},2023-08-28 06:48:57.725000,{rdf4j},{fafdfbba044fca3d1ab6e5f68af3c85574531724},7435.0,3375040.0,7462.0,3375145.0,105.0,0.0007931123442199428
rdf4j,2023-08-29 07:47:39.852000,{rdf4j},{fafdfbba044fca3d1ab6e5f68af3c85574531724},2023-08-30 07:07:47.716000,{rdf4j},{8903c85733ce12e948055792e681b869c7559ecb},7462.0,3375145.0,7466.0,3375145.0,0.0,0.00011851342683055766
rdf4j,2023-09-20 07:44:14.816000,{rdf4j},{8903c85733ce12e948055792e681b869c7559ecb},2023-09-21 07:03:49.653000,{rdf4j},{6bc981a1352e6eed5ab6ac017821a38b94d4dc67},7179.0,3375152.0,7241.0,3375152.0,0.0,0.001836954306057903
rdf4j,2023-10-02 06:49:14.479000,{rdf4j},{6bc981a1352e6eed5ab6ac017821a38b94d4dc67},2023-10-03 06:56:26.252000,{rdf4j},{c0ab946dbf4d29c491f92bf3cc229cc0dfde9eec},7254.0,3375152.0,7280.0,3375432.0,280.0,0.0007524433544902065
rdf4j,2023-10-03 06:56:26.252000,{rdf4j},{c0ab946dbf4d29c491f92bf3cc229cc0dfde9eec},2023-10-04 07:22:39.402000,{rdf4j},{454436f73fd10830918c585c1f3f6a794af8db13},7280.0,3375432.0,7139.0,3375433.0,1.0,-0.004177305748950505
rdf4j,2023-10-05 06:48:09.524000,{rdf4j},{454436f73fd10830918c585c1f3f6a794af8db13},2023-10-06 07:52:57.226000,{rdf4j},{c5edcc98ebe0fec44f5cfa0efaff3afbce9ad4e3},7216.0,3375433.0,7269.0,3349024.0,-26409.0,0.00326832996653173
rdf4j,2023-10-07 07:17:30.030000,{rdf4j},{c5edcc98ebe0fec44f5cfa0efaff3afbce9ad4e3},2023-10-08 08:02:29.206000,{rdf4j},{f177ad40e44c50e6c2723644c45ce1e9723d9c0f},7301.0,3349024.0,7331.0,3349024.0,0.0,0.0008957833685276639
rdf4j,2023-10-12 08:03:38.823000,{rdf4j},{f177ad40e44c50e6c2723644c45ce1e9723d9c0f},2023-10-13 07:49:58.501000,{rdf4j},{86cbf5b9c7eb2712cb01af8821cdbb92a6a2a7ae},7279.0,3349024.0,7184.0,3349061.0,37.0,-0.0028390172157127247
rdf4j,2023-10-17 07:50:18.918000,{rdf4j},{86cbf5b9c7eb2712cb01af8821cdbb92a6a2a7ae},2023-10-18 06:47:30.864000,{rdf4j},{b766d18ade206fe6988fd5631acf210d68df3af5},7143.0,3349061.0,7252.0,3349061.0,0.0,0.003254643615031222
rdf4j,2023-10-18 06:47:30.864000,{rdf4j},{b766d18ade206fe6988fd5631acf210d68df3af5},2023-10-19 08:00:41.703000,{rdf4j},{743673ba3db331fa07e2b7360153adbd1d88db8c},7252.0,3349061.0,7276.0,3349071.0,10.0,0.0007159700755603182
rdf4j,2023-10-30 07:10:57.674000,{rdf4j},{743673ba3db331fa07e2b7360153adbd1d88db8c},2023-10-31 06:49:34.621000,{rdf4j},{a19d5c1ee961f2048cdbb269094ee7939e603080},7252.0,3349071.0,7279.0,3349072.0,1.0,0.0008061288208612016
rdf4j,2023-11-07 07:22:06.465000,{rdf4j},{a19d5c1ee961f2048cdbb269094ee7939e603080},2023-11-08 06:59:58.029000,{rdf4j},{4706c33fa76f6b11c800c3fc1cb4114f7d4de809},7386.0,3349072.0,7393.0,3349069.0,-3.0,0.00020921086311251336
rdf4j,2023-11-08 06:59:58.029000,{rdf4j},{4706c33fa76f6b11c800c3fc1cb4114f7d4de809},2023-11-09 06:50:30.739000,{rdf4j},{617b205cf9e6450521a2df53e59add17c32fb583},7393.0,3349069.0,7254.0,3349632.0,563.0,-0.004186812484572339
rdf4j,2023-11-22 07:54:24.567000,{rdf4j},{617b205cf9e6450521a2df53e59add17c32fb583},2023-11-23 07:04:29.304000,{rdf4j},{cdb38ad5c115833edc60a4ae5d2a0f2dbe067ae5},7318.0,3349632.0,7337.0,3349758.0,126.0,0.0005589874128756611
rdf4j,2023-11-25 08:04:04.707000,{rdf4j},{cdb38ad5c115833edc60a4ae5d2a0f2dbe067ae5},2023-11-26 07:26:18.066000,{rdf4j},{a1973a3f7b89ea173f4cbee5d8de9547c14ca418},7343.0,3349758.0,7358.0,3349766.0,8.0,0.0004472689498542515
rdf4j,2023-12-30 07:19:05.332000,{rdf4j},{a1973a3f7b89ea173f4cbee5d8de9547c14ca418},2023-12-31 07:05:25.745000,{rdf4j},{d8bdc75592e3e53938a8dc4354c76df194e751c1},7493.0,3349766.0,7331.0,3349766.0,0.0,-0.004836158704816962
rdf4j,2024-01-13 07:44:25.036000,{rdf4j},{d8bdc75592e3e53938a8dc4354c76df194e751c1},2024-01-14 07:30:48.164000,{rdf4j},{1d47c5a1f77baf9484632c9a7d02f3d62b49bb6c},7169.0,3349766.0,7169.0,3349786.0,20.0,-1.2777828142518377e-06
rdf4j,2024-01-21 07:24:38.851000,{rdf4j},{1d47c5a1f77baf9484632c9a7d02f3d62b49bb6c},2024-01-23 08:23:10.766000,{rdf4j},{11781a0bb1f9bb856c33ee5ebee071d661ff8ebd},7244.0,3349786.0,7275.0,3349794.0,8.0,0.0009249135854436097
