project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
redis-rs,2022-10-26 19:35:42.321000,"{redis-rs,centipede,aflplusplus}","{1b3f8ad0e1ebfe4e7d81563559c1e743acc5e806,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:38:49.835000,"{redis-rs,centipede}","{1b3f8ad0e1ebfe4e7d81563559c1e743acc5e806,baa82e7189677bb9086beb5d9b5e58018d991607}",2387.0,22647.0,2428.0,22647.0,0.0,0.18103943127125
redis-rs,2022-11-03 06:20:31.773000,"{redis-rs,centipede}","{1b3f8ad0e1ebfe4e7d81563559c1e743acc5e806,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-04 06:06:00.853000,"{redis-rs,centipede}","{9825e394190bf4266502bbdd35a64bafb87641db,baa82e7189677bb9086beb5d9b5e58018d991607}",2459.0,22643.0,2459.0,22643.0,0.0,0.0
redis-rs,2022-11-07 06:47:21.029000,"{redis-rs,centipede}","{9825e394190bf4266502bbdd35a64bafb87641db,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-08 06:05:08.373000,"{redis-rs,centipede}","{66fb8ee169465ce2b6000cbc1b34a0da8433a98e,baa82e7189677bb9086beb5d9b5e58018d991607}",2458.0,22643.0,2458.0,22643.0,0.0,0.0
redis-rs,2022-11-08 06:05:08.373000,"{redis-rs,centipede}","{66fb8ee169465ce2b6000cbc1b34a0da8433a98e,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-09 06:13:19.973000,"{redis-rs,centipede}","{d6e826a6d18921458ce59dccaf6301e7c94feafa,baa82e7189677bb9086beb5d9b5e58018d991607}",2458.0,22643.0,2460.0,22643.0,0.0,0.008832751843836917
redis-rs,2022-11-10 06:13:54.721000,"{redis-rs,centipede}","{d6e826a6d18921458ce59dccaf6301e7c94feafa,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-11 06:29:35.366000,"{redis-rs,centipede}","{9c53a5f18652f1c9ecc0631c3bc183cdf6fa6f61,baa82e7189677bb9086beb5d9b5e58018d991607}",2460.0,22643.0,2458.0,22643.0,0.0,-0.008832751843836917
redis-rs,2022-11-11 06:29:35.366000,"{redis-rs,centipede}","{9c53a5f18652f1c9ecc0631c3bc183cdf6fa6f61,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-12 06:28:09.864000,"{redis-rs,centipede}","{8eda667d087967d049d238f538c640b13ac69c6e,baa82e7189677bb9086beb5d9b5e58018d991607}",2458.0,22643.0,2476.0,22643.0,0.0,0.07949476659453225
redis-rs,2022-11-14 06:40:27.938000,"{redis-rs,centipede}","{8eda667d087967d049d238f538c640b13ac69c6e,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-15 06:18:21.458000,"{redis-rs,centipede}","{804985ddad465c58e1e75a66a90e7c6cf38c840b,baa82e7189677bb9086beb5d9b5e58018d991607}",2459.0,22643.0,2459.0,22643.0,0.0,0.0
redis-rs,2022-11-16 06:06:28.943000,"{redis-rs,centipede}","{804985ddad465c58e1e75a66a90e7c6cf38c840b,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:14:18.527000,{redis-rs},{804985ddad465c58e1e75a66a90e7c6cf38c840b},2457.0,22643.0,2473.0,22643.0,0.0,0.07066201475069711
redis-rs,2022-11-24 06:34:02.016000,{redis-rs},{804985ddad465c58e1e75a66a90e7c6cf38c840b},2022-11-25 06:05:18.572000,{redis-rs},{953e0c96b98ddea2906c91a774ebf230796563f3},2458.0,22769.0,2498.0,22779.0,10.0,0.17086115295539805
redis-rs,2022-11-26 06:41:23.943000,{redis-rs},{953e0c96b98ddea2906c91a774ebf230796563f3},2022-11-27 06:34:09.699000,{redis-rs},{414e28a1376be38d5cd0e9660532472ce7de247c},2498.0,22779.0,2498.0,22779.0,0.0,0.0
redis-rs,2022-11-29 06:07:02.534000,{redis-rs},{414e28a1376be38d5cd0e9660532472ce7de247c},2022-11-30 06:31:47.373000,{redis-rs},{8e7e01efe4e6897752110e4866c9356416557b0e},2498.0,22779.0,2498.0,22779.0,0.0,0.0
redis-rs,2022-12-10 06:10:43.387000,{redis-rs},{8e7e01efe4e6897752110e4866c9356416557b0e},2022-12-11 06:15:52.037000,{redis-rs},{98bedb71d79f15488b62aecd4d0c2b1d95e5c341},2498.0,22779.0,2498.0,22779.0,0.0,0.0
