project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
retrofit,2022-09-21 06:43:41.981000,"{retrofit,go-fuzz-corpus,fuzzing,centipede,aflplusplus}","{5180f481c58b0be80ad81a0c1ec540fe7e91ee81,c42c1b2914c7503500996ee15927d3ab3d2ba968,748de3eed506a515840fcea85fb1c0c22c170c2a,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:44:28.661000,"{retrofit,go-fuzz-corpus,fuzzing,centipede,aflplusplus}","{5180f481c58b0be80ad81a0c1ec540fe7e91ee81,c42c1b2914c7503500996ee15927d3ab3d2ba968,748de3eed506a515840fcea85fb1c0c22c170c2a,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",3190.0,12726.0,3190.0,12726.0,0.0,0.0
retrofit,2022-09-26 06:31:58.148000,"{retrofit,go-fuzz-corpus,fuzzing,centipede,aflplusplus}","{5180f481c58b0be80ad81a0c1ec540fe7e91ee81,c42c1b2914c7503500996ee15927d3ab3d2ba968,748de3eed506a515840fcea85fb1c0c22c170c2a,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-27 06:06:53.086000,"{retrofit,go-fuzz-corpus,fuzzing,centipede,aflplusplus}","{5180f481c58b0be80ad81a0c1ec540fe7e91ee81,c42c1b2914c7503500996ee15927d3ab3d2ba968,65f166af1e271a4027bb37fd6a6d615f1f8a7fc2,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",3190.0,12726.0,3190.0,12726.0,0.0,0.0
retrofit,2022-10-04 06:18:09.020000,"{retrofit,go-fuzz-corpus,fuzzing,centipede,aflplusplus}","{5180f481c58b0be80ad81a0c1ec540fe7e91ee81,c42c1b2914c7503500996ee15927d3ab3d2ba968,65f166af1e271a4027bb37fd6a6d615f1f8a7fc2,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-05 06:29:39.491000,"{retrofit,go-fuzz-corpus,fuzzing,centipede,aflplusplus}","{5180f481c58b0be80ad81a0c1ec540fe7e91ee81,c42c1b2914c7503500996ee15927d3ab3d2ba968,beae033a907378b47d1b351b5593525ef459cd49,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",3190.0,12726.0,3190.0,12726.0,0.0,0.0
retrofit,2022-10-19 06:45:50.418000,"{retrofit,go-fuzz-corpus,fuzzing,centipede,aflplusplus}","{5180f481c58b0be80ad81a0c1ec540fe7e91ee81,c42c1b2914c7503500996ee15927d3ab3d2ba968,beae033a907378b47d1b351b5593525ef459cd49,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-11-08 06:07:48.864000,"{retrofit,go-fuzz-corpus,fuzzing,centipede}","{5180f481c58b0be80ad81a0c1ec540fe7e91ee81,c42c1b2914c7503500996ee15927d3ab3d2ba968,128a82660ffe414036ded9a6e561a9532945280d,baa82e7189677bb9086beb5d9b5e58018d991607}",3190.0,12726.0,3190.0,12726.0,0.0,0.0
retrofit,2022-11-10 06:15:29.406000,"{retrofit,go-fuzz-corpus,fuzzing,centipede}","{5180f481c58b0be80ad81a0c1ec540fe7e91ee81,c42c1b2914c7503500996ee15927d3ab3d2ba968,128a82660ffe414036ded9a6e561a9532945280d,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-11 06:11:35.274000,"{retrofit,go-fuzz-corpus,fuzzing,centipede}","{6b6984e9dd683bff6cdb5931694e1b8efc3533ae,c42c1b2914c7503500996ee15927d3ab3d2ba968,128a82660ffe414036ded9a6e561a9532945280d,baa82e7189677bb9086beb5d9b5e58018d991607}",3196.0,12732.0,3196.0,12732.0,0.0,0.0
retrofit,2022-11-16 06:07:15.736000,"{retrofit,go-fuzz-corpus,fuzzing,centipede}","{6b6984e9dd683bff6cdb5931694e1b8efc3533ae,c42c1b2914c7503500996ee15927d3ab3d2ba968,128a82660ffe414036ded9a6e561a9532945280d,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:16:51.030000,"{retrofit,go-fuzz-corpus,fuzzing}","{6b6984e9dd683bff6cdb5931694e1b8efc3533ae,c42c1b2914c7503500996ee15927d3ab3d2ba968,128a82660ffe414036ded9a6e561a9532945280d}",3196.0,12732.0,3196.0,12732.0,0.0,0.0
retrofit,2022-11-29 06:28:27.518000,"{retrofit,go-fuzz-corpus,fuzzing}","{6b6984e9dd683bff6cdb5931694e1b8efc3533ae,c42c1b2914c7503500996ee15927d3ab3d2ba968,128a82660ffe414036ded9a6e561a9532945280d}",2022-11-30 06:42:06.067000,"{retrofit,go-fuzz-corpus,fuzzing}","{f6d2ccf78bb50171c4d55050949a7c7132613da6,c42c1b2914c7503500996ee15927d3ab3d2ba968,128a82660ffe414036ded9a6e561a9532945280d}",3196.0,12732.0,3196.0,12743.0,11.0,-0.021668614475164105
retrofit,2023-01-19 06:40:25.181000,"{retrofit,go-fuzz-corpus,fuzzing}","{f6d2ccf78bb50171c4d55050949a7c7132613da6,c42c1b2914c7503500996ee15927d3ab3d2ba968,128a82660ffe414036ded9a6e561a9532945280d}",2023-01-20 06:40:28.637000,"{retrofit,go-fuzz-corpus,fuzzing}","{f6d2ccf78bb50171c4d55050949a7c7132613da6,c42c1b2914c7503500996ee15927d3ab3d2ba968,25c648f09052f752cd3a2fc1f0131855896bb7d1}",3196.0,12743.0,3196.0,12743.0,0.0,0.0
retrofit,2023-01-30 06:59:37.586000,"{retrofit,go-fuzz-corpus,fuzzing}","{f6d2ccf78bb50171c4d55050949a7c7132613da6,c42c1b2914c7503500996ee15927d3ab3d2ba968,25c648f09052f752cd3a2fc1f0131855896bb7d1}",2023-01-31 03:05:19.197000,"{retrofit,go-fuzz-corpus,fuzzing}","{2e55473480ad46cfd0205476bfc6932694b2bb99,c42c1b2914c7503500996ee15927d3ab3d2ba968,25c648f09052f752cd3a2fc1f0131855896bb7d1}",3196.0,12743.0,3186.0,12646.0,-97.0,0.11330083210848585
retrofit,2023-01-31 03:05:19.197000,"{retrofit,go-fuzz-corpus,fuzzing}","{2e55473480ad46cfd0205476bfc6932694b2bb99,c42c1b2914c7503500996ee15927d3ab3d2ba968,25c648f09052f752cd3a2fc1f0131855896bb7d1}",2023-01-31 06:44:23.032000,"{retrofit,go-fuzz-corpus,fuzzing}","{46b66fda551ee8ba065cdbf8b293347a56d5259a,c42c1b2914c7503500996ee15927d3ab3d2ba968,25c648f09052f752cd3a2fc1f0131855896bb7d1}",3186.0,12646.0,3186.0,12646.0,0.0,0.0
