project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
roaring-bitmap,2023-10-24 06:14:37.107000,{RoaringBitmap},{19acf34cc5871da9202240f56af4688b53b781aa},2023-10-25 06:24:08.353000,{RoaringBitmap},{d7307948eacae45c9c918a0829acd659af5377ad},861.0,18274.0,861.0,18270.0,-4.0,0.0010315516423684556
roaring-bitmap,2023-10-30 06:19:36.989000,{RoaringBitmap},{d7307948eacae45c9c918a0829acd659af5377ad},2023-10-31 06:12:10.954000,{RoaringBitmap},{d5e53f686462c95a5af0fd9cef36309ac4201007},861.0,18270.0,861.0,18270.0,0.0,0.0
roaring-bitmap,2023-10-31 06:12:10.954000,{RoaringBitmap},{d5e53f686462c95a5af0fd9cef36309ac4201007},2023-11-01 06:04:54.579000,{RoaringBitmap},{3aa3212fea10e3a1a2dcfd80368e6eb5a7031f66},861.0,18270.0,861.0,18270.0,0.0,0.0
roaring-bitmap,2023-11-02 07:18:22.479000,{RoaringBitmap},{3aa3212fea10e3a1a2dcfd80368e6eb5a7031f66},2023-11-03 06:55:17.474000,{RoaringBitmap},{28482341ca11a62b24bd8b30a8889aa87f266289},861.0,18270.0,858.0,18282.0,12.0,-0.01950288393709254
roaring-bitmap,2023-11-17 06:08:58.936000,{RoaringBitmap},{28482341ca11a62b24bd8b30a8889aa87f266289},2023-11-18 07:03:08.867000,{RoaringBitmap},{8dd4a5ec22531704ab834db66af89804c17fe37e},858.0,18282.0,858.0,18284.0,2.0,-0.0005133604019063043
roaring-bitmap,2023-12-13 07:41:14.172000,{RoaringBitmap},{8dd4a5ec22531704ab834db66af89804c17fe37e},2023-12-14 06:46:14.407000,{RoaringBitmap},{88e3c714de94d1de4135c313c1f58b72c5613c45},858.0,18284.0,858.0,18285.0,1.0,-0.0002566380877118135
roaring-bitmap,2023-12-15 06:46:36.334000,{RoaringBitmap},{88e3c714de94d1de4135c313c1f58b72c5613c45},2023-12-16 07:04:41.659000,{RoaringBitmap},{1ed0242d1f298cf93d3666a754eb4bb4c5180c4c},858.0,18285.0,858.0,18286.0,1.0,-0.00025661001836052577
roaring-bitmap,2024-01-27 06:20:03.744000,{RoaringBitmap},{1ed0242d1f298cf93d3666a754eb4bb4c5180c4c},2024-01-28 06:19:05.624000,{RoaringBitmap},{8b386e9c00637c5d46d4b14abb0e61da43b8be8e},858.0,18286.0,858.0,18195.0,-91.0,0.02346701791152217
roaring-bitmap,2024-01-28 06:19:05.624000,{RoaringBitmap},{8b386e9c00637c5d46d4b14abb0e61da43b8be8e},2024-01-29 06:07:29.605000,{RoaringBitmap},{028f3a5f40d08ade26724fad16e4fdf7256b46ea},858.0,18195.0,858.0,18232.0,37.0,-0.009569795114865443
roaring-bitmap,2024-03-07 06:24:54.034000,{RoaringBitmap},{028f3a5f40d08ade26724fad16e4fdf7256b46ea},2024-03-08 06:07:48.202000,{RoaringBitmap},{78da63af7eedb1ae118340d06974cfdc63cb94f6},858.0,18232.0,858.0,18238.0,6.0,-0.0015481998273418895
