project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
rust-lexical,2022-10-26 19:37:03.754000,"{rust-lexical,centipede,aflplusplus}","{09c686b075096d48155cfb32265068f962afc56c,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:16:29.356000,"{rust-lexical,centipede}","{09c686b075096d48155cfb32265068f962afc56c,baa82e7189677bb9086beb5d9b5e58018d991607}",3230.0,7691.0,3221.0,7691.0,0.0,-0.11701989338187246
rust-lexical,2022-11-16 06:11:20.005000,"{rust-lexical,centipede}","{09c686b075096d48155cfb32265068f962afc56c,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:28:00.325000,{rust-lexical},{09c686b075096d48155cfb32265068f962afc56c},3238.0,7691.0,3246.0,7691.0,0.0,0.1040176830061128
rust-lexical,2024-09-08 06:21:50.921000,{rust-lexical},{09c686b075096d48155cfb32265068f962afc56c},2024-09-09 06:04:50.550000,{rust-lexical},{05cc14264790c38858ceed337eb8f15b6391ebff},3315.0,7289.0,3362.0,7265.0,-24.0,0.797179318844627
rust-lexical,2024-09-09 06:04:50.550000,{rust-lexical},{05cc14264790c38858ceed337eb8f15b6391ebff},2024-09-10 06:27:44.764000,{rust-lexical},{5611efb67013b81cca5c16209275ee32b5a8d98a},3362.0,7265.0,3344.0,6713.0,-552.0,3.5371251700201825
rust-lexical,2024-09-10 06:27:44.764000,{rust-lexical},{5611efb67013b81cca5c16209275ee32b5a8d98a},2024-09-11 06:41:44.561000,{rust-lexical},{19bf353fcc43284e5094a26306e59d1f7740d745},3344.0,6713.0,3369.0,6711.0,-2.0,0.38736814010751885
rust-lexical,2024-09-11 06:41:44.561000,{rust-lexical},{19bf353fcc43284e5094a26306e59d1f7740d745},2024-09-12 06:08:27.424000,{rust-lexical},{196d10dfe33d851fbcfcfdd6244c42943cedde5a},3369.0,6711.0,3377.0,6773.0,62.0,-0.34142507910758724
rust-lexical,2024-09-12 06:08:27.424000,{rust-lexical},{196d10dfe33d851fbcfcfdd6244c42943cedde5a},2024-09-13 06:23:19.206000,{rust-lexical},{68518351d9455b6afd0cd31870b37f6848fc1798},3377.0,6773.0,3367.0,6773.0,0.0,-0.14764506127270494
rust-lexical,2024-09-13 06:23:19.206000,{rust-lexical},{68518351d9455b6afd0cd31870b37f6848fc1798},2024-09-14 06:31:15.168000,{rust-lexical},{a94cc650f9c25f83e3d9374a734563b475bd9ed6},3367.0,6773.0,3309.0,6713.0,-60.0,-0.4196744335124194
rust-lexical,2024-09-14 06:31:15.168000,{rust-lexical},{a94cc650f9c25f83e3d9374a734563b475bd9ed6},2024-09-15 06:31:51.163000,{rust-lexical},{aeab32205c18c4569402f83817eeb9fb983ee64b},3309.0,6713.0,3510.0,5827.0,-886.0,10.944410859712917
rust-lexical,2024-09-15 06:31:51.163000,{rust-lexical},{aeab32205c18c4569402f83817eeb9fb983ee64b},2024-09-16 06:26:06.046000,{rust-lexical},{e3f01cb6382158dd9030bb673888a258ec89dce7},3510.0,5827.0,3454.0,5749.0,-78.0,-0.15681464125516698
rust-lexical,2024-09-16 06:26:06.046000,{rust-lexical},{e3f01cb6382158dd9030bb673888a258ec89dce7},2024-09-17 06:03:12.382000,{rust-lexical},{7640e15e1136765b87582e91b4110671e6104ad1},3454.0,5749.0,3455.0,5749.0,0.0,0.017394329448592316
rust-lexical,2024-09-17 06:03:12.382000,{rust-lexical},{7640e15e1136765b87582e91b4110671e6104ad1},2024-09-18 06:09:09.482000,{rust-lexical},{e2454cb7291424a628a955afe94cc553d7dfe6b2},3455.0,5749.0,3377.0,5682.0,-67.0,-0.6641101104524552
rust-lexical,2024-09-18 17:04:32.267000,{rust-lexical},{e2454cb7291424a628a955afe94cc553d7dfe6b2},2024-09-19 06:15:48.293000,{rust-lexical},{bb1cbf1b55f83fd3e6b92089de35fad96e3f75d8},3377.0,5682.0,3386.0,5682.0,0.0,0.15839493136219573
rust-lexical,2024-09-19 06:15:48.293000,{rust-lexical},{bb1cbf1b55f83fd3e6b92089de35fad96e3f75d8},2024-09-20 06:29:47.844000,{rust-lexical},{2cf88c869704376a5b5bb595e6689f06ebc9db5b},3386.0,5682.0,3389.0,5688.0,6.0,-0.010117819689682506
