project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
serenity,2020-11-26 06:10:04.837000,"{serenity,afl}","{922d0759b04e375a523691eae76d6997c0192fe5,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-30 09:19:38.855000,"{serenity,afl}","{65eef944ab35ca85be178615ffc32834d430f4e3,82b5e359463238d790cadbe2dd494d6a4928bff3}",4506.0,27996.0,3595.0,40334.0,12338.0,-7.182080633992914
serenity,2020-11-30 09:19:38.855000,"{serenity,afl}","{65eef944ab35ca85be178615ffc32834d430f4e3,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-02 06:39:00.358000,"{serenity,afl}","{3565d3c60c43d29f35f309063de6b6a5dc70929a,82b5e359463238d790cadbe2dd494d6a4928bff3}",3595.0,40334.0,10599.0,40416.0,82.0,17.311686653380143
serenity,2020-12-02 06:39:00.358000,"{serenity,afl}","{3565d3c60c43d29f35f309063de6b6a5dc70929a,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-03 08:10:39.103000,"{serenity,afl}","{4fe987ba00b93745537277b6451d8f87dc964a30,82b5e359463238d790cadbe2dd494d6a4928bff3}",10599.0,40416.0,11207.0,40678.0,262.0,1.3257562375922873
serenity,2020-12-03 08:10:39.103000,"{serenity,afl}","{4fe987ba00b93745537277b6451d8f87dc964a30,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-04 06:26:26.113000,"{serenity,afl}","{1fab67ea52020d67cda7ebe0504d6f2544e5a85d,82b5e359463238d790cadbe2dd494d6a4928bff3}",11207.0,40678.0,11884.0,40679.0,1.0,1.663572100624208
serenity,2020-12-04 06:26:26.113000,"{serenity,afl}","{1fab67ea52020d67cda7ebe0504d6f2544e5a85d,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-05 08:41:48.911000,"{serenity,afl}","{157896cc0b8416429aceb19fe999a5456e4ca70a,82b5e359463238d790cadbe2dd494d6a4928bff3}",11884.0,40679.0,12124.0,40679.0,0.0,0.589985004547799
serenity,2020-12-05 08:41:48.911000,"{serenity,afl}","{157896cc0b8416429aceb19fe999a5456e4ca70a,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-06 06:39:54.211000,"{serenity,afl}","{6b4281c3aa4bd421b00a83af17bc158d5fd2b883,82b5e359463238d790cadbe2dd494d6a4928bff3}",12124.0,40679.0,12112.0,40700.0,21.0,-0.044862053859322515
serenity,2020-12-06 06:39:54.211000,"{serenity,afl}","{6b4281c3aa4bd421b00a83af17bc158d5fd2b883,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-07 06:14:42.728000,"{serenity,afl}","{253aa7aa7d3b6903c62a73632e04eeeb493197fe,82b5e359463238d790cadbe2dd494d6a4928bff3}",12112.0,40700.0,12095.0,40751.0,51.0,-0.07896051389462855
serenity,2020-12-07 06:14:42.728000,"{serenity,afl}","{253aa7aa7d3b6903c62a73632e04eeeb493197fe,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-08 10:19:43.174000,"{serenity,afl}","{fe3963f3d4f3ace16da5ab8aa4540cb99a68dd29,82b5e359463238d790cadbe2dd494d6a4928bff3}",12095.0,40751.0,12105.0,40745.0,-6.0,0.028913523609571
serenity,2020-12-08 10:19:43.174000,"{serenity,afl}","{fe3963f3d4f3ace16da5ab8aa4540cb99a68dd29,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-09 09:04:04.349000,"{serenity,afl}","{5b7fb92ede0247e29a54da176aed1cd21e9ebe5b,82b5e359463238d790cadbe2dd494d6a4928bff3}",12105.0,40745.0,12161.0,40885.0,140.0,0.03523826959398235
serenity,2020-12-09 09:04:04.349000,"{serenity,afl}","{5b7fb92ede0247e29a54da176aed1cd21e9ebe5b,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-10 06:58:21.384000,"{serenity,afl}","{5b104eedaf2640c3c82a6a1d6434d10c442c7149,82b5e359463238d790cadbe2dd494d6a4928bff3}",12161.0,40885.0,12151.0,40893.0,8.0,-0.030273035490377964
