project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
simd,2021-06-07 08:44:36.265000,"{Simd,aflplusplus}","{423fb48956c0841d32575952c36aab086bfd71ad,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-08 08:44:37.844000,"{Simd,aflplusplus}","{f4aeaa05df20141efb29107fb29a3677f2c0b9ef,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",1921.0,139112.0,2101.0,139190.0,78.0,0.12854579830361912
simd,2021-06-08 08:44:37.844000,"{Simd,aflplusplus}","{f4aeaa05df20141efb29107fb29a3677f2c0b9ef,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-09 09:35:26.081000,"{Simd,aflplusplus}","{3481c71787d6aeaa933623961bc054479f4fce2d,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2101.0,139190.0,2111.0,139492.0,302.0,0.003900917971138007
simd,2021-06-09 09:35:26.081000,"{Simd,aflplusplus}","{3481c71787d6aeaa933623961bc054479f4fce2d,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-10 10:16:56.105000,"{Simd,aflplusplus}","{32ca396f780371f1a7d1a9c2e0c3e39a3bd86bc2,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2111.0,139492.0,2174.0,139787.0,295.0,0.04187486827425291
simd,2021-06-10 10:16:56.105000,"{Simd,aflplusplus}","{32ca396f780371f1a7d1a9c2e0c3e39a3bd86bc2,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-11 09:42:14.300000,"{Simd,aflplusplus}","{6edf2e57a56f0cb06c2319217eb75e1d4218b9b7,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2174.0,139787.0,2222.0,140174.0,387.0,0.029949409885867695
simd,2021-06-11 09:42:14.300000,"{Simd,aflplusplus}","{6edf2e57a56f0cb06c2319217eb75e1d4218b9b7,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-12 11:03:49.545000,"{Simd,aflplusplus}","{9013f80d21463774be869f57ab126d49358a3522,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2222.0,140174.0,2233.0,140262.0,88.0,0.006847933162051456
simd,2021-06-14 11:08:21.487000,"{Simd,aflplusplus}","{9013f80d21463774be869f57ab126d49358a3522,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-15 06:10:31.674000,"{Simd,aflplusplus}","{9013f80d21463774be869f57ab126d49358a3522,ade8cdca55951958024c86766453430f904381c5}",2233.0,140262.0,2233.0,140262.0,0.0,0.0
simd,2021-06-15 06:10:31.674000,"{Simd,aflplusplus}","{9013f80d21463774be869f57ab126d49358a3522,ade8cdca55951958024c86766453430f904381c5}",2021-06-16 08:11:30.505000,"{Simd,aflplusplus}","{2abc6acef21f76b13631f45c6094155a4746fdb1,ade8cdca55951958024c86766453430f904381c5}",2233.0,140262.0,2233.0,140262.0,0.0,0.0
simd,2021-06-16 08:11:30.505000,"{Simd,aflplusplus}","{2abc6acef21f76b13631f45c6094155a4746fdb1,ade8cdca55951958024c86766453430f904381c5}",2021-06-17 09:48:15.133000,"{Simd,aflplusplus}","{6344d93a65416e7354701e6f4fd3b40203a17026,ade8cdca55951958024c86766453430f904381c5}",2233.0,140262.0,2233.0,140295.0,33.0,-0.00037447294168324596
simd,2021-06-17 09:48:15.133000,"{Simd,aflplusplus}","{6344d93a65416e7354701e6f4fd3b40203a17026,ade8cdca55951958024c86766453430f904381c5}",2021-06-18 08:46:29.376000,"{Simd,aflplusplus}","{8c49cbb3ddf28c98bc7abf10c8a744d15c7fc2ba,ade8cdca55951958024c86766453430f904381c5}",2233.0,140295.0,2233.0,140330.0,35.0,-0.0003969758148270053
simd,2021-06-18 08:46:29.376000,"{Simd,aflplusplus}","{8c49cbb3ddf28c98bc7abf10c8a744d15c7fc2ba,ade8cdca55951958024c86766453430f904381c5}",2021-06-19 09:08:31.709000,"{Simd,aflplusplus}","{839e3d3a765febc83c9bf94029ec516ea478eb9c,ade8cdca55951958024c86766453430f904381c5}",2233.0,140330.0,2233.0,140330.0,0.0,0.0
simd,2021-06-21 06:24:50.113000,"{Simd,aflplusplus}","{839e3d3a765febc83c9bf94029ec516ea478eb9c,ade8cdca55951958024c86766453430f904381c5}",2021-06-22 06:26:34.253000,"{Simd,aflplusplus}","{6e2511a5abde46530845d9371081f4b1b6c10693,ade8cdca55951958024c86766453430f904381c5}",2233.0,140330.0,2233.0,140330.0,0.0,0.0
simd,2021-06-22 06:26:34.253000,"{Simd,aflplusplus}","{6e2511a5abde46530845d9371081f4b1b6c10693,ade8cdca55951958024c86766453430f904381c5}",2021-06-23 06:21:45.610000,"{Simd,aflplusplus}","{b6a8faef05e1266212443e8992173ec08cfb207a,ade8cdca55951958024c86766453430f904381c5}",2233.0,140330.0,2233.0,140320.0,-10.0,0.00011340145370009047
simd,2021-06-23 06:21:45.610000,"{Simd,aflplusplus}","{b6a8faef05e1266212443e8992173ec08cfb207a,ade8cdca55951958024c86766453430f904381c5}",2021-06-25 11:14:27.496000,"{Simd,aflplusplus}","{3575bef3c5cf228548d721553fd07c7cf545f672,ade8cdca55951958024c86766453430f904381c5}",2233.0,140320.0,2223.0,140295.0,-25.0,-0.006844263409285345
simd,2021-06-28 10:50:12.165000,"{Simd,aflplusplus}","{3575bef3c5cf228548d721553fd07c7cf545f672,ade8cdca55951958024c86766453430f904381c5}",2021-06-29 08:21:59.554000,"{Simd,aflplusplus}","{f007891d7c312c3ac33f638044fa243865078d8a,ade8cdca55951958024c86766453430f904381c5}",2529.0,140295.0,2641.0,140341.0,46.0,0.07921476270000682
simd,2021-07-01 08:08:09.301000,"{Simd,aflplusplus}","{f007891d7c312c3ac33f638044fa243865078d8a,ade8cdca55951958024c86766453430f904381c5}",2021-07-03 08:57:24.932000,"{Simd,aflplusplus}","{1a5ee02959131efca57979d270372cb0893d567a,ade8cdca55951958024c86766453430f904381c5}",2653.0,140341.0,2941.0,140341.0,0.0,0.20521444196635352
simd,2021-07-06 07:03:16.514000,"{Simd,aflplusplus}","{1a5ee02959131efca57979d270372cb0893d567a,ade8cdca55951958024c86766453430f904381c5}",2021-07-07 08:11:40.787000,"{Simd,aflplusplus}","{b13bb305dedbe0dd23b81c4d82cd1c268e4a794e,ade8cdca55951958024c86766453430f904381c5}",3003.0,140341.0,3166.0,140341.0,0.0,0.1161456737517903
simd,2021-07-07 08:11:40.787000,"{Simd,aflplusplus}","{b13bb305dedbe0dd23b81c4d82cd1c268e4a794e,ade8cdca55951958024c86766453430f904381c5}",2021-07-08 08:58:07.404000,"{Simd,aflplusplus}","{2bb307d437123c26c13bb0fbdc52b67252c7d975,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",3166.0,140341.0,2391.0,140341.0,0.0,-0.5522263629302915
