project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
simdjson,2019-11-06 14:35:12.607000,"{simdjson,afl,libfuzzer}","{c38a46c93d73bf70f828656e09fada7f0b83513a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-07 14:35:34.450000,"{simdjson,afl,libfuzzer}","{1f14b633231dca33cf37d6bca1fdb212b75d02d2,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",1903.0,2784.0,1900.0,2688.0,-96.0,2.3296387520525457
simdjson,2019-11-07 14:35:34.450000,"{simdjson,afl,libfuzzer}","{1f14b633231dca33cf37d6bca1fdb212b75d02d2,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-08 14:34:41.540000,"{simdjson,afl,libfuzzer}","{0b071789fbb557245a57e546e84242ddcb09c383,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",1900.0,2688.0,1900.0,2696.0,8.0,-0.20974636145260206
simdjson,2019-11-10 14:34:45.747000,"{simdjson,afl,libfuzzer}","{0b071789fbb557245a57e546e84242ddcb09c383,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-11 14:35:14.266000,"{simdjson,afl,libfuzzer}","{58d249ca16f12625ae8c2ee9788a263d296b0684,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",1900.0,2696.0,1903.0,3244.0,548.0,-11.81263194868773
simdjson,2019-11-12 14:33:59.299000,"{simdjson,afl,libfuzzer}","{58d249ca16f12625ae8c2ee9788a263d296b0684,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-13 14:38:11.722000,"{simdjson,afl,libfuzzer}","{783ccd6c21fbab332bff530ccb90395b6a61da12,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",1903.0,3244.0,1903.0,3244.0,0.0,0.0
simdjson,2019-11-13 14:38:11.722000,"{simdjson,afl,libfuzzer}","{783ccd6c21fbab332bff530ccb90395b6a61da12,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-14 14:37:16.056000,"{simdjson,afl,libfuzzer}","{2704b7339944687973ec755faf93cc6459005815,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",1903.0,3244.0,1903.0,3244.0,0.0,0.0
simdjson,2019-11-18 14:33:39.061000,"{simdjson,afl,libfuzzer}","{2704b7339944687973ec755faf93cc6459005815,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-19 14:32:25.066000,"{simdjson,afl,libfuzzer}","{ce824f8653cfbd620ae4c5d6f934ddf0269e6dc1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",1903.0,3244.0,1903.0,3262.0,18.0,-0.32370282617684865
simdjson,2019-11-20 14:33:22.766000,"{simdjson,afl,libfuzzer}","{ce824f8653cfbd620ae4c5d6f934ddf0269e6dc1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-21 14:33:50.299000,"{simdjson,afl,libfuzzer}","{6cd8fb798249e3e51406fefce257fdac9ba7d02d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",1903.0,3262.0,1903.0,3262.0,0.0,0.0
simdjson,2019-11-21 14:33:50.299000,"{simdjson,afl,libfuzzer}","{6cd8fb798249e3e51406fefce257fdac9ba7d02d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-22 14:33:46.120000,"{simdjson,afl,libfuzzer}","{6e5178efc44485d4413455a94b1b0ee6f6a3afd4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",1903.0,3262.0,1903.0,3262.0,0.0,0.0
simdjson,2019-11-22 14:33:46.120000,"{simdjson,afl,libfuzzer}","{6e5178efc44485d4413455a94b1b0ee6f6a3afd4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-23 14:33:40.679000,"{simdjson,afl}","{6d14afd80e5cfd535bb87c60cf06f8771fde4059,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1903.0,3262.0,0.0,3262.0,0.0,-58.33844267320663
simdjson,2019-11-23 14:33:40.679000,"{simdjson,afl}","{6d14afd80e5cfd535bb87c60cf06f8771fde4059,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2019-11-24 14:32:41.904000,"{simdjson,afl}","{c5504ef50bc28310e05e798658eba9ec990bacd2,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",0.0,3262.0,0.0,3262.0,0.0,0.0
