project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
sketches-core,2023-10-24 06:13:10.745000,{sketches-core},{0dea24859d2b92bad3cb0bd2f3e2561ad37ec10c},2023-10-25 06:25:40.748000,{sketches-core},{def02507f91642afca8a7dd5952ba74b39b13adc},337.0,28634.0,337.0,28634.0,0.0,0.0
sketches-core,2023-10-25 06:25:40.748000,{sketches-core},{def02507f91642afca8a7dd5952ba74b39b13adc},2023-10-26 06:41:59.059000,{sketches-core},{fcded4690800ac9cd64cacd5b70326c6657a5e94},337.0,28634.0,337.0,28626.0,-8.0,0.0003289100928214328
sketches-core,2023-10-31 07:09:17.106000,{sketches-core},{fcded4690800ac9cd64cacd5b70326c6657a5e94},2023-11-01 06:23:05.332000,{sketches-core},{007f35b59ec8b7f56fbfdf4145af2974be3c06f0},337.0,28626.0,337.0,28626.0,0.0,0.0
sketches-core,2023-11-30 07:14:14.354000,{sketches-core},{007f35b59ec8b7f56fbfdf4145af2974be3c06f0},2023-12-01 06:09:20.356000,{sketches-core},{e06ae7de4d4f6faa3a79840c34b5615a77ba056d},337.0,28626.0,337.0,28746.0,120.0,-0.004914428928119552
sketches-core,2023-12-04 06:33:12.812000,{sketches-core},{e06ae7de4d4f6faa3a79840c34b5615a77ba056d},2023-12-06 06:04:59.386000,{sketches-core},{80294aa3156c9a1594c8ffa89dce5fbf8c54e8c7},337.0,28746.0,337.0,28746.0,0.0,0.0
sketches-core,2023-12-06 06:04:59.386000,{sketches-core},{80294aa3156c9a1594c8ffa89dce5fbf8c54e8c7},2023-12-07 06:05:45.877000,{sketches-core},{0d48b4bd9e8929d468cc651817250895e89e9739},337.0,28746.0,337.0,28747.0,1.0,-4.0781195282946214e-05
sketches-core,2023-12-07 06:05:45.877000,{sketches-core},{0d48b4bd9e8929d468cc651817250895e89e9739},2023-12-08 07:03:17.242000,{sketches-core},{d2e0a460c72427edab4c304e13bf080b4edb980e},337.0,28747.0,337.0,28747.0,0.0,0.0
sketches-core,2023-12-20 06:23:18.334000,{sketches-core},{d2e0a460c72427edab4c304e13bf080b4edb980e},2023-12-21 07:09:54.248000,{sketches-core},{4d43fc30d33da9838011d703617432da7cc42386},337.0,28747.0,337.0,28738.0,-9.0,0.0003671329304915094
sketches-core,2023-12-21 07:09:54.248000,{sketches-core},{4d43fc30d33da9838011d703617432da7cc42386},2023-12-22 07:37:42.723000,{sketches-core},{4362127564521bfc7858b80f10359021fad27363},337.0,28738.0,337.0,28741.0,3.0,-0.00012240319117684528
sketches-core,2024-01-03 07:39:51.097000,{sketches-core},{4362127564521bfc7858b80f10359021fad27363},2024-01-04 07:24:33.514000,{sketches-core},{1d5ea1c7d242b97115ca245e25c1bc139df55aae},337.0,28741.0,337.0,28778.0,37.0,-0.0015075410336311545
sketches-core,2024-01-05 08:00:53.925000,{sketches-core},{1d5ea1c7d242b97115ca245e25c1bc139df55aae},2024-01-06 06:15:48.326000,{sketches-core},{9c2f8d9f64a2caa713441015ce83ba5cfa89d5a8},337.0,28778.0,337.0,28796.0,18.0,-0.0007319975590234229
sketches-core,2024-01-08 06:13:57.189000,{sketches-core},{9c2f8d9f64a2caa713441015ce83ba5cfa89d5a8},2024-01-09 07:28:55.563000,{sketches-core},{4e906b21009ac298030d5fdac660e8dc404eb80b},337.0,28796.0,337.0,28796.0,0.0,0.0
sketches-core,2024-01-09 07:28:55.563000,{sketches-core},{4e906b21009ac298030d5fdac660e8dc404eb80b},2024-01-10 06:04:22.504000,{sketches-core},{1e7cfb58f7a03de99021d257f3ee82868179168b},337.0,28796.0,337.0,28796.0,0.0,0.0
sketches-core,2024-01-12 06:08:26.873000,{sketches-core},{1e7cfb58f7a03de99021d257f3ee82868179168b},2024-01-13 06:38:03.457000,{sketches-core},{5eec0c3ab02be97f28d7d89570db070f70fbd47f},337.0,28796.0,337.0,28795.0,-1.0,4.0642522339151554e-05
sketches-core,2024-01-17 06:06:03.387000,{sketches-core},{5eec0c3ab02be97f28d7d89570db070f70fbd47f},2024-01-18 06:34:32.579000,{sketches-core},{7c94738fa6d321657e637dea62350208b28fb661},337.0,28795.0,337.0,28795.0,0.0,0.0
sketches-core,2024-01-24 06:40:42.249000,{sketches-core},{7c94738fa6d321657e637dea62350208b28fb661},2024-01-25 06:05:25.753000,{sketches-core},{b078525664d07de424d7153036d5d83274d4d331},337.0,28795.0,337.0,28829.0,34.0,-0.0013802639873532474
sketches-core,2024-01-25 06:05:25.753000,{sketches-core},{b078525664d07de424d7153036d5d83274d4d331},2024-01-26 06:30:34.197000,{sketches-core},{ff07407123959746b3f13b284c62d1ddba65cb84},337.0,28829.0,337.0,28869.0,40.0,-0.0016196775908956518
sketches-core,2024-01-31 06:28:57.317000,{sketches-core},{ff07407123959746b3f13b284c62d1ddba65cb84},2024-02-01 06:07:01.833000,{sketches-core},{10f1048cceecd1a8334c89c922f22cea06b1c224},337.0,28869.0,337.0,28867.0,-2.0,8.087727382122267e-05
sketches-core,2024-02-06 06:10:03.730000,{sketches-core},{10f1048cceecd1a8334c89c922f22cea06b1c224},2024-02-07 06:17:59.328000,{sketches-core},{5e7174f45557dce790681a82e085695ead21fab2},337.0,28867.0,337.0,29215.0,348.0,-0.013905980048684707
sketches-core,2024-02-14 06:15:53.229000,{sketches-core},{5e7174f45557dce790681a82e085695ead21fab2},2024-02-15 06:05:40.461000,{sketches-core},{e89a10e0a082658534d6a750281de66b7d83e670},337.0,29215.0,337.0,29247.0,32.0,-0.001262096793707146
sketches-core,2024-02-16 06:11:32.198000,{sketches-core},{e89a10e0a082658534d6a750281de66b7d83e670},2024-02-17 06:32:01.153000,{sketches-core},{ed1de413998b075b4935d993ed76720d90a308cb},337.0,29247.0,337.0,29258.0,11.0,-0.0004332081568605428
