project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
sleuthkit,2020-08-17 06:06:15.937000,"{sleuthkit,afl}","{34f995dc10eb15fcbd34dd85ac03d050bc29b39c,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-18 08:37:44.431000,"{sleuthkit,afl}","{127053d7035c1e64179ac909721cb54772dcddd1,82b5e359463238d790cadbe2dd494d6a4928bff3}",8623.0,41740.0,8343.0,41740.0,0.0,-0.6708193579300428
sleuthkit,2020-08-20 07:06:37.617000,"{sleuthkit,afl}","{127053d7035c1e64179ac909721cb54772dcddd1,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-21 06:49:50.789000,"{sleuthkit,afl}","{f60118dbffc7b79cdab84f6e51ea5628db4a9047,82b5e359463238d790cadbe2dd494d6a4928bff3}",8567.0,41740.0,8903.0,41740.0,0.0,0.8049832295160542
sleuthkit,2020-08-21 06:49:50.789000,"{sleuthkit,afl}","{f60118dbffc7b79cdab84f6e51ea5628db4a9047,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-22 07:24:56.982000,"{sleuthkit,afl}","{58b82c1f293fda9c820ac072522cb1c17cb8b63d,82b5e359463238d790cadbe2dd494d6a4928bff3}",8903.0,41740.0,8336.0,41740.0,0.0,-1.3584091998083387
sleuthkit,2020-08-25 06:13:57.394000,"{sleuthkit,afl}","{58b82c1f293fda9c820ac072522cb1c17cb8b63d,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-26 07:47:26.030000,"{sleuthkit,afl}","{607f794108c9115cc72a2abf487291aad4ca7e55,82b5e359463238d790cadbe2dd494d6a4928bff3}",8426.0,41740.0,6145.0,41740.0,0.0,-5.464781983708676
sleuthkit,2020-08-27 06:22:37.344000,"{sleuthkit,afl}","{607f794108c9115cc72a2abf487291aad4ca7e55,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-28 08:22:42.410000,"{sleuthkit,afl}","{cee361d8e81c086621409519e57767e400150bf0,82b5e359463238d790cadbe2dd494d6a4928bff3}",8100.0,41740.0,7821.0,41752.0,12.0,-0.6738089228908457
sleuthkit,2020-09-04 07:09:19.434000,"{sleuthkit,afl}","{cee361d8e81c086621409519e57767e400150bf0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-05 08:02:29.837000,"{sleuthkit,afl}","{43e04280c27a4d5860d74c675b1a08003afd0bcf,82b5e359463238d790cadbe2dd494d6a4928bff3}",8345.0,41752.0,8328.0,41752.0,0.0,-0.040716612377849515
sleuthkit,2020-09-08 08:21:16.518000,"{sleuthkit,afl}","{43e04280c27a4d5860d74c675b1a08003afd0bcf,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-09 06:39:08.812000,"{sleuthkit,afl}","{f7869b0abd4112ad3f2f8598c4d681346605cdef,82b5e359463238d790cadbe2dd494d6a4928bff3}",8381.0,41752.0,8265.0,41753.0,1.0,-0.2783051107681409
sleuthkit,2020-09-10 06:10:35.322000,"{sleuthkit,afl}","{f7869b0abd4112ad3f2f8598c4d681346605cdef,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-11 09:28:21.172000,"{sleuthkit,afl}","{82d254b30fd4b68e6569f4a16d01949d5ddc47aa,82b5e359463238d790cadbe2dd494d6a4928bff3}",7868.0,41753.0,8892.0,41758.0,5.0,2.4499683707420132
sleuthkit,2020-09-11 09:28:21.172000,"{sleuthkit,afl}","{82d254b30fd4b68e6569f4a16d01949d5ddc47aa,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-12 06:05:36.359000,"{sleuthkit,afl}","{7486e60d06188822d429e6ee768dd8586047454f,82b5e359463238d790cadbe2dd494d6a4928bff3}",8892.0,41758.0,8571.0,41758.0,0.0,-0.7687149767709229
sleuthkit,2020-09-14 06:48:10.230000,"{sleuthkit,afl}","{7486e60d06188822d429e6ee768dd8586047454f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-15 07:12:56.207000,"{sleuthkit,afl}","{7cb76abf5c4b6df881a61a3904bf2b89587b2dc1,82b5e359463238d790cadbe2dd494d6a4928bff3}",8073.0,41758.0,7661.0,41758.0,0.0,-0.9866372910580026
sleuthkit,2020-09-16 06:05:48.261000,"{sleuthkit,afl}","{7cb76abf5c4b6df881a61a3904bf2b89587b2dc1,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-17 06:06:54.373000,"{sleuthkit,afl}","{3477955554deb198473dff957c0d9deaf870c26a,82b5e359463238d790cadbe2dd494d6a4928bff3}",8655.0,41758.0,8270.0,41758.0,0.0,-0.9219790219838124
sleuthkit,2020-09-17 06:06:54.373000,"{sleuthkit,afl}","{3477955554deb198473dff957c0d9deaf870c26a,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-18 07:35:48.908000,"{sleuthkit,afl}","{900b5e983e6f828a3e7e7f7e39a3fcf4be863ed0,82b5e359463238d790cadbe2dd494d6a4928bff3}",8270.0,41758.0,9306.0,41758.0,0.0,2.4809617318837134
