project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
snakeyaml,2022-04-27 06:19:28.826000,"{snakeyaml,aflplusplus}","{5150df18d81cbe8a2c6296c69d0a6e5f8150e502,550ba4d77294e61597a5259d00769c61281e0042}",2022-04-29 06:12:52.037000,"{snakeyaml,aflplusplus}","{4b8d1af4bd422a015fbb07d235f282412c863220,550ba4d77294e61597a5259d00769c61281e0042}",2865.0,4536.0,2865.0,4536.0,0.0,0.0
snakeyaml,2022-04-29 06:12:52.037000,"{snakeyaml,aflplusplus}","{4b8d1af4bd422a015fbb07d235f282412c863220,550ba4d77294e61597a5259d00769c61281e0042}",2022-04-30 06:14:58.882000,"{snakeyaml,aflplusplus}","{3d82e84ddcdeb2007f9504a27abd72d3e4cfa5dd,550ba4d77294e61597a5259d00769c61281e0042}",2865.0,4536.0,2903.0,4560.0,24.0,0.5009050403787185
snakeyaml,2022-05-02 06:10:10.966000,"{snakeyaml,aflplusplus}","{3d82e84ddcdeb2007f9504a27abd72d3e4cfa5dd,550ba4d77294e61597a5259d00769c61281e0042}",2022-05-03 06:08:33.976000,"{snakeyaml,aflplusplus}","{3d82e84ddcdeb2007f9504a27abd72d3e4cfa5dd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2926.0,4560.0,2926.0,4560.0,0.0,0.0
snakeyaml,2022-05-29 06:09:15.441000,"{snakeyaml,aflplusplus}","{3d82e84ddcdeb2007f9504a27abd72d3e4cfa5dd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-30 06:14:11.688000,"{snakeyaml,aflplusplus}","{6aedd33a811f7347c5dae2940e75940966f59466,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2972.0,4560.0,2976.0,4566.0,6.0,0.001959563824129873
snakeyaml,2022-07-06 06:15:14.625000,"{snakeyaml,aflplusplus}","{6aedd33a811f7347c5dae2940e75940966f59466,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-07 06:12:47.442000,"{snakeyaml,aflplusplus}","{89ba8dd5716d03a45489af5beeaecf781018cf97,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2976.0,4566.0,2976.0,4566.0,0.0,0.0
snakeyaml,2022-07-20 06:16:00.711000,"{snakeyaml,aflplusplus}","{89ba8dd5716d03a45489af5beeaecf781018cf97,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-21 06:30:32.712000,"{snakeyaml,aflplusplus}","{607672097f3aeec3357488881440c730900b06b6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2831.0,4572.0,2831.0,4572.0,0.0,0.0
snakeyaml,2022-08-10 06:34:55.480000,"{snakeyaml,aflplusplus}","{607672097f3aeec3357488881440c730900b06b6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-21 06:30:07.667000,"{snakeyaml,centipede,aflplusplus}","{80827798f06aeb3d4f2632b94075ca7633418829,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2808.0,4572.0,2762.0,4534.0,-38.0,-0.4998107040766442
snakeyaml,2022-09-21 06:30:07.667000,"{snakeyaml,centipede,aflplusplus}","{80827798f06aeb3d4f2632b94075ca7633418829,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:23:44.289000,"{snakeyaml,centipede,aflplusplus}","{1962a437263348c3b90857cda4bbfa2bd97908f8,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2762.0,4534.0,2755.0,4534.0,0.0,-0.15438906043227973
snakeyaml,2022-09-22 06:23:44.289000,"{snakeyaml,centipede,aflplusplus}","{1962a437263348c3b90857cda4bbfa2bd97908f8,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-23 06:50:22.194000,"{snakeyaml,centipede,aflplusplus}","{5761670cd73b6f41cfc906a5ba722bb6bf1f3e17,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2755.0,4534.0,2765.0,4531.0,-3.0,0.26093342953219434
snakeyaml,2022-09-25 06:27:59.441000,"{snakeyaml,centipede,aflplusplus}","{5761670cd73b6f41cfc906a5ba722bb6bf1f3e17,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-26 06:32:41.458000,"{snakeyaml,centipede,aflplusplus}","{094691f9392fbf6997d05aeaa4c615a434b41120,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2761.0,4531.0,2770.0,4531.0,0.0,0.19863164864267446
snakeyaml,2022-09-26 06:32:41.458000,"{snakeyaml,centipede,aflplusplus}","{094691f9392fbf6997d05aeaa4c615a434b41120,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-27 06:24:04.929000,"{snakeyaml,centipede,aflplusplus}","{8a20aaf18a96f8cd1c331fef87c25b83b27a6ede,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2770.0,4531.0,2758.0,4531.0,0.0,-0.26484219819023735
snakeyaml,2022-10-01 06:28:46.679000,"{snakeyaml,centipede,aflplusplus}","{8a20aaf18a96f8cd1c331fef87c25b83b27a6ede,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-02 06:29:00.625000,"{snakeyaml,centipede,aflplusplus}","{c17d11f90655b8e223bc746b77e7d14df0fee7fe,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2743.0,4531.0,2743.0,4531.0,0.0,0.0
snakeyaml,2022-10-04 06:50:25.668000,"{snakeyaml,centipede,aflplusplus}","{c17d11f90655b8e223bc746b77e7d14df0fee7fe,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-05 06:45:58.511000,"{snakeyaml,centipede,aflplusplus}","{eb360ecbaf1974d033b4b67151dd821d7ec3c125,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2743.0,4531.0,2743.0,4531.0,0.0,0.0
snakeyaml,2022-10-13 06:44:21.406000,"{snakeyaml,centipede,aflplusplus}","{eb360ecbaf1974d033b4b67151dd821d7ec3c125,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-14 07:03:44.172000,"{snakeyaml,centipede,aflplusplus}","{15fad8d2d92654b2df3b6e1e7563cd7c0e4153cb,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2745.0,4531.0,2745.0,4531.0,0.0,0.0
snakeyaml,2022-10-26 20:07:59.900000,"{snakeyaml,centipede,aflplusplus}","{15fad8d2d92654b2df3b6e1e7563cd7c0e4153cb,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:53:08.720000,"{snakeyaml,centipede}","{15fad8d2d92654b2df3b6e1e7563cd7c0e4153cb,baa82e7189677bb9086beb5d9b5e58018d991607}",2745.0,4531.0,2745.0,4531.0,0.0,0.0
snakeyaml,2022-11-11 06:22:00.845000,"{snakeyaml,centipede}","{15fad8d2d92654b2df3b6e1e7563cd7c0e4153cb,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-12 06:06:10.766000,"{snakeyaml,centipede}","{8879323e771e0b0197041c366798f053e6ba589a,baa82e7189677bb9086beb5d9b5e58018d991607}",2846.0,4439.0,2846.0,4439.0,0.0,0.0
snakeyaml,2022-11-15 06:28:11.216000,"{snakeyaml,centipede}","{8879323e771e0b0197041c366798f053e6ba589a,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-16 06:18:10.313000,"{snakeyaml,centipede}","{8f65b19fac59cba2e48720ffc09e9a845b29d233,baa82e7189677bb9086beb5d9b5e58018d991607}",2846.0,4439.0,2846.0,4439.0,0.0,0.0
snakeyaml,2022-11-16 06:18:10.313000,"{snakeyaml,centipede}","{8f65b19fac59cba2e48720ffc09e9a845b29d233,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:25:22.218000,{snakeyaml},{8f65b19fac59cba2e48720ffc09e9a845b29d233},2846.0,4439.0,2846.0,4439.0,0.0,0.0
snakeyaml,2022-12-04 06:11:22.072000,{snakeyaml},{8f65b19fac59cba2e48720ffc09e9a845b29d233},2022-12-05 06:18:51.385000,{snakeyaml},{4f4ae17496a73b85598432c5152964bdb0965dd6},2846.0,4439.0,2858.0,4463.0,24.0,-0.07589624424134911
snakeyaml,2022-12-09 06:38:37.010000,{snakeyaml},{4f4ae17496a73b85598432c5152964bdb0965dd6},2022-12-10 06:05:04.065000,{snakeyaml},{1d2c1cd365774876e8c7c63eace7e906c0aca2bf},2856.0,4463.0,2862.0,4478.0,15.0,-0.08036901496770099
snakeyaml,2022-12-13 06:23:08.792000,{snakeyaml},{1d2c1cd365774876e8c7c63eace7e906c0aca2bf},2022-12-14 06:22:59.283000,{snakeyaml},{618366b4925cbe3c08a155dfc1ccc99ba6542ea1},2884.0,4478.0,2880.0,4463.0,-15.0,0.12683313356998838
snakeyaml,2022-12-14 06:22:59.283000,{snakeyaml},{618366b4925cbe3c08a155dfc1ccc99ba6542ea1},2022-12-15 06:15:26.597000,{snakeyaml},{fc1701c1130f83469c3712fb824b27af50c88898},2880.0,4463.0,2889.0,4609.0,146.0,-1.8488751100086915
snakeyaml,2022-12-20 06:13:10.120000,{snakeyaml},{fc1701c1130f83469c3712fb824b27af50c88898},2022-12-21 06:10:27.548000,{snakeyaml},{caa0f6fb08190216d4b105657c3f82248c925691},2887.0,4609.0,2887.0,4484.0,-125.0,1.7461618069134701
snakeyaml,2022-12-21 06:10:27.548000,{snakeyaml},{caa0f6fb08190216d4b105657c3f82248c925691},2022-12-22 06:35:42.439000,{snakeyaml},{5735ec7ca65a68da96083c34accbffb4fa0985b3},2887.0,4484.0,2890.0,4484.0,0.0,0.06690454950937408
snakeyaml,2022-12-22 06:35:42.439000,{snakeyaml},{5735ec7ca65a68da96083c34accbffb4fa0985b3},2022-12-23 06:09:18.205000,{snakeyaml},{62d2e44a0cd298b48cc14a733735073a8f7f8dc1},2890.0,4484.0,2890.0,4484.0,0.0,0.0
snakeyaml,2022-12-30 06:04:34.275000,{snakeyaml},{62d2e44a0cd298b48cc14a733735073a8f7f8dc1},2023-01-03 06:04:38.283000,{snakeyaml},{07f21ed420a3b7bc7298ef1243f8bb73492be62d},2890.0,4484.0,2935.0,4514.0,30.0,0.5685552767344575
snakeyaml,2023-01-04 06:21:52.282000,{snakeyaml},{07f21ed420a3b7bc7298ef1243f8bb73492be62d},2023-01-18 06:44:19.300000,{snakeyaml},{519791aa35b5415494234cd91c250ba5ed9fa80a},2935.0,4514.0,2918.0,4424.0,-90.0,0.9384707091700193
snakeyaml,2023-01-18 06:44:19.300000,{snakeyaml},{519791aa35b5415494234cd91c250ba5ed9fa80a},2023-01-19 06:28:55.833000,{snakeyaml},{5acd0d60316aadc4601e71570c522cd877b8d994},2918.0,4424.0,2918.0,4424.0,0.0,0.0
snakeyaml,2023-01-19 06:28:55.833000,{snakeyaml},{5acd0d60316aadc4601e71570c522cd877b8d994},2023-01-20 06:05:58.189000,{snakeyaml},{dae958e8da55e05bb52e0e6b40597b91102d7bdd},2918.0,4424.0,2918.0,4424.0,0.0,0.0
snakeyaml,2023-01-20 06:05:58.189000,{snakeyaml},{dae958e8da55e05bb52e0e6b40597b91102d7bdd},2023-01-21 06:10:39.224000,{snakeyaml},{b7cf601a2807f54b06d978385c572d8aec865a07},2918.0,4424.0,2918.0,4424.0,0.0,0.0
snakeyaml,2023-01-22 06:06:16.021000,{snakeyaml},{b7cf601a2807f54b06d978385c572d8aec865a07},2023-01-23 06:18:01.011000,{snakeyaml},{2fb82e3071d6a3ac8adc2f80f378814be239d9a7},2918.0,4424.0,2933.0,4439.0,15.0,0.11503128402817708
