project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
spicy,2023-04-13 06:36:52.623000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,3705933dea45264c3e8267a9a7936dc1daf3796d,1a43521184fa54945d5fc690fd07b5b6d08d5de6,64ff20dcb06b4b5d8139ced3fd29a6d11ea10b47,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,b2b2823f776c2353a219cae541c36d6edaf66494}",2023-04-14 06:57:44.395000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,3705933dea45264c3e8267a9a7936dc1daf3796d,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,4ca672d3759f07c31254439672a1ffb6a86fd49c}",18628.0,38858.0,18694.0,38952.0,94.0,0.053752491508937794
spicy,2023-04-14 06:57:44.395000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,3705933dea45264c3e8267a9a7936dc1daf3796d,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,4ca672d3759f07c31254439672a1ffb6a86fd49c}",2023-04-15 06:15:50.101000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,5d0b657048416d8ac15e5f7c65e50350a37c4249}",18694.0,38952.0,18702.0,38956.0,4.0,0.015608132158980936
spicy,2023-04-19 06:47:05.953000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,5d0b657048416d8ac15e5f7c65e50350a37c4249}",2023-04-20 06:27:38.493000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,7b4f1b51d3834104693d76d7a43e76f2e9831e08}",18702.0,38956.0,18702.0,38956.0,0.0,0.0
spicy,2023-04-21 07:06:04.103000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,7b4f1b51d3834104693d76d7a43e76f2e9831e08}",2023-04-22 07:21:54.971000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,494b5774f57cd76a3c5d8c5f1465a3650513cc5f}",18701.0,38956.0,18280.0,39000.0,44.0,-1.1336471653752724
spicy,2023-04-24 08:00:39.085000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,494b5774f57cd76a3c5d8c5f1465a3650513cc5f}",2023-04-25 06:50:41.207000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,55b4cbc55f2ecd1e25155f75212b18936fc90346}",18683.0,39000.0,18727.0,39008.0,8.0,0.10297269725079161
spicy,2023-04-27 06:33:11.307000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,55b4cbc55f2ecd1e25155f75212b18936fc90346}",2023-04-28 06:53:35.941000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,10620ee98c46d70e4cd44bdfbd4d3f6547816593}",18220.0,37769.0,20609.0,37769.0,0.0,6.325293229897532
spicy,2023-04-28 06:53:35.941000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,10620ee98c46d70e4cd44bdfbd4d3f6547816593}",2023-04-29 06:33:21.428000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,90d4009b290ac00d1f948a5464475a5d26ac53b5}",20609.0,37769.0,20613.0,37777.0,8.0,-0.0009669193095689366
spicy,2023-05-08 06:22:40.452000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,90d4009b290ac00d1f948a5464475a5d26ac53b5}",2023-05-09 06:26:28.779000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,3ee84d6d8af25067920dafecccbdda32b17b1524}",20613.0,37777.0,20617.0,37777.0,0.0,0.010588453291681788
spicy,2023-05-09 06:26:28.779000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,3ee84d6d8af25067920dafecccbdda32b17b1524}",2023-05-10 06:17:47.238000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,5ab64472dabe813ff45dbcd58e96b436936d2c85}",20617.0,37777.0,20617.0,37777.0,0.0,0.0
spicy,2023-05-10 06:17:47.238000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,5ab64472dabe813ff45dbcd58e96b436936d2c85}",2023-05-11 06:20:49.229000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,5b9e8fe0b6dcc28fcdc5e63a968c48400ae973f9}",20617.0,37777.0,20617.0,37777.0,0.0,0.0
spicy,2023-05-11 06:20:49.229000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,5b9e8fe0b6dcc28fcdc5e63a968c48400ae973f9}",2023-05-12 06:49:14.092000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,ec87b43037dba50648cb93be8940a4db23658905}",20617.0,37777.0,20626.0,37785.0,8.0,0.01226401262329091
spicy,2023-05-19 06:21:26.637000,"{spicy-tftp,spicy-dns,spicy-http,spicy-pe,spicy-dhcp,spicy-png,spicy}","{04897675544a86549217faad1ce85be7136efe7f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,96e7f8e54757b88ff82102e2a9e07ad742984acb,ec87b43037dba50648cb93be8940a4db23658905}",2023-05-20 06:15:55.765000,"{spicy-png,spicy-dhcp,spicy-tftp,spicy-pe,spicy-dns,spicy-http,spicy}","{96e7f8e54757b88ff82102e2a9e07ad742984acb,bb3241f8357c1d2d88bd82e59be6483a7fd038a9,04897675544a86549217faad1ce85be7136efe7f,f8ac9ac568ba69f48e79f9d83cf3fea7e2b9dc9f,f2765e9f1a5a809a8ca6fd1897ad1fa43d4ad938,1a43521184fa54945d5fc690fd07b5b6d08d5de6,ec87b43037dba50648cb93be8940a4db23658905}",20626.0,37785.0,22938.0,37788.0,3.0,6.11401070715111
