project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
spotify-json,2021-03-16 08:44:40.596000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,74a6044b3fba496c1255f9aedbf5b7253ae29f0e}",2021-03-17 09:04:55.405000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,7c2436c7114e21f029b06346421a73910deac578}",704.0,1005.0,704.0,1005.0,0.0,0.0
spotify-json,2021-03-18 10:07:59.489000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,7c2436c7114e21f029b06346421a73910deac578}",2021-03-19 09:46:54.918000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,94312796f936ba1830b61432a0f958e192dd212f}",704.0,1005.0,704.0,1005.0,0.0,0.0
spotify-json,2021-03-19 09:46:54.918000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,94312796f936ba1830b61432a0f958e192dd212f}",2021-03-20 08:54:05.287000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,2102264acf5c271b7560a82771b3af8136af9354}",704.0,1005.0,704.0,1005.0,0.0,0.0
spotify-json,2021-04-02 09:27:13.554000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,2102264acf5c271b7560a82771b3af8136af9354}",2021-04-03 07:07:54.040000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",704.0,1005.0,704.0,1005.0,0.0,0.0
spotify-json,2021-04-30 07:13:20.273000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-05-01 06:18:11.030000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,f4cc718fdc4571f56280a1efad3645125bee2154}",704.0,1005.0,704.0,1005.0,0.0,0.0
spotify-json,2021-05-24 06:04:12.974000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 06:18:53.736000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",704.0,1005.0,704.0,1005.0,0.0,0.0
spotify-json,2021-06-14 06:03:52.234000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-15 08:22:31.118000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,ade8cdca55951958024c86766453430f904381c5}",704.0,1005.0,704.0,1005.0,0.0,0.0
spotify-json,2021-07-07 09:53:52.653000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,ade8cdca55951958024c86766453430f904381c5}",2021-07-08 07:31:19.167000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",704.0,1005.0,704.0,1005.0,0.0,0.0
spotify-json,2021-07-14 10:48:45.925000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-15 09:40:14.244000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",704.0,1005.0,704.0,1005.0,0.0,0.0
spotify-json,2021-11-11 08:18:22.726000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 06:03:01.762000,"{spotify-json,aflplusplus}","{00c9b6b3eb4a8c93a00d32f456570ec384eaf92e,533e979010ca338df6fc415d87668f8187752915}",680.0,958.0,680.0,958.0,0.0,0.0
