project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
sqlite-jdbc,2023-10-23 06:04:46.015000,{sqlite-jdbc},{7cfe7ba9a3b952987178ff7720a00fbcd5d787ca},2023-10-24 07:12:52.573000,{sqlite-jdbc},{4dba62c47e56af6763b938de48f743040755e77a},1303.0,5913.0,1303.0,5913.0,0.0,0.0
sqlite-jdbc,2023-10-29 07:37:44.029000,{sqlite-jdbc},{4dba62c47e56af6763b938de48f743040755e77a},2023-10-30 06:34:29.104000,{sqlite-jdbc},{24d685bd9c47c21ff703410ac4a9c30b762cbd11},1304.0,5913.0,1303.0,5912.0,-1.0,-0.013184522440514712
sqlite-jdbc,2023-11-05 06:25:14.300000,{sqlite-jdbc},{24d685bd9c47c21ff703410ac4a9c30b762cbd11},2023-11-06 06:59:29.652000,{sqlite-jdbc},{09a1deb5e43c950e225782876a43dd87763580c8},1303.0,5912.0,1303.0,5912.0,0.0,0.0
sqlite-jdbc,2023-11-06 06:59:29.652000,{sqlite-jdbc},{09a1deb5e43c950e225782876a43dd87763580c8},2023-11-07 06:50:46.769000,{sqlite-jdbc},{42323521f6672fe5a43167d272cc257920a34af0},1303.0,5912.0,1304.0,5912.0,0.0,0.016914749661701478
sqlite-jdbc,2023-11-07 06:50:46.769000,{sqlite-jdbc},{42323521f6672fe5a43167d272cc257920a34af0},2023-11-08 07:08:52.645000,{sqlite-jdbc},{68239548acaf02236d81f2aece93412d6647f77b},1304.0,5912.0,1304.0,5915.0,3.0,-0.011186897832050846
sqlite-jdbc,2023-11-12 06:13:12.671000,{sqlite-jdbc},{68239548acaf02236d81f2aece93412d6647f77b},2023-11-13 06:05:10.924000,{sqlite-jdbc},{f33542dcfb2f5aedc85b2e0735fd553924d4aaec},1303.0,5915.0,1303.0,5915.0,0.0,0.0
sqlite-jdbc,2023-11-13 06:05:10.924000,{sqlite-jdbc},{f33542dcfb2f5aedc85b2e0735fd553924d4aaec},2023-11-14 06:13:05.322000,{sqlite-jdbc},{8cd1fa1addbaf0e70d91b6054dcc50b3eaef5c7b},1303.0,5915.0,1303.0,5915.0,0.0,0.0
sqlite-jdbc,2023-11-20 07:06:24.662000,{sqlite-jdbc},{8cd1fa1addbaf0e70d91b6054dcc50b3eaef5c7b},2023-11-21 06:31:48.610000,{sqlite-jdbc},{baf12955eed2b144f14d3d38bc163d94969d539b},1303.0,5915.0,1303.0,5915.0,0.0,0.0
sqlite-jdbc,2023-11-26 07:15:57.365000,{sqlite-jdbc},{baf12955eed2b144f14d3d38bc163d94969d539b},2023-11-27 06:04:48.993000,{sqlite-jdbc},{263c296f0057b1de9d758fbdef5ccfd2762add26},1304.0,5915.0,1303.0,5915.0,0.0,-0.01690617075232481
sqlite-jdbc,2023-12-04 06:52:03.385000,{sqlite-jdbc},{263c296f0057b1de9d758fbdef5ccfd2762add26},2023-12-05 06:44:24.066000,{sqlite-jdbc},{7d44a45f3baee81674ae20389540709b9ab0cb4c},1303.0,5915.0,1303.0,5915.0,0.0,0.0
sqlite-jdbc,2023-12-18 06:06:54.962000,{sqlite-jdbc},{7d44a45f3baee81674ae20389540709b9ab0cb4c},2023-12-19 07:14:35.339000,{sqlite-jdbc},{47c2b523a2a6c4e0b9dd7896bf6cd33f77f162e1},1297.0,5915.0,1303.0,5915.0,0.0,0.10143702451394887
sqlite-jdbc,2024-01-03 06:18:29.983000,{sqlite-jdbc},{47c2b523a2a6c4e0b9dd7896bf6cd33f77f162e1},2024-01-04 06:19:30.848000,{sqlite-jdbc},{55202950d5b97d8ad6d2829287045dbf839b8e11},1303.0,5915.0,1303.0,5915.0,0.0,0.0
