project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
sqlparse,2022-12-30 06:29:14.019000,{sqlparse},{9f44d54c07180b826a6276d3acf5e1458b507c3f},2022-12-31 06:20:06.901000,{sqlparse},{8b789f286e1b6cbf05c15020ea7544cb7f02f8f7},1955.0,7130.0,1955.0,7130.0,0.0,0.0
sqlparse,2023-01-02 06:35:52.331000,{sqlparse},{8b789f286e1b6cbf05c15020ea7544cb7f02f8f7},2023-01-03 06:21:01.592000,{sqlparse},{907fb496f90f2719095a1f01fe24db1e5c0e15a8},1955.0,7130.0,1979.0,7154.0,24.0,0.24349112159225328
sqlparse,2023-01-05 06:28:05.796000,{sqlparse},{907fb496f90f2719095a1f01fe24db1e5c0e15a8},2023-01-06 06:24:56.747000,{sqlparse},{7fdb2da82d51a9a02baaefb5c7fe5cbbaac4329e},1979.0,7154.0,1979.0,7155.0,1.0,-0.0038662258504977842
sqlparse,2023-03-20 06:56:24.117000,{sqlparse},{7fdb2da82d51a9a02baaefb5c7fe5cbbaac4329e},2023-03-21 06:15:33.422000,{sqlparse},{fc76056fb8f0ec713a3f2a2b6206a3336932c382},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-04-14 07:08:32.434000,{sqlparse},{fc76056fb8f0ec713a3f2a2b6206a3336932c382},2023-04-15 07:17:08.806000,{sqlparse},{b949fdf9a1538f98b57612bef6306fc38f32aaf7},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-04-18 06:07:01.261000,{sqlparse},{b949fdf9a1538f98b57612bef6306fc38f32aaf7},2023-04-19 06:25:07.838000,{sqlparse},{bd417b8c7d6b79d0b6af1b42c78b17d13b724411},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-06-03 06:33:53.596000,{sqlparse},{bd417b8c7d6b79d0b6af1b42c78b17d13b724411},2023-06-04 06:38:22.766000,{sqlparse},{3c4b57c24dd3cc3e7937f24b14b8bd53a5499fcb},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-07-05 06:06:23.471000,{sqlparse},{3c4b57c24dd3cc3e7937f24b14b8bd53a5499fcb},2023-07-06 06:07:19.833000,{sqlparse},{8157d16539b60ed625b004abeef9c2796eb09ba0},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-07-23 06:54:26.427000,{sqlparse},{8157d16539b60ed625b004abeef9c2796eb09ba0},2023-07-24 06:06:59.910000,{sqlparse},{9765fce1c0466d3bd90e3925ed47d4f47fa3a131},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-07-24 06:06:59.910000,{sqlparse},{9765fce1c0466d3bd90e3925ed47d4f47fa3a131},2023-07-25 06:07:35.135000,{sqlparse},{3eec63dafd3e7ff99560f66c1f7964f558307b98},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-08-06 07:02:09.574000,{sqlparse},{3eec63dafd3e7ff99560f66c1f7964f558307b98},2023-08-07 06:13:25.704000,{sqlparse},{881db0b29af79dd1c1898051e3a1f0fdd6e7e618},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-08-07 06:13:25.704000,{sqlparse},{881db0b29af79dd1c1898051e3a1f0fdd6e7e618},2023-08-08 06:31:04.204000,{sqlparse},{baf3a0a5b9514540580152b0983a03e257b047ae},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-09-04 06:18:49.967000,{sqlparse},{baf3a0a5b9514540580152b0983a03e257b047ae},2023-09-05 06:08:09.556000,{sqlparse},{21f9fd57005401888abf5cd1444923f483842203},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-09-18 06:57:17.557000,{sqlparse},{21f9fd57005401888abf5cd1444923f483842203},2023-09-19 06:36:05.909000,{sqlparse},{8ce446ed3f945f697a166551447f203510f25f2d},927.0,1589.0,927.0,1589.0,0.0,0.0
sqlparse,2023-09-19 06:36:05.909000,{sqlparse},{8ce446ed3f945f697a166551447f203510f25f2d},2023-09-20 06:49:27.930000,{sqlparse},{3696d5388186a1fd51f657e0d6f4c6809b244143},927.0,1589.0,929.0,1591.0,2.0,0.05237136678587717
sqlparse,2023-09-25 06:46:13.554000,{sqlparse},{3696d5388186a1fd51f657e0d6f4c6809b244143},2023-09-26 06:58:21.649000,{sqlparse},{6eca7aeb407235d7053508a49e2262a395d56b67},929.0,1591.0,929.0,1591.0,0.0,0.0
sqlparse,2023-10-12 06:44:38.120000,{sqlparse},{6eca7aeb407235d7053508a49e2262a395d56b67},2023-10-13 06:30:38.169000,{sqlparse},{f101546dafa921edfea5b3107731504665b758ea},929.0,1591.0,934.0,1600.0,9.0,-0.01594908862351474
sqlparse,2024-03-05 06:07:03.131000,{sqlparse},{f101546dafa921edfea5b3107731504665b758ea},2024-03-06 06:13:58.111000,{sqlparse},{60486b91ca7b4183313b06f62f7b559f4920f099},934.0,1600.0,935.0,1602.0,2.0,-0.010455680399502398
sqlparse,2024-03-15 06:24:47.012000,{sqlparse},{60486b91ca7b4183313b06f62f7b559f4920f099},2024-03-16 06:15:53.917000,{sqlparse},{c40f8000781633f2281c483c45be8d252bcba2e3},935.0,1602.0,935.0,1602.0,0.0,0.0
sqlparse,2024-03-16 06:15:53.917000,{sqlparse},{c40f8000781633f2281c483c45be8d252bcba2e3},2024-03-17 06:14:44.145000,{sqlparse},{46971e5a804b29e7dbd437155a8ceffab8ef1cd5},935.0,1602.0,947.0,1614.0,12.0,0.30955729130408827
sqlparse,2024-03-17 06:14:44.145000,{sqlparse},{46971e5a804b29e7dbd437155a8ceffab8ef1cd5},2024-03-18 06:06:00.467000,{sqlparse},{d8f81471cfc2c39ac43128e2a0c8cc67c313cc40},947.0,1614.0,950.0,1619.0,5.0,0.004094806637105819
sqlparse,2024-04-13 06:19:42.196000,{sqlparse},{d8f81471cfc2c39ac43128e2a0c8cc67c313cc40},2024-04-14 06:22:40.300000,{sqlparse},{e1ec4ffb3cce3b7c82a65e909fc2116b7367bad7},950.0,1619.0,631.0,1619.0,0.0,-19.70352069178505
sqlparse,2024-04-16 06:34:00.396000,{sqlparse},{e1ec4ffb3cce3b7c82a65e909fc2116b7367bad7},2024-04-16 14:33:57.789000,{sqlparse},{7e8c7ecd6a077f902020707d1c9cfd9967b7b338},631.0,1619.0,631.0,1619.0,0.0,0.0
sqlparse,2024-04-22 06:29:57.992000,{sqlparse},{7e8c7ecd6a077f902020707d1c9cfd9967b7b338},2024-04-23 06:17:09.138000,{sqlparse},{5a24e36d19ae10e9663d379fd981b4a9c8d39f6d},631.0,1619.0,631.0,1619.0,0.0,0.0
