project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
tensorflow,2019-03-13 18:44:48.286000,"{tensorflow,libfuzzer}","{6583b83dc9393118c60a9c11f15453c650fab89f,356045}",2019-03-14 18:15:29.189000,"{tensorflow,libfuzzer}","{66df6374416cb640ff9b4d95774e043014dba991,356140}",30602.0,785224.0,30601.0,785623.0,399.0,-0.0021066026799156923
tensorflow,2019-03-14 18:15:29.189000,"{tensorflow,libfuzzer}","{66df6374416cb640ff9b4d95774e043014dba991,356140}",2019-03-15 18:17:47.434000,"{tensorflow,libfuzzer}","{6c4cccfc96a537c04ee58f5035ff214c7c7ae366,356258}",30601.0,785623.0,30594.0,785778.0,155.0,-0.0016591765318585416
tensorflow,2019-03-15 18:17:47.434000,"{tensorflow,libfuzzer}","{6c4cccfc96a537c04ee58f5035ff214c7c7ae366,356258}",2019-03-16 18:11:35.777000,"{tensorflow,libfuzzer}","{18ad2158c27dd6f6de177be11faa22ac4bd13c31,356322}",30594.0,785778.0,30599.0,785865.0,87.0,0.00020521139110041275
tensorflow,2019-03-16 18:11:35.777000,"{tensorflow,libfuzzer}","{18ad2158c27dd6f6de177be11faa22ac4bd13c31,356322}",2019-03-17 18:17:41.461000,"{tensorflow,libfuzzer}","{e3ea52501e947c4df95a6623ca9c7f625230f634,356330}",30599.0,785865.0,30604.0,785865.0,0.0,0.000636241593658049
tensorflow,2019-03-17 18:17:41.461000,"{tensorflow,libfuzzer}","{e3ea52501e947c4df95a6623ca9c7f625230f634,356330}",2019-03-18 18:58:24.530000,"{tensorflow,libfuzzer}","{5bc5a4b562170fd922b9e6cb56cd5e0b15429928,356365}",30604.0,785865.0,30599.0,785865.0,0.0,-0.000636241593658049
tensorflow,2019-03-18 18:58:24.530000,"{tensorflow,libfuzzer}","{5bc5a4b562170fd922b9e6cb56cd5e0b15429928,356365}",2019-03-19 18:07:58.501000,"{tensorflow,libfuzzer}","{3b3da345340a4ff5f4c587ee38e5a468f252aee1,356450}",30599.0,785865.0,30632.0,786088.0,223.0,0.0030934339399846245
tensorflow,2019-03-19 18:07:58.501000,"{tensorflow,libfuzzer}","{3b3da345340a4ff5f4c587ee38e5a468f252aee1,356450}",2019-03-20 18:09:34.415000,"{tensorflow,libfuzzer}","{203c4f750e33ff1927506f9ba585bc6e69d92725,356552}",30632.0,786088.0,30655.0,786385.0,297.0,0.0014530552751823578
tensorflow,2019-03-20 18:09:34.415000,"{tensorflow,libfuzzer}","{203c4f750e33ff1927506f9ba585bc6e69d92725,356552}",2019-03-21 18:23:42.054000,"{tensorflow,libfuzzer}","{61d004089cfe6dbd6a4e295182750187e0f49ab9,356662}",30655.0,786385.0,30647.0,786618.0,233.0,-0.0021716827558249108
tensorflow,2019-03-21 18:23:42.054000,"{tensorflow,libfuzzer}","{61d004089cfe6dbd6a4e295182750187e0f49ab9,356662}",2019-03-22 18:15:45.217000,"{tensorflow,libfuzzer}","{f5e0f9d520260b3a6009a9e792cf2316dc37b8e3,356746}",30647.0,786618.0,30677.0,786826.0,208.0,0.0027828546703383417
tensorflow,2019-03-22 18:15:45.217000,"{tensorflow,libfuzzer}","{f5e0f9d520260b3a6009a9e792cf2316dc37b8e3,356746}",2019-03-23 18:14:41.306000,"{tensorflow,libfuzzer}","{36f817a9f3e7d2339cb53b91ddc508b3e25ab761,356831}",30677.0,786826.0,30655.0,786997.0,171.0,-0.0036425802807196206
tensorflow,2019-03-23 18:14:41.306000,"{tensorflow,libfuzzer}","{36f817a9f3e7d2339cb53b91ddc508b3e25ab761,356831}",2019-03-24 18:15:29.413000,"{tensorflow,libfuzzer}","{13fe6ef76e9f882584fe63a2b7f292266dedf847,356852}",30655.0,786997.0,30650.0,786997.0,0.0,-0.0006353264370759781
tensorflow,2019-03-24 18:15:29.413000,"{tensorflow,libfuzzer}","{13fe6ef76e9f882584fe63a2b7f292266dedf847,356852}",2019-03-25 18:07:07.077000,"{tensorflow,libfuzzer}","{f7e277d66d286acaf91e70cfbe98bcf258825cc1,356894}",30650.0,786997.0,30654.0,787029.0,32.0,0.00034989100287630137
