project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
textwrap,2022-10-30 06:10:18.650000,"{textwrap,centipede}","{ca0a7d90b1edb2291bd80e1f9f3854784e93409a,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-10-31 06:18:23.102000,"{textwrap,centipede}","{583b9b1ba6d1029d413ee7d762ff78a9d06c0287,baa82e7189677bb9086beb5d9b5e58018d991607}",1232.0,2565.0,1237.0,2569.0,4.0,0.11984244595745963
textwrap,2022-11-09 06:17:12.747000,"{textwrap,centipede}","{583b9b1ba6d1029d413ee7d762ff78a9d06c0287,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-10 06:20:39.322000,"{textwrap,centipede}","{461c9b4e59234a431050562d9a2dadb762127f05,baa82e7189677bb9086beb5d9b5e58018d991607}",1237.0,2569.0,1237.0,2569.0,0.0,0.0
textwrap,2022-11-12 06:22:35.875000,"{textwrap,centipede}","{461c9b4e59234a431050562d9a2dadb762127f05,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-13 06:11:46.039000,"{textwrap,centipede}","{090e310bfd1b15dad0eca78bb2da29c0ed488bcc,baa82e7189677bb9086beb5d9b5e58018d991607}",1237.0,2569.0,1237.0,2569.0,0.0,0.0
textwrap,2022-11-16 06:14:37.023000,"{textwrap,centipede}","{090e310bfd1b15dad0eca78bb2da29c0ed488bcc,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:15:08.626000,{textwrap},{090e310bfd1b15dad0eca78bb2da29c0ed488bcc},1237.0,2569.0,1237.0,2569.0,0.0,0.0
textwrap,2022-11-27 06:43:11.257000,{textwrap},{090e310bfd1b15dad0eca78bb2da29c0ed488bcc},2022-11-28 06:31:01.633000,{textwrap},{be976870d3c4b7183693abafb707da6098c1639d},1237.0,2564.0,1237.0,2564.0,0.0,0.0
textwrap,2023-02-09 06:07:02.948000,{textwrap},{be976870d3c4b7183693abafb707da6098c1639d},2023-02-10 06:13:33.709000,{textwrap},{edc56bfe9556ac84fd1ff7ee23e52352b86bb9d2},1237.0,2606.0,1237.0,2606.0,0.0,0.0
textwrap,2023-05-12 06:32:40.660000,{textwrap},{edc56bfe9556ac84fd1ff7ee23e52352b86bb9d2},2023-05-13 07:05:52.080000,{textwrap},{872f221fede7aa78e730bb7895074455269a431a},1221.0,2603.0,1221.0,2603.0,0.0,0.0
textwrap,2023-06-22 06:05:26.335000,{textwrap},{872f221fede7aa78e730bb7895074455269a431a},2023-06-23 06:57:29.123000,{textwrap},{4b2d9be6c551cf9b390477edb2d1d8c240ac6bf0},1221.0,2602.0,1221.0,2602.0,0.0,0.0
textwrap,2023-08-12 06:18:04.104000,{textwrap},{4b2d9be6c551cf9b390477edb2d1d8c240ac6bf0},2023-08-13 06:51:28.862000,{textwrap},{2f7414055c7e57fc66222b4cef202138c2e67fcb},1217.0,2598.0,1217.0,2598.0,0.0,0.0
textwrap,2023-09-23 07:01:27.621000,{textwrap},{2f7414055c7e57fc66222b4cef202138c2e67fcb},2023-09-24 07:11:07.350000,{textwrap},{56ea536d7333048333608a69cd809be657a6556d},1215.0,2596.0,1215.0,2596.0,0.0,0.0
textwrap,2023-09-30 07:02:43.599000,{textwrap},{56ea536d7333048333608a69cd809be657a6556d},2023-10-01 06:04:07.790000,{textwrap},{04d36f18155a51e3346502312cf567f2ddf764a6},1215.0,2596.0,1215.0,2596.0,0.0,0.0
textwrap,2023-10-22 06:10:21.282000,{textwrap},{04d36f18155a51e3346502312cf567f2ddf764a6},2023-10-23 07:13:51.751000,{textwrap},{033791888db624ae0248a3d95711be383abf74e2},1203.0,2622.0,1197.0,2604.0,-18.0,0.08673507049530826
textwrap,2023-10-29 06:04:52.456000,{textwrap},{033791888db624ae0248a3d95711be383abf74e2},2023-10-30 06:08:25.683000,{textwrap},{40e39553a45447cfc39bc2d38b64bbf254367cfe},1197.0,2604.0,1197.0,2607.0,3.0,-0.052897286462005866
textwrap,2023-12-30 06:38:52.278000,{textwrap},{40e39553a45447cfc39bc2d38b64bbf254367cfe},2023-12-31 06:09:04.508000,{textwrap},{efc8bcaedbe4d0857b46590b420b3a69f0218eec},1200.0,2635.0,1200.0,2635.0,0.0,0.0
textwrap,2024-02-04 06:15:48.435000,{textwrap},{efc8bcaedbe4d0857b46590b420b3a69f0218eec},2024-02-05 06:30:55.639000,{textwrap},{aa097981e5b8fde7bf7a05e14d1dd60b90d02be8},1201.0,2589.0,1201.0,2589.0,0.0,0.0
textwrap,2024-02-09 06:30:16.721000,{textwrap},{aa097981e5b8fde7bf7a05e14d1dd60b90d02be8},2024-02-10 06:25:59.892000,{textwrap},{e7a20efd3342c06323bf90c8e3e562bb47c1c48d},1205.0,2598.0,1215.0,2608.0,10.0,0.2055911342845178
textwrap,2024-02-10 06:25:59.892000,{textwrap},{e7a20efd3342c06323bf90c8e3e562bb47c1c48d},2024-02-11 06:18:16.631000,{textwrap},{b656c0719a2cd25348a1e43861fbf2fa7e58c2ad},1215.0,2608.0,1217.0,2610.0,2.0,0.04092917753801828
textwrap,2024-02-17 06:10:20.195000,{textwrap},{b656c0719a2cd25348a1e43861fbf2fa7e58c2ad},2024-02-18 06:09:48.411000,{textwrap},{39914e0fd7e9af79908c5b9a5cfbb303fe6778e8},1217.0,2610.0,1217.0,2610.0,0.0,0.0
textwrap,2024-06-28 06:27:56.977000,{textwrap},{39914e0fd7e9af79908c5b9a5cfbb303fe6778e8},2024-06-29 06:15:04.449000,{textwrap},{63970361d1d653ec8715acb931c3c109750d4a57},1217.0,2676.0,1217.0,2676.0,0.0,0.0
