project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
tink,2022-01-07 06:21:04.790000,"{tink,aflplusplus}","{e231fe638eb1f1ed8f1d45cc665ee98736c781d6,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2022-01-08 08:13:21.289000,"{tink,aflplusplus}","{dd4a2ec75cadfe7fb5871b3c9b6c5f5982243652,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",472.0,39671.0,472.0,39672.0,1.0,-2.999057243813219e-05
tink,2022-01-11 09:12:02.973000,"{tink,aflplusplus}","{dd4a2ec75cadfe7fb5871b3c9b6c5f5982243652,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2022-01-12 07:35:09.615000,"{tink,aflplusplus}","{dd4a2ec75cadfe7fb5871b3c9b6c5f5982243652,ef77d552e9b89852b293c300a5a9a9c617945f43}",472.0,39672.0,472.0,39672.0,0.0,0.0
tink,2022-01-12 07:35:09.615000,"{tink,aflplusplus}","{dd4a2ec75cadfe7fb5871b3c9b6c5f5982243652,ef77d552e9b89852b293c300a5a9a9c617945f43}",2022-01-13 11:24:34.973000,"{tink,aflplusplus}","{e5c9356ed471be08a63eb5ea3ad0e892544e5a1c,ef77d552e9b89852b293c300a5a9a9c617945f43}",472.0,39672.0,515.0,39746.0,74.0,0.10597187279373244
tink,2022-01-18 11:59:20.926000,"{tink,aflplusplus}","{e5c9356ed471be08a63eb5ea3ad0e892544e5a1c,ef77d552e9b89852b293c300a5a9a9c617945f43}",2022-01-19 06:07:21.949000,"{tink,aflplusplus}","{2a04c002ea1a24e989069d67f0febd5585df9b93,c5117b42cab9f47448a7f3cfe3edae6708d32528}",515.0,39746.0,515.0,39746.0,0.0,0.0
tink,2022-01-19 06:07:21.949000,"{tink,aflplusplus}","{2a04c002ea1a24e989069d67f0febd5585df9b93,c5117b42cab9f47448a7f3cfe3edae6708d32528}",2022-01-20 08:30:48.164000,"{tink,fuzz-introspector,aflplusplus}","{efeeabfad408556e7ac7b4652b42e6f4aea32b99,9e3393cd551b65a6bf2de6495013b415f315f74e,c5117b42cab9f47448a7f3cfe3edae6708d32528}",515.0,39746.0,515.0,39746.0,0.0,0.0
tink,2022-01-20 08:30:48.164000,"{tink,fuzz-introspector,aflplusplus}","{efeeabfad408556e7ac7b4652b42e6f4aea32b99,9e3393cd551b65a6bf2de6495013b415f315f74e,c5117b42cab9f47448a7f3cfe3edae6708d32528}",2022-01-21 10:12:20.800000,"{tink,fuzz-introspector,aflplusplus}","{efeeabfad408556e7ac7b4652b42e6f4aea32b99,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",515.0,39746.0,515.0,39746.0,0.0,0.0
tink,2022-01-21 10:12:20.800000,"{tink,fuzz-introspector,aflplusplus}","{efeeabfad408556e7ac7b4652b42e6f4aea32b99,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",2022-01-22 11:32:51.691000,"{tink,fuzz-introspector,aflplusplus}","{2a2c2143c7b951d8c3df12d1cb59fd169531e5a7,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",515.0,39746.0,515.0,39746.0,0.0,0.0
tink,2022-01-30 07:48:32.388000,"{tink,fuzz-introspector,aflplusplus}","{2a2c2143c7b951d8c3df12d1cb59fd169531e5a7,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",2022-01-31 08:32:02.266000,"{tink,aflplusplus}","{2a2c2143c7b951d8c3df12d1cb59fd169531e5a7,550ba4d77294e61597a5259d00769c61281e0042}",515.0,39746.0,515.0,39746.0,0.0,0.0
tink,2022-02-03 09:18:55.944000,"{tink,aflplusplus}","{2a2c2143c7b951d8c3df12d1cb59fd169531e5a7,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-04 07:34:22.612000,"{tink,aflplusplus}","{fa1d578b8eb98bee4d64cfbc2d3d939df79eb3f0,550ba4d77294e61597a5259d00769c61281e0042}",515.0,39746.0,520.0,39772.0,26.0,0.011724607143928534
tink,2022-02-04 07:34:22.612000,"{tink,aflplusplus}","{fa1d578b8eb98bee4d64cfbc2d3d939df79eb3f0,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-05 07:10:56.658000,"{tink,aflplusplus}","{59bb34495d1cb8f9d9dbc0f0a52c4f9e21491a14,550ba4d77294e61597a5259d00769c61281e0042}",520.0,39772.0,520.0,39772.0,0.0,0.0
