project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
tmux,2020-11-17 08:06:22.956000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,e94bd5ccff42361788e71acb2315b9b10112cae1,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-18 06:12:39.438000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,bfdc4373d71895a5f454834da4b0bd92ab964dd4,82b5e359463238d790cadbe2dd494d6a4928bff3}",5023.0,44970.0,5023.0,44972.0,2.0,-0.0004967388004981643
tmux,2020-11-26 07:41:34.509000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,bfdc4373d71895a5f454834da4b0bd92ab964dd4,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-27 08:37:18.021000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,bf8aa9804b044db13a54a48a9e03719adb32447e,82b5e359463238d790cadbe2dd494d6a4928bff3}",4353.0,39850.0,4353.0,39857.0,7.0,-0.0019184645332916972
tmux,2020-11-30 07:16:48.625000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,bf8aa9804b044db13a54a48a9e03719adb32447e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-01 10:09:27.321000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,27634645e953baf046e1b74139deba7cbdde1ca2,82b5e359463238d790cadbe2dd494d6a4928bff3}",4353.0,39857.0,4353.0,39882.0,25.0,-0.00684616150247308
tmux,2020-12-01 10:09:27.321000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,27634645e953baf046e1b74139deba7cbdde1ca2,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-02 10:02:19.336000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,4724702d4eef9e9d7c1bfa39e85b8aeed37a0d12,82b5e359463238d790cadbe2dd494d6a4928bff3}",4353.0,39882.0,4353.0,39883.0,1.0,-0.00027366793772110043
tmux,2020-12-02 10:02:19.336000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,4724702d4eef9e9d7c1bfa39e85b8aeed37a0d12,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-03 09:33:27.941000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,e288ea153ceffe42d88975fc23196c5dc3aeae5d,82b5e359463238d790cadbe2dd494d6a4928bff3}",4353.0,39883.0,4353.0,39916.0,33.0,-0.009023349404836623
tmux,2020-12-06 10:19:22.996000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,e288ea153ceffe42d88975fc23196c5dc3aeae5d,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-07 10:27:51.242000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,caf096394b3a155f904216dbf4d563c8ff7735b9,82b5e359463238d790cadbe2dd494d6a4928bff3}",4353.0,39916.0,4351.0,39910.0,-6.0,-0.0033717762952409913
tmux,2020-12-07 10:27:51.242000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,caf096394b3a155f904216dbf4d563c8ff7735b9,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-08 06:30:07.701000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,681c0d2bfbf22a51f90c977d0b3e91d30c23c11e,82b5e359463238d790cadbe2dd494d6a4928bff3}",4351.0,39910.0,4351.0,39910.0,0.0,0.0
tmux,2020-12-15 09:40:46.539000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,681c0d2bfbf22a51f90c977d0b3e91d30c23c11e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-17 11:01:54.588000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,950e982001f0038efb372ccb22d1c7e12866e0b7,82b5e359463238d790cadbe2dd494d6a4928bff3}",4351.0,39910.0,4359.0,39926.0,16.0,0.015668174295838
tmux,2020-12-24 08:59:30.564000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,950e982001f0038efb372ccb22d1c7e12866e0b7,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-25 07:21:15.860000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,d936fde7ef62863fbb8b142c3ee229cb460dbfdb,82b5e359463238d790cadbe2dd494d6a4928bff3}",4351.0,39926.0,4351.0,40168.0,242.0,-0.06565509566527972
tmux,2020-12-27 07:24:28.215000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,d936fde7ef62863fbb8b142c3ee229cb460dbfdb,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-29 07:48:12.145000,"{tmux-fuzzing-corpus,tmux,afl}","{73b1e642654f90279f62bfbf91aa6eb0b3b98646,3cbe186efb93980959e410162c1583a3b54a8417,82b5e359463238d790cadbe2dd494d6a4928bff3}",4351.0,40168.0,4351.0,40164.0,-4.0,0.0010787775696208257
