project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
tokio,2023-02-12 06:07:05.341000,{tokio},{01bb1ecf4dee073da65dfede4c845ac27c555af0},2023-02-13 06:14:57.889000,{tokio},{e629ad7c9ac48df0cede0620c44e0ea652f45af9},446.0,23878.0,446.0,23823.0,-55.0,0.0043122422426638
tokio,2023-02-14 06:32:11.276000,{tokio},{e629ad7c9ac48df0cede0620c44e0ea652f45af9},2023-02-15 06:48:42.655000,{tokio},{e106c4d32b9f32b5b49d409ddabd1bee7a21c80e},446.0,23854.0,446.0,23905.0,51.0,-0.003988917662275604
tokio,2023-02-17 06:41:49.711000,{tokio},{e106c4d32b9f32b5b49d409ddabd1bee7a21c80e},2023-02-18 06:16:48.545000,{tokio},{b921fe45ac9fc49e18bc6e834065b61d246f56e0},446.0,23898.0,446.0,23868.0,-30.0,0.00234573272927463
tokio,2023-02-18 06:16:48.545000,{tokio},{b921fe45ac9fc49e18bc6e834065b61d246f56e0},2023-02-19 06:18:19.941000,{tokio},{a8fda870582a1049bdc31284bc3bb82969014895},446.0,23868.0,446.0,24005.0,137.0,-0.010664430944519854
tokio,2023-02-19 06:18:19.941000,{tokio},{a8fda870582a1049bdc31284bc3bb82969014895},2023-02-20 06:31:43.899000,{tokio},{018d0450c71f782f3833fde6346f7ef48fcb57a2},446.0,24005.0,446.0,24198.0,193.0,-0.014818729994658497
tokio,2023-02-20 06:31:43.899000,{tokio},{018d0450c71f782f3833fde6346f7ef48fcb57a2},2023-02-21 06:13:43.669000,{tokio},{3ea5cc5a821699f0f33236292e19574160dd1839},446.0,24198.0,446.0,24217.0,19.0,-0.0014460677661485288
tokio,2023-02-21 06:13:43.669000,{tokio},{3ea5cc5a821699f0f33236292e19574160dd1839},2023-02-22 07:14:47.391000,{tokio},{d7b7c6131774ab631be6529fef3680abfeeb4781},446.0,24217.0,446.0,24226.0,9.0,-0.0006841877805212615
tokio,2023-02-22 07:14:47.391000,{tokio},{d7b7c6131774ab631be6529fef3680abfeeb4781},2023-02-23 06:39:48.991000,{tokio},{cf486361d0346a49d2e6a5c001df09375a1afef8},446.0,24226.0,446.0,24226.0,0.0,0.0
tokio,2023-02-23 06:39:48.991000,{tokio},{cf486361d0346a49d2e6a5c001df09375a1afef8},2023-02-24 06:15:31.167000,{tokio},{c89406965ffb4a64936d781c556a2c48855dfbdb},446.0,24226.0,446.0,24281.0,55.0,-0.004170126854782907
tokio,2023-02-25 06:31:04.270000,{tokio},{c89406965ffb4a64936d781c556a2c48855dfbdb},2023-02-26 06:46:01.192000,{tokio},{ca9f7ee9f4750d6bb8a073ab4df1b7e4555857ad},446.0,24281.0,446.0,24281.0,0.0,0.0
