project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
toolbelt,2023-02-14 06:13:29.290000,{toolbelt},{87805ff20ec3bbbb9fd5d043e8a4ab91889c636b},2023-02-15 06:16:16.268000,{toolbelt},{9d47ccf1a2e0f033f9b7d9c269e455c7f505f0fd},10571.0,48015.0,10571.0,48015.0,0.0,0.0
toolbelt,2023-04-28 06:42:46.447000,{toolbelt},{9d47ccf1a2e0f033f9b7d9c269e455c7f505f0fd},2023-04-29 06:54:37.145000,{toolbelt},{6c7fe9da588198143b51fec48ccba55d89989af7},2711.0,9624.0,2675.0,9509.0,-115.0,-0.03791634770122343
toolbelt,2023-04-30 06:37:52.986000,{toolbelt},{6c7fe9da588198143b51fec48ccba55d89989af7},2023-05-01 07:12:48.119000,{toolbelt},{b7d1a1fcdda9ebcd9afe5011690ab860fce780c2},2675.0,9509.0,2675.0,9509.0,0.0,0.0
toolbelt,2023-05-01 07:12:48.119000,{toolbelt},{b7d1a1fcdda9ebcd9afe5011690ab860fce780c2},2023-05-01 22:56:13.282000,{toolbelt},{e543fe58e5bd93f3313a59deb639a8b5da5d2c68},2675.0,9509.0,2675.0,9509.0,0.0,0.0
toolbelt,2023-06-28 06:23:17.770000,{toolbelt},{e543fe58e5bd93f3313a59deb639a8b5da5d2c68},2023-06-29 07:36:36.254000,{toolbelt},{7685b15878a862a43aa101e756ed3b2751d0991b},2575.0,9375.0,2575.0,9375.0,0.0,0.0
toolbelt,2023-08-11 06:16:09.792000,{toolbelt},{7685b15878a862a43aa101e756ed3b2751d0991b},2023-08-12 06:27:01.656000,{toolbelt},{c5ac5f3b5c7ed599703e0deb4fd31ce7998711ed},2599.0,9479.0,2599.0,9479.0,0.0,0.0
toolbelt,2023-10-12 07:11:30.603000,{toolbelt},{c5ac5f3b5c7ed599703e0deb4fd31ce7998711ed},2023-10-13 06:53:32.480000,{toolbelt},{c62d9774a3b1469f609bdc5a213f86c714e059bf},2589.0,9461.0,2589.0,9461.0,0.0,0.0
toolbelt,2024-02-26 06:40:40.911000,{toolbelt},{c62d9774a3b1469f609bdc5a213f86c714e059bf},2024-02-27 06:19:35.430000,{toolbelt},{25b5caa0c9232c67b315519ec88285195ba8aa3d},1405.0,5958.0,1405.0,5958.0,0.0,0.0
toolbelt,2024-03-18 06:03:25.621000,{toolbelt},{25b5caa0c9232c67b315519ec88285195ba8aa3d},2024-03-19 06:05:21.664000,{toolbelt},{afaad109b2fc138df10b01adb1a06864566ff883},1405.0,5958.0,1405.0,5958.0,0.0,0.0
toolbelt,2024-03-19 06:05:21.664000,{toolbelt},{afaad109b2fc138df10b01adb1a06864566ff883},2024-03-20 06:12:34.381000,{toolbelt},{e470a9150a762501b3ed2f0f3711b5ef645611b7},1405.0,5958.0,1405.0,5958.0,0.0,0.0
toolbelt,2024-03-21 06:10:47.766000,{toolbelt},{e470a9150a762501b3ed2f0f3711b5ef645611b7},2024-03-22 06:13:42.629000,{toolbelt},{30e7a59c9d50149be56bc9897608fa5bf3fe9096},1405.0,5958.0,1405.0,5958.0,0.0,0.0
toolbelt,2024-04-09 06:32:34.131000,{toolbelt},{30e7a59c9d50149be56bc9897608fa5bf3fe9096},2024-04-10 06:12:25.046000,{toolbelt},{46f38f8d993673c67e2a2461d5127bd69bf24d6a},1405.0,5958.0,1405.0,5958.0,0.0,0.0
toolbelt,2024-04-11 06:21:02.261000,{toolbelt},{46f38f8d993673c67e2a2461d5127bd69bf24d6a},2024-04-12 06:39:35.185000,{toolbelt},{c73ad2c204a2e0cd5617a836ac536d5e06778ab0},1405.0,5958.0,1405.0,5958.0,0.0,0.0
