project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
tor,2019-03-13 14:11:51.316000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{bf19462a551f8d6e9dd3f5967905a7ff14e8f39c,62ca15650576f3953103b27e220e4ff4cc4abed5,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,58fd864a85fc58650ac7c7c48a68f7a49de38260,356050}",2019-03-14 14:10:04.090000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{bf19462a551f8d6e9dd3f5967905a7ff14e8f39c,ee633ace7397ebc9829b845e7e7bbd8283b455f6,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,2d76945052c09a4f36519491fd414d1a314b27a7,356146}",25385.0,331881.0,25298.0,331582.0,-299.0,-0.01934061874756665
tor,2019-03-14 14:10:04.090000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{bf19462a551f8d6e9dd3f5967905a7ff14e8f39c,ee633ace7397ebc9829b845e7e7bbd8283b455f6,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,2d76945052c09a4f36519491fd414d1a314b27a7,356146}",2019-03-15 14:08:35.794000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{68eb526d7b5a276fc767738193902e7f7b2cfed6,52eb5b7ca46a1bf0bb0e148c651eb7dcaae1a074,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,677384e276a68993e3f48b949ef47f3a5cf1e324,356261}",25298.0,331582.0,25298.0,331561.0,-21.0,0.0004832268922854155
tor,2019-03-15 14:08:35.794000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{68eb526d7b5a276fc767738193902e7f7b2cfed6,52eb5b7ca46a1bf0bb0e148c651eb7dcaae1a074,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,677384e276a68993e3f48b949ef47f3a5cf1e324,356261}",2019-03-16 14:08:20.793000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{efcc18442b338d931f6dfe71d5ebaff3c6fa2b03,52eb5b7ca46a1bf0bb0e148c651eb7dcaae1a074,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,0aaeec19e72c428321981194a68b154d1d67fd84,356323}",25298.0,331561.0,25298.0,331561.0,0.0,0.0
tor,2019-03-16 14:08:20.793000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{efcc18442b338d931f6dfe71d5ebaff3c6fa2b03,52eb5b7ca46a1bf0bb0e148c651eb7dcaae1a074,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,0aaeec19e72c428321981194a68b154d1d67fd84,356323}",2019-03-17 14:07:48.570000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,253d7622222166959d1a5e724434aae3fbd2537d,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,0aaeec19e72c428321981194a68b154d1d67fd84,356331}",25298.0,331561.0,25298.0,331565.0,4.0,-9.204793681760748e-05
tor,2019-03-17 14:07:48.570000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,253d7622222166959d1a5e724434aae3fbd2537d,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,0aaeec19e72c428321981194a68b154d1d67fd84,356331}",2019-03-18 14:11:12.970000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,c13d2ab439a9dcbbf22ef85a00603142b0a37779,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,0aaeec19e72c428321981194a68b154d1d67fd84,356368}",25298.0,331565.0,25298.0,331565.0,0.0,0.0
tor,2019-03-18 14:11:12.970000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,c13d2ab439a9dcbbf22ef85a00603142b0a37779,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,0aaeec19e72c428321981194a68b154d1d67fd84,356368}",2019-03-19 14:08:01.038000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,c41f3ae0d92a87b903a9ed585622adae06791676,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,a80131765a016032f46e09bff9d8b8e160618fe3,356454}",25298.0,331565.0,25302.0,331878.0,313.0,-0.005990609027636928
tor,2019-03-19 14:08:01.038000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,c41f3ae0d92a87b903a9ed585622adae06791676,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,a80131765a016032f46e09bff9d8b8e160618fe3,356454}",2019-03-20 14:06:31.142000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,861e45624fe5f16adb11e041a7ac7a1b3229d756,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,ca265670441381938a50de2985aafc15ec5f2ad4,356554}",25302.0,331878.0,25302.0,331879.0,1.0,-2.297188398792116e-05
tor,2019-03-20 14:06:31.142000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,861e45624fe5f16adb11e041a7ac7a1b3229d756,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,ca265670441381938a50de2985aafc15ec5f2ad4,356554}",2019-03-21 14:09:57.118000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,fdf6c0b6b72756ba69be589b2aaecdd51e4ec12a,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,938d97cb0d4acfdd1ea57ec0a3094bcc2101f13d,356665}",25302.0,331879.0,25358.0,334561.0,2682.0,-0.044378156255694634
tor,2019-03-21 14:09:57.118000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,fdf6c0b6b72756ba69be589b2aaecdd51e4ec12a,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,938d97cb0d4acfdd1ea57ec0a3094bcc2101f13d,356665}",2019-03-22 14:10:14.101000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,9c0cf214e7836eb5aaf1ea5d3cbf6720533f86b5,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,15900ab70fe2dc4d40f974ba49ba35421e7fcf1f,356750}",25358.0,334561.0,25366.0,334559.0,-2.0,0.002436517832475893
tor,2019-03-22 14:10:14.101000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,9c0cf214e7836eb5aaf1ea5d3cbf6720533f86b5,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,15900ab70fe2dc4d40f974ba49ba35421e7fcf1f,356750}",2019-03-23 14:07:38.810000,"{libevent,openssl,zlib,tor-fuzz-corpora,tor,libfuzzer}","{1f4f8769c4e78b14e6aa21d8300f432f67def8df,9c0cf214e7836eb5aaf1ea5d3cbf6720533f86b5,cacf7f1d4e3d44d871b605da3b647f07d718623f,a6b615a5c5bff3d26dbe7568e5abd45a1510763b,9d0ce0afcce9bbf969d11ba081f829aef5071e9c,356832}",25366.0,334559.0,25366.0,334559.0,0.0,0.0
