project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
tpm2-tss,2019-03-13 14:18:09.696000,"{tpm2-tss,libfuzzer}","{891e6f5122061e31d002840fc5999bf3dad2bb04,356050}",2019-03-14 14:15:59.934000,"{tpm2-tss,libfuzzer}","{c7cd1ccc1d52fad4399fda69658d74a26afe0e7e,356146}",8931.0,15310.0,9072.0,15313.0,3.0,0.9093578485052376
tpm2-tss,2019-03-14 14:15:59.934000,"{tpm2-tss,libfuzzer}","{c7cd1ccc1d52fad4399fda69658d74a26afe0e7e,356146}",2019-03-15 14:15:38.607000,"{tpm2-tss,libfuzzer}","{fc1930521221b7c87a5e952769da3963003bc398,356263}",9072.0,15313.0,9186.0,15313.0,0.0,0.7444654868412357
tpm2-tss,2019-03-15 14:15:38.607000,"{tpm2-tss,libfuzzer}","{fc1930521221b7c87a5e952769da3963003bc398,356263}",2019-03-16 14:12:18.131000,"{tpm2-tss,libfuzzer}","{fc1930521221b7c87a5e952769da3963003bc398,356323}",9186.0,15313.0,9240.0,15313.0,0.0,0.35264154639849465
tpm2-tss,2019-03-16 14:12:18.131000,"{tpm2-tss,libfuzzer}","{fc1930521221b7c87a5e952769da3963003bc398,356323}",2019-03-17 14:12:13.681000,"{tpm2-tss,libfuzzer}","{fc1930521221b7c87a5e952769da3963003bc398,356331}",9240.0,15313.0,9398.0,15313.0,0.0,1.0318030431659366
tpm2-tss,2019-03-17 14:12:13.681000,"{tpm2-tss,libfuzzer}","{fc1930521221b7c87a5e952769da3963003bc398,356331}",2019-03-18 14:18:13.513000,"{tpm2-tss,libfuzzer}","{fde040c85a218fcc704c48bbc50647c68f32b3e9,356370}",9398.0,15313.0,9450.0,15313.0,0.0,0.33958074838372454
tpm2-tss,2019-03-18 14:18:13.513000,"{tpm2-tss,libfuzzer}","{fde040c85a218fcc704c48bbc50647c68f32b3e9,356370}",2019-03-19 14:14:16.288000,"{tpm2-tss,libfuzzer}","{fde040c85a218fcc704c48bbc50647c68f32b3e9,356456}",9450.0,15313.0,9547.0,15313.0,0.0,0.6334487037157999
tpm2-tss,2019-03-19 14:14:16.288000,"{tpm2-tss,libfuzzer}","{fde040c85a218fcc704c48bbc50647c68f32b3e9,356456}",2019-03-20 14:11:28.613000,"{tpm2-tss,libfuzzer}","{2a3c59c2b5b0fdf5578ba4c083f698cefeb3bc7e,356554}",9547.0,15313.0,9584.0,15313.0,0.0,0.2416247632730304
tpm2-tss,2019-03-20 14:11:28.613000,"{tpm2-tss,libfuzzer}","{2a3c59c2b5b0fdf5578ba4c083f698cefeb3bc7e,356554}",2019-03-21 14:15:13.975000,"{tpm2-tss,libfuzzer}","{8c7e0a8625d4c2d9d3128633a407cdca76d09d17,356667}",9584.0,15313.0,9602.0,15313.0,0.0,0.11754718213282445
tpm2-tss,2019-03-21 14:15:13.975000,"{tpm2-tss,libfuzzer}","{8c7e0a8625d4c2d9d3128633a407cdca76d09d17,356667}",2019-03-22 14:16:20.132000,"{tpm2-tss,libfuzzer}","{83f89818f0d17db304b5b0f9a2faad1f5a3cc3ad,356751}",9602.0,15313.0,9634.0,15313.0,0.0,0.2089727682361513
tpm2-tss,2019-03-22 14:16:20.132000,"{tpm2-tss,libfuzzer}","{83f89818f0d17db304b5b0f9a2faad1f5a3cc3ad,356751}",2019-03-23 14:14:30.962000,"{tpm2-tss,libfuzzer}","{79d310526ee18272353b1da296ce8922d73dbacd,356832}",9634.0,15313.0,9634.0,15313.0,0.0,0.0
tpm2-tss,2019-03-23 14:14:30.962000,"{tpm2-tss,libfuzzer}","{79d310526ee18272353b1da296ce8922d73dbacd,356832}",2019-03-24 14:12:57.671000,"{tpm2-tss,libfuzzer}","{79d310526ee18272353b1da296ce8922d73dbacd,356855}",9634.0,15313.0,9664.0,15313.0,0.0,0.19591197022137408
tpm2-tss,2019-03-24 14:12:57.671000,"{tpm2-tss,libfuzzer}","{79d310526ee18272353b1da296ce8922d73dbacd,356855}",2019-03-25 14:25:39.433000,"{tpm2-tss,libfuzzer}","{79d310526ee18272353b1da296ce8922d73dbacd,356898}",9664.0,15313.0,9664.0,15313.0,0.0,0.0
tpm2-tss,2019-03-25 14:25:39.433000,"{tpm2-tss,libfuzzer}","{79d310526ee18272353b1da296ce8922d73dbacd,356898}",2019-04-01 14:16:03.942000,"{tpm2-tss,libfuzzer}","{c3fc89d0270884f27421b8f1d094ac6bf5016d69,357389}",9664.0,15313.0,9671.0,15313.0,0.0,0.04571279305165632
tpm2-tss,2019-04-01 14:16:03.942000,"{tpm2-tss,libfuzzer}","{c3fc89d0270884f27421b8f1d094ac6bf5016d69,357389}",2019-04-02 16:31:58.855000,"{tpm2-tss,libfuzzer}","{c3fc89d0270884f27421b8f1d094ac6bf5016d69,357490}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-02 16:31:58.855000,"{tpm2-tss,libfuzzer}","{c3fc89d0270884f27421b8f1d094ac6bf5016d69,357490}",2019-04-03 14:09:08.340000,"{tpm2-tss,libfuzzer}","{c3fc89d0270884f27421b8f1d094ac6bf5016d69,357582}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-03 14:09:08.340000,"{tpm2-tss,libfuzzer}","{c3fc89d0270884f27421b8f1d094ac6bf5016d69,357582}",2019-04-04 14:13:09.200000,"{tpm2-tss,libfuzzer}","{d7c85ed9ba65ec549c1c416741b9f57e9f250e62,357696}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-04 14:13:09.200000,"{tpm2-tss,libfuzzer}","{d7c85ed9ba65ec549c1c416741b9f57e9f250e62,357696}",2019-04-05 14:17:39.585000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,357764}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-05 14:17:39.585000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,357764}",2019-04-06 14:11:58.788000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,357839}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-06 14:11:58.788000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,357839}",2019-04-07 14:09:06.063000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,357866}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-07 14:09:06.063000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,357866}",2019-04-08 14:12:23.857000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,357914}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-08 14:12:23.857000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,357914}",2019-04-09 14:22:56.082000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,358006}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-09 14:22:56.082000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,358006}",2019-04-10 14:17:44.041000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,358085}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-10 14:17:44.041000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,358085}",2019-04-11 14:17:15.827000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,358170}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-11 14:17:15.827000,"{tpm2-tss,libfuzzer}","{a5ccce548470e409432a40e45ecb106b211b141a,358170}",2019-04-12 14:14:55.357000,"{tpm2-tss,libfuzzer}","{cdad427c9f38001ed432fb4324568d0c228436d9,358284}",9671.0,15313.0,9671.0,15313.0,0.0,0.0
tpm2-tss,2019-04-12 14:14:55.357000,"{tpm2-tss,libfuzzer}","{cdad427c9f38001ed432fb4324568d0c228436d9,358284}",2019-04-13 14:20:36.303000,"{tpm2-tss,libfuzzer}","{e341d5dbc011a07c50d1d1015d23d2922ee3073b,358332}",9671.0,15313.0,9671.0,15321.0,8.0,-0.03297721496005579
