project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
trust-dns,2022-10-14 06:06:29.446000,"{trust-dns,centipede,aflplusplus}","{9437ec459d37779b0236f2fb497e35fcce761e7c,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-15 06:42:18.823000,"{trust-dns,centipede,aflplusplus}","{d4d065e49b0e4b05b51a13324b9e4a1c20d0bb13,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",5385.0,50805.0,5497.0,50812.0,7.0,0.2189601776508816
trust-dns,2022-10-17 06:19:53.793000,"{trust-dns,centipede,aflplusplus}","{d4d065e49b0e4b05b51a13324b9e4a1c20d0bb13,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-18 06:08:23.937000,"{trust-dns,centipede,aflplusplus}","{1eb54c0c9d86a331e0d7d97e5145b53b745e5b07,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",5509.0,61216.0,5491.0,50950.0,-10266.0,1.7779513472973267
trust-dns,2022-10-18 06:08:23.937000,"{trust-dns,centipede,aflplusplus}","{1eb54c0c9d86a331e0d7d97e5145b53b745e5b07,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-19 06:09:05.904000,"{trust-dns,centipede,aflplusplus}","{29eeef4593fba349be17aa887d0806eb57ca4cfe,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",5491.0,50950.0,4591.0,50794.0,-156.0,-1.7387634704368633
trust-dns,2022-10-25 20:04:00.738000,"{trust-dns,centipede,aflplusplus}","{29eeef4593fba349be17aa887d0806eb57ca4cfe,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-26 06:29:19.174000,"{trust-dns,centipede,aflplusplus}","{402b9bf6fb7769e92146e669d9d7b835870bae01,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4814.0,50794.0,4784.0,50798.0,4.0,-0.05980373222112689
trust-dns,2022-10-26 06:29:19.174000,"{trust-dns,centipede,aflplusplus}","{402b9bf6fb7769e92146e669d9d7b835870bae01,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-26 15:48:06.312000,"{trust-dns,centipede,aflplusplus}","{655a157aa2508729667930bbe55e7d707a8af761,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4784.0,50798.0,4784.0,50798.0,0.0,0.0
trust-dns,2022-10-26 20:07:47.383000,"{trust-dns,centipede,aflplusplus}","{655a157aa2508729667930bbe55e7d707a8af761,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:08:53.297000,"{trust-dns,centipede}","{655a157aa2508729667930bbe55e7d707a8af761,baa82e7189677bb9086beb5d9b5e58018d991607}",4784.0,50798.0,4797.0,61202.0,10404.0,-1.5797144589765084
trust-dns,2022-10-29 06:11:54.334000,"{trust-dns,centipede}","{655a157aa2508729667930bbe55e7d707a8af761,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-10-30 06:34:15.315000,"{trust-dns,centipede}","{295cad9840c7bbe5413fd78e567f1d39a90c1796,baa82e7189677bb9086beb5d9b5e58018d991607}",4590.0,61214.0,4745.0,50797.0,-10417.0,1.8428181149197576
trust-dns,2022-10-30 06:34:15.315000,"{trust-dns,centipede}","{295cad9840c7bbe5413fd78e567f1d39a90c1796,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-10-31 06:33:17.716000,"{trust-dns,centipede}","{e3b27e263910731de4d6843a3087117d16c084ef,baa82e7189677bb9086beb5d9b5e58018d991607}",4745.0,50797.0,4679.0,50809.0,12.0,-0.13210441523848893
trust-dns,2022-10-31 06:33:17.716000,"{trust-dns,centipede}","{e3b27e263910731de4d6843a3087117d16c084ef,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-01 06:05:27.564000,"{trust-dns,centipede}","{fe70e51f5d4e50e7e59f7c1642c9b68571c012d2,baa82e7189677bb9086beb5d9b5e58018d991607}",4679.0,50809.0,4192.0,50953.0,144.0,-0.981808642679221
trust-dns,2022-11-03 06:10:36.558000,"{trust-dns,centipede}","{fe70e51f5d4e50e7e59f7c1642c9b68571c012d2,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-04 06:15:01.397000,"{trust-dns,centipede}","{ccd875bce4c6bb05e6f5778b7759fd90bb70b7cb,baa82e7189677bb9086beb5d9b5e58018d991607}",4655.0,50953.0,4759.0,61201.0,10248.0,-1.359853580103275
