project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
tungstenite-rs,2022-11-14 06:28:25.835000,"{tungstenite-rs,centipede}","{b473e19f7eef012611feadf81df7ec49c52c4a1a,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-15 06:16:30.415000,"{tungstenite-rs,centipede}","{438210688fca8fb64ecf41000feb9573310ea93b,baa82e7189677bb9086beb5d9b5e58018d991607}",669.0,22684.0,670.0,22852.0,168.0,-0.017305626264587204
tungstenite-rs,2022-11-16 06:14:31.067000,"{tungstenite-rs,centipede}","{438210688fca8fb64ecf41000feb9573310ea93b,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:04:31,{tungstenite-rs},{438210688fca8fb64ecf41000feb9573310ea93b},670.0,22417.0,669.0,22050.0,-367.0,0.04521046496842951
tungstenite-rs,2022-11-18 06:10:59.550000,{tungstenite-rs},{438210688fca8fb64ecf41000feb9573310ea93b},2022-11-19 06:20:53.591000,{tungstenite-rs},{c7e9e0cbae3c616c78345a1729c12d812d24afc9},669.0,22691.0,669.0,23508.0,817.0,-0.10246578143106388
tungstenite-rs,2022-11-24 06:22:02.923000,{tungstenite-rs},{c7e9e0cbae3c616c78345a1729c12d812d24afc9},2022-11-25 06:35:06.992000,{tungstenite-rs},{7174996e7739bdbec372f43474464b70fe914a8f},670.0,22166.0,669.0,22166.0,0.0,-0.004511413877108961
tungstenite-rs,2022-11-25 06:35:06.992000,{tungstenite-rs},{7174996e7739bdbec372f43474464b70fe914a8f},2022-11-26 06:05:16.644000,{tungstenite-rs},{85f153c6fc7302ee0efa178b89ef584d9f28b50d},669.0,22166.0,669.0,22181.0,15.0,-0.0020410278281772776
tungstenite-rs,2022-11-28 06:44:30.665000,{tungstenite-rs},{85f153c6fc7302ee0efa178b89ef584d9f28b50d},2022-11-29 06:06:50.748000,{tungstenite-rs},{72c6f6cdd07a24f900da3a1c41cecb75f4a0e7f1},669.0,22822.0,669.0,22181.0,-641.0,0.08471285613307078
tungstenite-rs,2022-12-02 06:07:28.495000,{tungstenite-rs},{72c6f6cdd07a24f900da3a1c41cecb75f4a0e7f1},2022-12-03 06:09:23.255000,{tungstenite-rs},{3fc7fb412c3e6fdc8bdf7861104b645c9d527202},669.0,22822.0,669.0,23639.0,817.0,-0.10131304597727508
tungstenite-rs,2022-12-13 06:26:20.886000,{tungstenite-rs},{3fc7fb412c3e6fdc8bdf7861104b645c9d527202},2022-12-14 06:37:22.159000,{tungstenite-rs},{c469214dd3012af6f1641fb7a6754dc186e10677},669.0,22166.0,669.0,23100.0,934.0,-0.12203198768208257
tungstenite-rs,2023-01-15 06:08:53.738000,{tungstenite-rs},{c469214dd3012af6f1641fb7a6754dc186e10677},2023-01-16 06:24:33.943000,{tungstenite-rs},{c6769e3daebc064f1e1e711f552c7970a42d8346},669.0,22283.0,669.0,22422.0,139.0,-0.018611994242308416
tungstenite-rs,2023-01-31 17:51:23.763000,{tungstenite-rs},{c6769e3daebc064f1e1e711f552c7970a42d8346},2023-02-01 06:36:36.753000,{tungstenite-rs},{657faf427f44e6e64074fc9387914a82bd5af1f1},669.0,22234.0,669.0,22272.0,38.0,-0.0051337284773551595
tungstenite-rs,2023-02-12 06:03:45.304000,{tungstenite-rs},{657faf427f44e6e64074fc9387914a82bd5af1f1},2023-02-13 06:26:23.228000,{tungstenite-rs},{e1033afd959bb7abfcbc181033b8326f8a40562b},669.0,23074.0,669.0,23074.0,0.0,0.0
tungstenite-rs,2023-03-18 06:23:19.450000,{tungstenite-rs},{e1033afd959bb7abfcbc181033b8326f8a40562b},2023-03-19 06:07:59.847000,{tungstenite-rs},{edb237754084bfb18a301ac8a3a42612af64ae19},669.0,23490.0,677.0,26673.0,3183.0,-0.3098732441849661
tungstenite-rs,2023-03-22 06:03:33.684000,{tungstenite-rs},{edb237754084bfb18a301ac8a3a42612af64ae19},2023-03-23 06:15:13.490000,{tungstenite-rs},{42b8797e8b7f39efb7d9322dc8af3e9089db4f7d},677.0,26722.0,669.0,23756.0,-2966.0,0.28263765970675614
tungstenite-rs,2023-03-30 06:03:42.726000,{tungstenite-rs},{42b8797e8b7f39efb7d9322dc8af3e9089db4f7d},2023-03-31 06:12:18.521000,{tungstenite-rs},{67e25fdd68491687ca18f26d1335aadf65f0ce2c},669.0,22006.0,669.0,22280.0,274.0,-0.03738697998309881
tungstenite-rs,2023-04-03 06:47:50.198000,{tungstenite-rs},{67e25fdd68491687ca18f26d1335aadf65f0ce2c},2023-04-04 06:08:16.141000,{tungstenite-rs},{92d65e11043f2a3bf18099ecc3cd7911e70bc456},669.0,22280.0,669.0,22841.0,561.0,-0.07374943181090199
tungstenite-rs,2023-04-07 06:25:47.811000,{tungstenite-rs},{92d65e11043f2a3bf18099ecc3cd7911e70bc456},2023-04-08 06:32:36.006000,{tungstenite-rs},{a873befaae125f9e0c4fbfebd6ca54cf992928de},669.0,22318.0,669.0,22861.0,543.0,-0.07119925517676906
tungstenite-rs,2023-04-12 06:53:46.521000,{tungstenite-rs},{a873befaae125f9e0c4fbfebd6ca54cf992928de},2023-04-13 06:25:26.553000,{tungstenite-rs},{79fa37888f04284e497f993b8b8e4150e5e9c0ca},669.0,22044.0,669.0,22318.0,274.0,-0.037258983731125905
tungstenite-rs,2023-04-14 07:04:49.176000,{tungstenite-rs},{79fa37888f04284e497f993b8b8e4150e5e9c0ca},2023-04-15 07:12:49.143000,{tungstenite-rs},{314feea3055a93e585882fb769854a912a7e6dae},669.0,22318.0,669.0,22318.0,0.0,0.0
tungstenite-rs,2023-04-25 06:50:30.531000,{tungstenite-rs},{314feea3055a93e585882fb769854a912a7e6dae},2023-04-26 06:05:21.301000,{tungstenite-rs},{e5efe537b87a6705467043fe44bb220ddf7c1ce8},669.0,22703.0,669.0,22318.0,-385.0,0.05083330242330142
tungstenite-rs,2023-05-18 07:00:15.421000,{tungstenite-rs},{e5efe537b87a6705467043fe44bb220ddf7c1ce8},2023-05-19 06:12:49.650000,{tungstenite-rs},{371f8230444e209cc37ec481e94d621eddf5f0af},670.0,22318.0,670.0,22044.0,-274.0,0.03731467727930449
tungstenite-rs,2023-05-26 07:05:11.697000,{tungstenite-rs},{371f8230444e209cc37ec481e94d621eddf5f0af},2023-05-27 06:50:31.305000,{tungstenite-rs},{79b39eb1466deb2a7bec8294e0b923a39e1584f7},670.0,23131.0,669.0,22040.0,-1091.0,0.13884443853720052
tungstenite-rs,2023-05-28 06:06:15.394000,{tungstenite-rs},{79b39eb1466deb2a7bec8294e0b923a39e1584f7},2023-05-29 06:03:30.679000,{tungstenite-rs},{5a3115c09b875403ec6c7a1bef5802fb264d1228},670.0,22835.0,667.0,22083.0,-752.0,0.08633054776592264
tungstenite-rs,2023-06-02 06:34:02.485000,{tungstenite-rs},{5a3115c09b875403ec6c7a1bef5802fb264d1228},2023-06-03 06:19:33.381000,{tungstenite-rs},{8f23e1765e9a5145b8df9c063744eda1c5bdcf28},667.0,22083.0,674.0,22082.0,-1.0,0.03183680929941923
tungstenite-rs,2023-06-10 06:56:42.220000,{tungstenite-rs},{8f23e1765e9a5145b8df9c063744eda1c5bdcf28},2023-06-11 06:20:08.463000,{tungstenite-rs},{d7b559d724eb156590f9b739245499d6bdce41a3},674.0,23274.0,674.0,22184.0,-1090.0,0.14229036975306775
tungstenite-rs,2023-06-17 06:53:19.429000,{tungstenite-rs},{d7b559d724eb156590f9b739245499d6bdce41a3},2023-06-18 06:05:33.920000,{tungstenite-rs},{57d9e23939085c342949e62df799d75ed7c27d2f},675.0,22206.0,675.0,23305.0,1099.0,-0.14334482623291223
tungstenite-rs,2023-07-22 06:44:53.847000,{tungstenite-rs},{57d9e23939085c342949e62df799d75ed7c27d2f},2023-07-23 07:00:25.234000,{tungstenite-rs},{53914c1180dfb40e2286fc7929d68a1a92f80971},674.0,22209.0,682.0,22492.0,283.0,-0.002616486562305287
tungstenite-rs,2023-09-22 06:51:12.693000,{tungstenite-rs},{53914c1180dfb40e2286fc7929d68a1a92f80971},2023-09-23 06:48:12.041000,{tungstenite-rs},{219075edaaaf503c66ef625f95bee8b4eb5b939c},679.0,23043.0,679.0,22535.0,-508.0,0.06642581694417782
tungstenite-rs,2023-09-23 06:48:12.041000,{tungstenite-rs},{219075edaaaf503c66ef625f95bee8b4eb5b939c},2023-09-24 06:12:14.947000,{tungstenite-rs},{8b3ecd3cc0008145ab4bc8d0657c39d09db8c7e2},679.0,22535.0,679.0,22261.0,-274.0,0.03708669264080022
tungstenite-rs,2023-10-22 07:07:58.188000,{tungstenite-rs},{8b3ecd3cc0008145ab4bc8d0657c39d09db8c7e2},2023-10-23 07:01:09.013000,{tungstenite-rs},{3d9fd1e5cb8b78e930eead4604e7ba9debec618e},680.0,22354.0,681.0,22354.0,0.0,0.004473472309206361
tungstenite-rs,2023-10-29 07:19:16.399000,{tungstenite-rs},{3d9fd1e5cb8b78e930eead4604e7ba9debec618e},2023-10-30 07:01:03.607000,{tungstenite-rs},{272d83c4309b68838a139b6288bb94d166ffd7b1},680.0,22628.0,680.0,22354.0,-274.0,0.03683477817974801
tungstenite-rs,2023-11-15 06:19:08.757000,{tungstenite-rs},{272d83c4309b68838a139b6288bb94d166ffd7b1},2023-11-16 06:41:32.168000,{tungstenite-rs},{a6cbed7bffd7c060e3e032405e00d97ffb7d16e3},681.0,22664.0,680.0,22664.0,0.0,-0.004412283798094219
tungstenite-rs,2023-11-16 06:41:32.168000,{tungstenite-rs},{a6cbed7bffd7c060e3e032405e00d97ffb7d16e3},2023-11-17 06:23:03.522000,{tungstenite-rs},{08cdd76dd606ba933eb6edbb342107bea403a0eb},680.0,22664.0,680.0,22664.0,0.0,0.0
tungstenite-rs,2023-11-17 06:23:03.522000,{tungstenite-rs},{08cdd76dd606ba933eb6edbb342107bea403a0eb},2023-11-18 06:29:15.753000,{tungstenite-rs},{fc17f7341dada53cf03ce1f4c8c29da318e292cb},680.0,22664.0,669.0,22391.0,-273.0,-0.012545381435480785
tungstenite-rs,2023-12-01 07:03:56.529000,{tungstenite-rs},{fc17f7341dada53cf03ce1f4c8c29da318e292cb},2023-12-02 06:20:43.868000,{tungstenite-rs},{0f6e6517e62e72502c3720a028efe8c5c653b8e7},669.0,22455.0,669.0,22735.0,280.0,-0.03669240100316484
tungstenite-rs,2023-12-02 06:20:43.868000,{tungstenite-rs},{0f6e6517e62e72502c3720a028efe8c5c653b8e7},2023-12-03 06:07:00.572000,{tungstenite-rs},{a54623ccfe10ed064aa7f1ab692b07386272e4a6},669.0,22735.0,669.0,22461.0,-274.0,0.03589654367254669
tungstenite-rs,2023-12-05 06:13:17.507000,{tungstenite-rs},{a54623ccfe10ed064aa7f1ab692b07386272e4a6},2023-12-06 07:21:57.081000,{tungstenite-rs},{bcd7f85e6510cf5dbf02d6ac60a54141e2e2941b},669.0,22443.0,671.0,22452.0,9.0,0.007712989302694151
tungstenite-rs,2023-12-06 07:21:57.081000,{tungstenite-rs},{bcd7f85e6510cf5dbf02d6ac60a54141e2e2941b},2023-12-07 06:24:42.034000,{tungstenite-rs},{85463b264e3f672ef2004294d82fd3f4ee6a8ca3},671.0,22452.0,671.0,23029.0,577.0,-0.07488041109012489
tungstenite-rs,2023-12-08 06:20:34.898000,{tungstenite-rs},{85463b264e3f672ef2004294d82fd3f4ee6a8ca3},2023-12-09 07:33:04.957000,{tungstenite-rs},{e9604ac35b5c2c5798e982e1593d94a48fcd2c15},671.0,23303.0,670.0,23303.0,0.0,-0.0042912929665708255
tungstenite-rs,2023-12-11 06:56:02.331000,{tungstenite-rs},{e9604ac35b5c2c5798e982e1593d94a48fcd2c15},2023-12-12 06:56:26.777000,{tungstenite-rs},{3df40fd0f1bf731d88e82bd68554493d3bfd1d00},673.0,23078.0,673.0,23078.0,0.0,0.0
tungstenite-rs,2023-12-12 06:56:26.777000,{tungstenite-rs},{3df40fd0f1bf731d88e82bd68554493d3bfd1d00},2023-12-13 06:36:53.841000,{tungstenite-rs},{2ee05d10803d95ad48b3ad03d9d9a03164060e76},673.0,23078.0,674.0,23078.0,0.0,0.004333131120547673
tungstenite-rs,2024-02-12 06:09:52.948000,{tungstenite-rs},{2ee05d10803d95ad48b3ad03d9d9a03164060e76},2024-02-13 06:08:24.129000,{tungstenite-rs},{0fa41973b4c075f5d4a9e03a82a26a301ca31ce9},672.0,22986.0,672.0,23017.0,31.0,-0.003937484405855063
tungstenite-rs,2024-04-23 06:24:30.469000,{tungstenite-rs},{0fa41973b4c075f5d4a9e03a82a26a301ca31ce9},2024-04-24 06:23:30.722000,{tungstenite-rs},{60c50cdea2f58ea46402e34fcbd05bd73d1855b9},673.0,23282.0,673.0,23282.0,0.0,0.0
tungstenite-rs,2024-05-10 06:06:38.154000,{tungstenite-rs},{60c50cdea2f58ea46402e34fcbd05bd73d1855b9},2024-05-11 06:21:55.413000,{tungstenite-rs},{564f10a20ac61e46defa0e2d63fbb20702b2f1df},674.0,23282.0,673.0,23315.0,33.0,-0.008386576444710858
tungstenite-rs,2024-05-13 06:34:04.226000,{tungstenite-rs},{564f10a20ac61e46defa0e2d63fbb20702b2f1df},2024-05-14 06:09:12.048000,{tungstenite-rs},{ec0e3b98030346a8bea02517e2b32a13ccc427bb},674.0,23315.0,673.0,14667.0,-8648.0,1.697689273755271
tungstenite-rs,2024-06-01 06:10:36.440000,{tungstenite-rs},{ec0e3b98030346a8bea02517e2b32a13ccc427bb},2024-06-02 06:07:23.659000,{tungstenite-rs},{2ebcc1f2e4cfe62fe46df35341d86cb98bb10d3e},673.0,14667.0,673.0,14667.0,0.0,0.0
tungstenite-rs,2024-06-02 06:07:23.659000,{tungstenite-rs},{2ebcc1f2e4cfe62fe46df35341d86cb98bb10d3e},2024-06-03 06:22:04.361000,{tungstenite-rs},{bef231dcb02baf223d693ee00528c5d6985f9085},673.0,14667.0,673.0,14667.0,0.0,0.0
tungstenite-rs,2024-08-13 06:38:14.404000,{tungstenite-rs},{bef231dcb02baf223d693ee00528c5d6985f9085},2024-08-14 06:04:46.964000,{tungstenite-rs},{161704141654376394c701ca9a846e7ca24f5677},671.0,14650.0,671.0,14653.0,3.0,-0.0009377338657250434
tungstenite-rs,2024-08-21 06:03:24.305000,{tungstenite-rs},{161704141654376394c701ca9a846e7ca24f5677},2024-08-22 06:05:43.012000,{tungstenite-rs},{4f9c5cbd6cab4d4804f503d176737d5dd3947315},671.0,14653.0,671.0,14662.0,9.0,-0.0028108991541833106
tungstenite-rs,2024-08-27 06:32:31.690000,{tungstenite-rs},{4f9c5cbd6cab4d4804f503d176737d5dd3947315},2024-08-28 06:29:39.629000,{tungstenite-rs},{00c00d4a625c9c52b125f2dbb370793e547085a6},671.0,14662.0,671.0,14662.0,0.0,0.0
