project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
unicorn,2019-03-13 14:25:53.942000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356050}",2019-03-14 14:22:37.103000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356146}",67975.0,111756.0,68023.0,111756.0,0.0,0.04295071405562112
unicorn,2019-03-14 14:22:37.103000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356146}",2019-03-15 14:21:39.900000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356263}",68023.0,111756.0,68023.0,111756.0,0.0,0.0
unicorn,2019-03-15 14:21:39.900000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356263}",2019-03-16 14:18:58.105000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356323}",68023.0,111756.0,68023.0,111756.0,0.0,0.0
unicorn,2019-03-16 14:18:58.105000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356323}",2019-03-17 14:18:30.050000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356331}",68023.0,111756.0,68057.0,111756.0,0.0,0.030423422456060223
unicorn,2019-03-17 14:18:30.050000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356331}",2019-03-18 14:24:34.595000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356370}",68057.0,111756.0,68104.0,111756.0,0.0,0.042055907512796864
unicorn,2019-03-18 14:24:34.595000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356370}",2019-03-19 14:21:28.748000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356456}",68104.0,111756.0,68120.0,111756.0,0.0,0.014316904685202303
unicorn,2019-03-19 14:21:28.748000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356456}",2019-03-20 14:18:31.692000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356554}",68120.0,111756.0,68132.0,111756.0,0.0,0.01073767851390528
unicorn,2019-03-20 14:18:31.692000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356554}",2019-03-21 14:21:03.089000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356667}",68132.0,111756.0,68132.0,111756.0,0.0,0.0
unicorn,2019-03-21 14:21:03.089000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356667}",2019-03-22 14:21:45.923000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356751}",68132.0,111756.0,68292.0,111756.0,0.0,0.14316904685206566
unicorn,2019-03-22 14:21:45.923000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356751}",2019-03-23 14:20:18.835000,"{unicorn,libfuzzer}","{d38c8fb27f7f94d81ec546bff6c306e21f949d0e,356832}",68292.0,111756.0,68296.0,111756.0,0.0,0.0035792261713041285
