project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
uritemplate,2023-03-14 06:23:57.808000,{uritemplate},{dcf3f4762f39054e80ed990400038473a11fc00f},2023-03-15 06:49:22.114000,{uritemplate},{8156d6f1649be8920d26863a711c4f03ab69b409},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-04-04 06:52:36.946000,{uritemplate},{8156d6f1649be8920d26863a711c4f03ab69b409},2023-04-05 06:10:31.887000,{uritemplate},{02bd3cc0039c4e6527c891641c9e5756cc1e24f2},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-04-11 07:50:06.038000,{uritemplate},{02bd3cc0039c4e6527c891641c9e5756cc1e24f2},2023-04-12 06:05:21.028000,{uritemplate},{f0f776475f35c5e1cc1c46d71ba57edd9a7d7bcc},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-04-25 06:59:45.841000,{uritemplate},{f0f776475f35c5e1cc1c46d71ba57edd9a7d7bcc},2023-04-26 06:34:18.578000,{uritemplate},{85619cc79d414b4ad268887540240eb829b99cd7},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-08-15 07:03:19.832000,{uritemplate},{85619cc79d414b4ad268887540240eb829b99cd7},2023-08-16 06:24:54.610000,{uritemplate},{eb657b9f03b74846e66c0434b6a407319b580792},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-09-16 06:05:04.066000,{uritemplate},{eb657b9f03b74846e66c0434b6a407319b580792},2023-09-17 06:26:37.076000,{uritemplate},{ddf8121cd843c0d43d764cdd7d3d22e92909f484},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-10-03 06:11:55.852000,{uritemplate},{ddf8121cd843c0d43d764cdd7d3d22e92909f484},2023-10-05 07:00:26.463000,{uritemplate},{2f1d3d9130e1eb0ba3e3e257abf967ab555844dc},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-10-17 06:19:11.927000,{uritemplate},{2f1d3d9130e1eb0ba3e3e257abf967ab555844dc},2023-10-18 06:07:07.953000,{uritemplate},{ee7c92b0f1b74ad91a53c7efcf50a281d4a29442},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-10-23 06:34:03.765000,{uritemplate},{ee7c92b0f1b74ad91a53c7efcf50a281d4a29442},2023-10-24 06:44:22.922000,{uritemplate},{257522632fdfd974ae6f42692e6af8151ab6d3c5},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-11-13 06:09:35.096000,{uritemplate},{257522632fdfd974ae6f42692e6af8151ab6d3c5},2023-11-14 06:31:39.843000,{uritemplate},{b9855bfbad88bfafb2d8e949d0a70a19b9040c9f},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-11-27 06:10:48.638000,{uritemplate},{b9855bfbad88bfafb2d8e949d0a70a19b9040c9f},2023-11-28 06:34:47.126000,{uritemplate},{022ac6d4e47ba248b94682c1152792ad192c0439},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-12-18 06:22:08.662000,{uritemplate},{022ac6d4e47ba248b94682c1152792ad192c0439},2023-12-19 06:18:10.145000,{uritemplate},{67866ad08f897262e798927b015c34879cee3f96},225.0,343.0,225.0,343.0,0.0,0.0
uritemplate,2023-12-25 06:43:10.752000,{uritemplate},{67866ad08f897262e798927b015c34879cee3f96},2023-12-26 06:25:50.013000,{uritemplate},{9559fe843088fbce3fe0e313fbd1204f2190ccef},225.0,343.0,225.0,343.0,0.0,0.0
