project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
usbguard,2019-03-13 13:24:42.632000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356046}",2019-03-14 13:23:44.166000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356140}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-14 13:23:44.166000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356140}",2019-03-15 13:23:44.884000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356258}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-15 13:23:44.884000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356258}",2019-03-16 13:22:55.445000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356322}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-16 13:22:55.445000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356322}",2019-03-17 13:23:27.542000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356330}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-17 13:23:27.542000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356330}",2019-03-18 13:23:55.507000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356365}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-18 13:23:55.507000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356365}",2019-03-19 13:22:43.314000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356451}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-19 13:22:43.314000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356451}",2019-03-20 13:23:22.724000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356552}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-20 13:23:22.724000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356552}",2019-03-21 13:23:02.815000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356662}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-21 13:23:02.815000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356662}",2019-03-22 13:25:18.340000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356747}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-22 13:25:18.340000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356747}",2019-03-23 13:24:06.707000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356831}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
usbguard,2019-03-23 13:24:06.707000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356831}",2019-03-24 13:22:15.618000,"{usbguard,libfuzzer}","{e8f7be78888ac76f473766cac196c21ff88a57cf,356852}",1510.0,3609.0,1510.0,3609.0,0.0,0.0
