project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
util-linux,2020-06-30 13:22:36.518000,"{util-linux,afl}","{a8bebab9695bd167757c4d1b76d2974d13ee5eec,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-07-01 13:22:06.737000,"{util-linux,afl}","{a8bebab9695bd167757c4d1b76d2974d13ee5eec,518e42281f77768215851d31fc61e8970ce21481}",5976.0,21377.0,5976.0,21377.0,0.0,0.0
util-linux,2020-07-01 13:22:06.737000,"{util-linux,afl}","{a8bebab9695bd167757c4d1b76d2974d13ee5eec,518e42281f77768215851d31fc61e8970ce21481}",2020-07-02 13:21:36.458000,"{util-linux,afl}","{a732e4a1d3441cf4e579b824d4667a2e224e6a4e,518e42281f77768215851d31fc61e8970ce21481}",5976.0,21377.0,5969.0,21352.0,-25.0,-5.23615607228578e-05
util-linux,2020-07-02 13:21:36.458000,"{util-linux,afl}","{a732e4a1d3441cf4e579b824d4667a2e224e6a4e,518e42281f77768215851d31fc61e8970ce21481}",2020-07-03 13:21:49.315000,"{util-linux,afl}","{7586e9d1aa3d054efc0a4c959c41be98660072b0,518e42281f77768215851d31fc61e8970ce21481}",5969.0,21352.0,5969.0,21352.0,0.0,0.0
util-linux,2020-07-04 13:21:07.882000,"{util-linux,afl}","{7586e9d1aa3d054efc0a4c959c41be98660072b0,518e42281f77768215851d31fc61e8970ce21481}",2020-07-05 13:20:58.705000,"{util-linux,afl}","{7586e9d1aa3d054efc0a4c959c41be98660072b0,82b5e359463238d790cadbe2dd494d6a4928bff3}",5969.0,21352.0,5969.0,21352.0,0.0,0.0
util-linux,2020-07-06 13:21:30.361000,"{util-linux,afl}","{7586e9d1aa3d054efc0a4c959c41be98660072b0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-07 13:22:29.412000,"{util-linux,afl}","{2b41c409e7616b6e07bb47eaee90b82d7fdc120c,82b5e359463238d790cadbe2dd494d6a4928bff3}",5969.0,21352.0,5969.0,21352.0,0.0,0.0
util-linux,2020-07-07 13:22:29.412000,"{util-linux,afl}","{2b41c409e7616b6e07bb47eaee90b82d7fdc120c,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-08 13:21:24.319000,"{util-linux,afl}","{ff89765a8f57be4225437c0dbed93444ae65d53e,82b5e359463238d790cadbe2dd494d6a4928bff3}",5969.0,21352.0,5969.0,21364.0,12.0,-0.01570224303126011
util-linux,2020-07-08 13:21:24.319000,"{util-linux,afl}","{ff89765a8f57be4225437c0dbed93444ae65d53e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-09 13:21:47.471000,"{util-linux,afl}","{10a0a9cbc567cd4d70e43b5d15f3764b7d21dbc2,82b5e359463238d790cadbe2dd494d6a4928bff3}",5969.0,21364.0,5969.0,21364.0,0.0,0.0
util-linux,2020-07-09 13:21:47.471000,"{util-linux,afl}","{10a0a9cbc567cd4d70e43b5d15f3764b7d21dbc2,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-10 13:22:06.545000,"{util-linux,afl}","{1f4009146a06bdea8bd9eb9f6daaa55f05621416,82b5e359463238d790cadbe2dd494d6a4928bff3}",5969.0,21364.0,5969.0,21364.0,0.0,0.0
util-linux,2020-07-13 18:37:42.718000,"{util-linux,afl}","{1f4009146a06bdea8bd9eb9f6daaa55f05621416,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-14 13:21:17.588000,"{util-linux,afl}","{70dae020c984d81c3247d7fd73b8c61bbfc519a4,82b5e359463238d790cadbe2dd494d6a4928bff3}",5969.0,21364.0,5969.0,21364.0,0.0,0.0
util-linux,2020-07-14 13:21:17.588000,"{util-linux,afl}","{70dae020c984d81c3247d7fd73b8c61bbfc519a4,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-15 13:23:18.175000,"{util-linux,afl}","{ff84ba8b03e9381bc79bac7098cc4051a31587ad,82b5e359463238d790cadbe2dd494d6a4928bff3}",5969.0,21364.0,5969.0,21364.0,0.0,0.0
util-linux,2020-07-16 13:21:59.329000,"{util-linux,afl}","{ff84ba8b03e9381bc79bac7098cc4051a31587ad,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-17 13:21:26.045000,"{util-linux,afl}","{3575089b16f03786d149f51641cf30dcea9a79cb,82b5e359463238d790cadbe2dd494d6a4928bff3}",5969.0,21364.0,5969.0,21364.0,0.0,0.0
util-linux,2020-07-19 13:21:12.261000,"{util-linux,afl}","{3575089b16f03786d149f51641cf30dcea9a79cb,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-20 13:22:20.680000,"{util-linux,afl}","{09fd73e9e04cc3fc41b9f7ccfbe49f94469a63c7,82b5e359463238d790cadbe2dd494d6a4928bff3}",5969.0,21364.0,5969.0,21364.0,0.0,0.0
