project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
valijson,2021-01-07 06:06:13.876000,"{valijson,afl}","{f544cd020a7df4f488fc50d2b79b38a1b9205a08,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-08 08:53:54.449000,"{valijson,afl}","{3621f98d43a7fc97884b9e826ddb16204488ffe4,82b5e359463238d790cadbe2dd494d6a4928bff3}",2752.0,4765.0,2978.0,4684.0,-81.0,5.823678742037153
valijson,2021-01-16 07:07:57.921000,"{valijson,afl}","{3621f98d43a7fc97884b9e826ddb16204488ffe4,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-17 07:55:08.264000,"{valijson,afl}","{7ab96207c598f99461adb70678c42867a9f1da3e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2967.0,4684.0,3029.0,4686.0,2.0,1.2960549311447238
valijson,2021-01-23 07:48:24.302000,"{valijson,afl}","{7ab96207c598f99461adb70678c42867a9f1da3e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-24 06:56:50.661000,"{valijson,afl}","{a19e1c00f05e49eb62c604c77f7240decd45300e,82b5e359463238d790cadbe2dd494d6a4928bff3}",3029.0,4686.0,286.0,3589.0,-1097.0,-56.67055772326572
valijson,2021-01-24 06:56:50.661000,"{valijson,afl}","{a19e1c00f05e49eb62c604c77f7240decd45300e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-25 08:38:05.138000,"{valijson,afl}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,82b5e359463238d790cadbe2dd494d6a4928bff3}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-01-25 08:38:05.138000,"{valijson,afl}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-26 06:35:53.111000,"{valijson,aflplusplus,afl}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-01-31 11:12:08.971000,"{valijson,aflplusplus,afl}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-01 09:33:28.830000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,068bef5eab942df0a133c92522f2ab81b28ac636}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-02-01 09:33:28.830000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,068bef5eab942df0a133c92522f2ab81b28ac636}",2021-02-02 08:43:45.467000,"{valijson,aflplusplus,afl}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-02-02 08:43:45.467000,"{valijson,aflplusplus,afl}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-03 07:00:29.687000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,1f71b85426f837ebcae8381897d44a3a67c73a4f}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-02-06 09:33:24.095000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2021-02-07 06:05:47.295000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,a763c61d89f90330bcde7c294c57cfccda1431b8}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-02-07 06:05:47.295000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,a763c61d89f90330bcde7c294c57cfccda1431b8}",2021-02-08 08:01:23.940000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-02-18 08:08:17.079000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-19 11:02:14.456000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,5dd35f5281afec0955c08fe9f99e3c83222b7764}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-02-22 08:28:46.051000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,5dd35f5281afec0955c08fe9f99e3c83222b7764}",2021-02-23 07:28:56.028000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,a252943236b12c080248747bee06c9c5084b871e}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-02-26 08:31:11.090000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,a252943236b12c080248747bee06c9c5084b871e}",2021-02-27 10:02:29.619000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,78d96c4dc86ac20e2a6e244017407ccc037ff13b}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-03-01 10:31:03.421000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,78d96c4dc86ac20e2a6e244017407ccc037ff13b}",2021-03-02 06:20:44.025000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,c3a8052a16f7d2d1947ea538719905a9d7a24d22}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-03-02 06:20:44.025000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,c3a8052a16f7d2d1947ea538719905a9d7a24d22}",2021-03-03 06:39:16.502000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,333509bb0a56be9bd2e236f0e2f37d4af2dd7d59}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-03-04 07:39:14.830000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,333509bb0a56be9bd2e236f0e2f37d4af2dd7d59}",2021-03-05 08:23:43.859000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,79d75d8e42e5adf64e149ab6e1fe197cb1d4f303}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-03-05 08:23:43.859000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,79d75d8e42e5adf64e149ab6e1fe197cb1d4f303}",2021-03-06 07:29:54.606000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,41ad23041b98917e9c38873f5b296ab98e59e460}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-03-06 07:29:54.606000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,41ad23041b98917e9c38873f5b296ab98e59e460}",2021-03-07 08:53:02.367000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,9b3d8c327d33191b181219ffce411b40bdbe8902}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-03-09 12:11:20.787000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,9b3d8c327d33191b181219ffce411b40bdbe8902}",2021-03-11 09:31:39.059000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,74a6044b3fba496c1255f9aedbf5b7253ae29f0e}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-03-16 06:54:41.374000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,74a6044b3fba496c1255f9aedbf5b7253ae29f0e}",2021-03-17 06:27:43.842000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,7c2436c7114e21f029b06346421a73910deac578}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-03-18 06:28:56.609000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,7c2436c7114e21f029b06346421a73910deac578}",2021-03-19 10:03:56.290000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,94312796f936ba1830b61432a0f958e192dd212f}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-03-19 10:03:56.290000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,94312796f936ba1830b61432a0f958e192dd212f}",2021-03-20 07:16:13.387000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,2102264acf5c271b7560a82771b3af8136af9354}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-04-02 06:56:16.815000,"{valijson,aflplusplus}","{8a784f23bf3ee6a183c450cfb60271b76e0b1b1c,2102264acf5c271b7560a82771b3af8136af9354}",2021-04-03 08:49:15.491000,"{valijson,aflplusplus}","{b3b958c8c02066ca0eb75039faf088b5509d1350,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-04-03 08:49:15.491000,"{valijson,aflplusplus}","{b3b958c8c02066ca0eb75039faf088b5509d1350,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-04-04 10:57:46.576000,"{valijson,aflplusplus}","{77bae9fb74309bbbff327979737b87b9c8e14681,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",286.0,3589.0,286.0,3589.0,0.0,0.0
valijson,2021-04-07 07:35:34.323000,"{valijson,aflplusplus}","{77bae9fb74309bbbff327979737b87b9c8e14681,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-04-08 07:56:22.486000,"{valijson,aflplusplus}","{70f12ed1d49095299433408188d1f7952be2603c,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",286.0,3589.0,286.0,3592.0,3.0,-0.006655451171328153
valijson,2021-04-30 07:44:04.411000,"{valijson,aflplusplus}","{70f12ed1d49095299433408188d1f7952be2603c,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-05-01 06:05:22.673000,"{valijson,aflplusplus}","{70f12ed1d49095299433408188d1f7952be2603c,f4cc718fdc4571f56280a1efad3645125bee2154}",286.0,3592.0,286.0,3592.0,0.0,0.0
valijson,2021-05-16 07:10:08.435000,"{valijson,aflplusplus}","{70f12ed1d49095299433408188d1f7952be2603c,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-17 06:05:26.764000,"{valijson,aflplusplus}","{cb778b6bb60d609a18a0ebc48c79e8ee6d4bd92d,f4cc718fdc4571f56280a1efad3645125bee2154}",286.0,3592.0,286.0,3592.0,0.0,0.0
valijson,2021-05-19 09:27:58.160000,"{valijson,aflplusplus}","{cb778b6bb60d609a18a0ebc48c79e8ee6d4bd92d,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-20 07:17:00.649000,"{valijson,aflplusplus}","{9183462118f58a3ca4be82b8f656f18707229737,f4cc718fdc4571f56280a1efad3645125bee2154}",286.0,3592.0,286.0,3601.0,9.0,-0.01989981748450198
valijson,2021-05-20 07:17:00.649000,"{valijson,aflplusplus}","{9183462118f58a3ca4be82b8f656f18707229737,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-21 09:09:07.850000,"{valijson,aflplusplus}","{2cf8d3dd2ec71ac5295e10f54a64dffaee151c64,f4cc718fdc4571f56280a1efad3645125bee2154}",286.0,3601.0,286.0,3601.0,0.0,0.0
valijson,2021-05-23 06:25:13.255000,"{valijson,aflplusplus}","{2cf8d3dd2ec71ac5295e10f54a64dffaee151c64,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-24 08:48:04.928000,"{valijson,aflplusplus}","{6cc4cddc969a08310cd6d89dbdbc1985159f8036,f4cc718fdc4571f56280a1efad3645125bee2154}",286.0,3601.0,286.0,3601.0,0.0,0.0
valijson,2021-05-24 08:48:04.928000,"{valijson,aflplusplus}","{6cc4cddc969a08310cd6d89dbdbc1985159f8036,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 08:24:34.850000,"{valijson,aflplusplus}","{6cc4cddc969a08310cd6d89dbdbc1985159f8036,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",286.0,3601.0,286.0,3601.0,0.0,0.0
valijson,2021-06-10 07:43:26.313000,"{valijson,aflplusplus}","{6cc4cddc969a08310cd6d89dbdbc1985159f8036,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-11 07:54:48.041000,"{valijson,aflplusplus}","{4897d102bd8561ae2771f0bb879a2ded036d0761,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",286.0,3601.0,286.0,3601.0,0.0,0.0
valijson,2021-06-14 07:49:35.171000,"{valijson,aflplusplus}","{4897d102bd8561ae2771f0bb879a2ded036d0761,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-15 09:05:42.119000,"{valijson,aflplusplus}","{4897d102bd8561ae2771f0bb879a2ded036d0761,ade8cdca55951958024c86766453430f904381c5}",286.0,3601.0,286.0,3601.0,0.0,0.0
valijson,2021-07-07 08:32:31.332000,"{valijson,aflplusplus}","{4897d102bd8561ae2771f0bb879a2ded036d0761,ade8cdca55951958024c86766453430f904381c5}",2021-07-08 06:47:52.647000,"{valijson,aflplusplus}","{4897d102bd8561ae2771f0bb879a2ded036d0761,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",286.0,3601.0,286.0,3601.0,0.0,0.0
valijson,2021-07-14 06:23:53.484000,"{valijson,aflplusplus}","{4897d102bd8561ae2771f0bb879a2ded036d0761,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-15 07:00:08.468000,"{valijson,aflplusplus}","{4897d102bd8561ae2771f0bb879a2ded036d0761,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",286.0,3601.0,286.0,3601.0,0.0,0.0
valijson,2021-07-27 12:34:14.801000,"{valijson,aflplusplus}","{4897d102bd8561ae2771f0bb879a2ded036d0761,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-07-28 10:25:13.109000,"{valijson,aflplusplus}","{82e093fe1829b17744227a383289ccc7657e7e7d,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",286.0,3601.0,286.0,3601.0,0.0,0.0
valijson,2021-07-28 10:25:13.109000,"{valijson,aflplusplus}","{82e093fe1829b17744227a383289ccc7657e7e7d,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-07-31 08:32:11.610000,"{valijson,aflplusplus}","{a4684c285d54746862d632260da697c6f24b0f0b,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",286.0,3601.0,321.0,3729.0,128.0,0.6659676861906823
valijson,2021-08-25 08:46:28.828000,"{valijson,aflplusplus}","{a4684c285d54746862d632260da697c6f24b0f0b,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-08-26 12:04:00.993000,"{valijson,aflplusplus}","{ad7dac75a5796e248335780890ec7dc3c9231772,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",321.0,3729.0,321.0,3736.0,7.0,-0.01612886554426396
valijson,2021-09-10 10:59:43.338000,"{valijson,aflplusplus}","{ad7dac75a5796e248335780890ec7dc3c9231772,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-12 07:37:34.829000,"{valijson,aflplusplus}","{b1119cccd66f9fdbee9e95fbf392ba42b42bc8ed,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",333.0,3736.0,333.0,3736.0,0.0,0.0
valijson,2021-09-14 09:47:02.047000,"{valijson,aflplusplus}","{b1119cccd66f9fdbee9e95fbf392ba42b42bc8ed,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-15 06:42:03.126000,"{valijson,aflplusplus}","{2dfc7499a31b84edef71189f4247919268ebc74e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",333.0,3736.0,333.0,3736.0,0.0,0.0
