project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
vorbis,2019-03-13 13:15:10.336000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356046}",2019-03-14 13:14:33.182000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356140}",4019.0,11520.0,4019.0,11520.0,0.0,0.0
vorbis,2019-03-14 13:14:33.182000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356140}",2019-03-15 13:13:25.742000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356258}",4019.0,11520.0,4019.0,11520.0,0.0,0.0
vorbis,2019-03-15 13:13:25.742000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356258}",2019-03-16 13:13:28.003000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356322}",4019.0,11520.0,4019.0,11520.0,0.0,0.0
vorbis,2019-03-16 13:13:28.003000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356322}",2019-03-17 13:13:13.631000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356330}",4019.0,11520.0,4019.0,11520.0,0.0,0.0
vorbis,2019-03-17 13:13:13.631000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356330}",2019-03-18 13:14:06.269000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356365}",4019.0,11520.0,4019.0,11520.0,0.0,0.0
vorbis,2019-03-18 13:14:06.269000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,a394849e79930f39f7a62b223c1ab1f05e30ff33,356365}",2019-03-19 13:13:29.603000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,f7dadaaf75634289f7ead64ed1802b627d761ee3,356450}",4019.0,11520.0,4016.0,11517.0,-3.0,-0.016960887528583157
vorbis,2019-03-19 13:13:29.603000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,f7dadaaf75634289f7ead64ed1802b627d761ee3,356450}",2019-03-20 13:13:12.206000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,f7dadaaf75634289f7ead64ed1802b627d761ee3,356552}",4016.0,11517.0,4016.0,11517.0,0.0,0.0
vorbis,2019-03-20 13:13:12.206000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,f7dadaaf75634289f7ead64ed1802b627d761ee3,356552}",2019-03-21 13:14:07.463000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,f7dadaaf75634289f7ead64ed1802b627d761ee3,356662}",4016.0,11517.0,4016.0,11517.0,0.0,0.0
vorbis,2019-03-21 13:14:07.463000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,f7dadaaf75634289f7ead64ed1802b627d761ee3,356662}",2019-03-22 13:14:13.802000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,f7dadaaf75634289f7ead64ed1802b627d761ee3,356747}",4016.0,11517.0,4016.0,11517.0,0.0,0.0
vorbis,2019-03-22 13:14:13.802000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,f7dadaaf75634289f7ead64ed1802b627d761ee3,356747}",2019-03-23 13:14:29.023000,"{vorbis,ogg,libfuzzer}","{9eadeccdc4247127d91ac70555074239f5ce3529,f7dadaaf75634289f7ead64ed1802b627d761ee3,356831}",4016.0,11517.0,4016.0,11517.0,0.0,0.0
