project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
w3lib,2023-07-20 07:04:26.014000,{w3lib},{5393dbe623f17e5018dcd8b6298be96ad489a9f8},2023-07-21 07:13:07.777000,{w3lib},{0e430ca3f9a943302d0d55cf600998a4649b81fa},178.0,348.0,178.0,348.0,0.0,0.0
w3lib,2023-08-02 06:36:55.204000,{w3lib},{0e430ca3f9a943302d0d55cf600998a4649b81fa},2023-08-03 06:48:21.022000,{w3lib},{5357628616a068278dbc4a06ed5858c2120f92c0},178.0,348.0,178.0,348.0,0.0,0.0
w3lib,2023-08-03 06:48:21.022000,{w3lib},{5357628616a068278dbc4a06ed5858c2120f92c0},2023-08-04 07:09:31.776000,{w3lib},{e0e02e259289cc9a58436450a57e740df464401b},178.0,348.0,178.0,348.0,0.0,0.0
w3lib,2023-10-03 06:07:12.265000,{w3lib},{e0e02e259289cc9a58436450a57e740df464401b},2023-10-04 06:05:49.988000,{w3lib},{fe2eed86abc7b819d68642a5dc4d79d10a1921af},178.0,348.0,171.0,327.0,-21.0,1.1441526942950517
w3lib,2023-10-05 06:49:18.996000,{w3lib},{fe2eed86abc7b819d68642a5dc4d79d10a1921af},2023-10-06 06:42:40.569000,{w3lib},{1251f2690b1486b534d708c401d3faec74bb3fc1},178.0,348.0,178.0,348.0,0.0,0.0
w3lib,2023-12-19 07:25:55.373000,{w3lib},{1251f2690b1486b534d708c401d3faec74bb3fc1},2023-12-20 06:13:39.380000,{w3lib},{73bfd652017d8923c08941a89a018d009f82d4e8},178.0,348.0,178.0,348.0,0.0,0.0
w3lib,2024-02-15 06:21:13.056000,{w3lib},{73bfd652017d8923c08941a89a018d009f82d4e8},2024-02-16 06:13:12.913000,{w3lib},{181a70f1ceae840274a29bcf43b19cb9d28ffaa0},178.0,348.0,178.0,348.0,0.0,0.0
w3lib,2024-04-22 06:07:38.553000,{w3lib},{181a70f1ceae840274a29bcf43b19cb9d28ffaa0},2024-04-23 06:31:41.220000,{w3lib},{032930444198a7232f3360874bf4e84ec7b207ba},178.0,348.0,178.0,348.0,0.0,0.0
w3lib,2024-06-03 06:07:21.132000,{w3lib},{032930444198a7232f3360874bf4e84ec7b207ba},2024-06-04 06:18:41.630000,{w3lib},{f41b2162520d8a8e4f7c3c99bdd5b601def425ca},178.0,348.0,178.0,348.0,0.0,0.0
w3lib,2024-06-04 06:18:41.630000,{w3lib},{f41b2162520d8a8e4f7c3c99bdd5b601def425ca},2024-06-05 06:21:37.325000,{w3lib},{c7a8ff543da9a81e248a82f69bcac275e6126a52},178.0,348.0,182.0,352.0,4.0,0.5551201671891377
w3lib,2024-06-05 06:21:37.325000,{w3lib},{c7a8ff543da9a81e248a82f69bcac275e6126a52},2024-06-06 06:14:56.797000,{w3lib},{d7c3307f8f7e30cdc91d48987e57c42ca04a5df3},182.0,352.0,182.0,352.0,0.0,0.0
w3lib,2024-06-11 06:24:07.698000,{w3lib},{d7c3307f8f7e30cdc91d48987e57c42ca04a5df3},2024-06-12 06:21:52.648000,{w3lib},{cd54253cca0196fe253a42de09ceab02fa549b55},182.0,352.0,182.0,355.0,3.0,-0.43693982074264426
w3lib,2024-06-12 06:21:52.648000,{w3lib},{cd54253cca0196fe253a42de09ceab02fa549b55},2024-06-13 06:30:07.009000,{w3lib},{a50090f18c081e3eede7a070585650f835440565},182.0,355.0,182.0,355.0,0.0,0.0
