project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
wasmer,2023-02-14 07:40:02.916000,{wasmer},{e18e1030d43656317d2c1ccbf4727e30df26659f},2023-02-15 08:13:59.120000,{wasmer},{b1a94df631b494b25206e109ea2eec7ab8f833f9},62398.0,282792.0,62288.0,267124.0,-15668.0,1.2530289917130553
wasmer,2023-02-15 08:13:59.120000,{wasmer},{b1a94df631b494b25206e109ea2eec7ab8f833f9},2023-02-16 07:10:57.148000,{wasmer},{73d6c48e721b5482cdaae573ef99c458f4e4a4c4},62288.0,267124.0,63760.0,267121.0,-3.0,0.5513230110281135
wasmer,2023-02-17 07:58:07.460000,{wasmer},{73d6c48e721b5482cdaae573ef99c458f4e4a4c4},2023-02-18 07:31:27.100000,{wasmer},{8696abd29e82ef907f2b08a76f517e9322d0ef43},62316.0,267121.0,63577.0,267121.0,0.0,0.4720707095286407
wasmer,2023-02-20 07:33:39.922000,{wasmer},{8696abd29e82ef907f2b08a76f517e9322d0ef43},2023-02-21 07:45:56.332000,{wasmer},{8de6b3013ceb22448d3b012fdde969026b3b0e96},62295.0,267121.0,63834.0,267121.0,0.0,0.5761433956895914
wasmer,2023-02-21 07:45:56.332000,{wasmer},{8de6b3013ceb22448d3b012fdde969026b3b0e96},2023-02-22 07:39:23.550000,{wasmer},{4d8163d296c22d200f4844f8c3d324343bd4bc2d},63834.0,267121.0,63498.0,267267.0,146.0,-0.13877121819072258
wasmer,2023-02-23 07:31:43.235000,{wasmer},{4d8163d296c22d200f4844f8c3d324343bd4bc2d},2023-02-24 07:25:11.209000,{wasmer},{871ff53105570b7c1a8e68e1cd11feb9722e81c6},63739.0,267267.0,63538.0,267277.0,10.0,-0.07609515357505359
wasmer,2023-02-26 07:56:08.008000,{wasmer},{871ff53105570b7c1a8e68e1cd11feb9722e81c6},2023-02-27 07:57:02.347000,{wasmer},{bc2a2dd4c26511cd959b7e4a0e26aa88adb25a67},62392.0,267277.0,62420.0,267277.0,0.0,0.010476023002354395
wasmer,2023-02-27 07:57:02.347000,{wasmer},{bc2a2dd4c26511cd959b7e4a0e26aa88adb25a67},2023-02-28 08:55:31.632000,{wasmer},{bb6904647c1ba766162ff18c547d759c1a958726},62420.0,267277.0,62347.0,267286.0,9.0,-0.02809794166471491
wasmer,2023-02-28 08:55:31.632000,{wasmer},{bb6904647c1ba766162ff18c547d759c1a958726},2023-03-01 08:15:37.860000,{wasmer},{830f1bd49b6ef3912f8501e4edfd78647da4017d},62347.0,267286.0,63946.0,267286.0,0.0,0.5982355978240541
wasmer,2023-03-01 08:15:37.860000,{wasmer},{830f1bd49b6ef3912f8501e4edfd78647da4017d},2023-03-02 08:08:16.676000,{wasmer},{2af510ad74660c95f805c46b9a3151b7c78cc977},63946.0,267286.0,62419.0,267286.0,0.0,-0.5712981600233462
wasmer,2023-03-02 08:08:16.676000,{wasmer},{2af510ad74660c95f805c46b9a3151b7c78cc977},2023-03-03 07:23:27.364000,{wasmer},{464af8d95dd11fa9d0acc048d847d4a22be67236},62419.0,267286.0,63889.0,267292.0,6.0,0.5494361322916248
wasmer,2023-03-03 07:23:27.364000,{wasmer},{464af8d95dd11fa9d0acc048d847d4a22be67236},2023-03-04 07:25:44.254000,{wasmer},{1a10f494ec343d62a88a4e99aedf3bf811c41922},63889.0,267292.0,62371.0,267425.0,133.0,-0.5795232648356112
