project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
wavpack,2020-01-09 15:15:41.914000,"{wavpack,afl}","{348ff60b489e731ffd046f837500313499623e3e,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-10 15:16:50.292000,"{wavpack,afl}","{db878b73e76c14842e99ad05aed9338d495703c0,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3824.0,4937.0,3826.0,4939.0,2.0,0.009128995786269911
wavpack,2020-01-12 15:15:50.274000,"{wavpack,afl}","{db878b73e76c14842e99ad05aed9338d495703c0,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-13 15:19:42.447000,"{wavpack,afl}","{f66e65851d45f51f9f83708f6260ca53883750a5,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",3826.0,4939.0,4214.0,4991.0,52.0,6.96690365800778
wavpack,2020-01-13 15:19:42.447000,"{wavpack,afl}","{f66e65851d45f51f9f83708f6260ca53883750a5,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-14 15:19:30.905000,"{wavpack,afl}","{c4e193f3a360817eb097fb54f2f9f84d5dda7112,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",4214.0,4991.0,4232.0,4991.0,0.0,0.36064916850331485
wavpack,2020-01-17 15:18:13.806000,"{wavpack,afl}","{c4e193f3a360817eb097fb54f2f9f84d5dda7112,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-18 15:21:24.636000,"{wavpack,afl}","{76848c856a607b919dd786a3edbf1103f7d53050,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",4232.0,4991.0,4233.0,4991.0,0.0,0.020036064916837404
wavpack,2020-01-20 15:21:29.108000,"{wavpack,afl}","{76848c856a607b919dd786a3edbf1103f7d53050,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-21 15:23:20.538000,"{wavpack,afl}","{540cdc7a5afb0884f4732735b43f9ababf658789,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",4233.0,4991.0,4249.0,5007.0,16.0,0.04853153491343676
wavpack,2020-01-22 15:23:05.742000,"{wavpack,afl}","{540cdc7a5afb0884f4732735b43f9ababf658789,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-23 15:18:25.271000,"{wavpack,afl}","{869d461e0248d04a0f222132a8067bdc1c236ec4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",4249.0,5007.0,4249.0,5007.0,0.0,0.0
wavpack,2020-01-27 15:25:11.632000,"{wavpack,afl}","{869d461e0248d04a0f222132a8067bdc1c236ec4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-01-28 15:23:13.210000,"{wavpack,afl}","{7c0cc45667866bc7ba3cd42218ed507b2e771784,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",4253.0,5007.0,4253.0,5007.0,0.0,0.0
wavpack,2020-01-31 15:21:12.958000,"{wavpack,afl}","{7c0cc45667866bc7ba3cd42218ed507b2e771784,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-02-01 15:25:30.835000,"{wavpack,afl}","{eefe90e7724a0ffce730655f417e34336b6d0a2b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",4253.0,5007.0,4253.0,5007.0,0.0,0.0
wavpack,2020-03-06 14:45:46.264000,"{wavpack,afl}","{eefe90e7724a0ffce730655f417e34336b6d0a2b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-07 14:45:31.714000,"{wavpack,afl}","{8caccc2f48eddb6ad1c6085d01823759dee0e6ef,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",4253.0,5007.0,4253.0,5007.0,0.0,0.0
wavpack,2020-04-08 13:45:27.666000,"{wavpack,afl}","{8caccc2f48eddb6ad1c6085d01823759dee0e6ef,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-09 13:45:22.303000,"{wavpack,afl}","{103903bc228f47c2b7c8858a1127d70cfd4c4a49,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",4253.0,5007.0,4253.0,5007.0,0.0,0.0
