project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
websocket-client,2022-08-26 06:19:12.643000,"{websocket-client,aflplusplus}","{bd84b50d265501d98412604f106847ab3c49d5b3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-27 06:21:43.576000,"{websocket-client,aflplusplus}","{cc09510e594c5d7ebe311098982429d6b19d723b,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3110.0,11718.0,3110.0,11718.0,0.0,0.0
websocket-client,2022-09-04 06:32:58.526000,"{websocket-client,aflplusplus}","{cc09510e594c5d7ebe311098982429d6b19d723b,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-05 06:16:32.874000,"{websocket-client,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3110.0,11718.0,3114.0,11739.0,21.0,-0.01340383936032552
websocket-client,2022-09-05 06:16:32.874000,"{websocket-client,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-06 06:04:51.064000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3114.0,11739.0,3114.0,11739.0,0.0,0.0
websocket-client,2022-09-06 06:04:51.064000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-07 06:09:20.045000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3114.0,11739.0,3114.0,11739.0,0.0,0.0
websocket-client,2022-09-07 06:09:20.045000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-08 06:06:17.374000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3114.0,11739.0,3114.0,11739.0,0.0,0.0
websocket-client,2022-09-11 06:27:50.149000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-12 06:22:02.839000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3114.0,11739.0,3114.0,11739.0,0.0,0.0
websocket-client,2022-09-15 06:04:10.264000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-16 06:10:50.245000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3114.0,11739.0,3114.0,11739.0,0.0,0.0
websocket-client,2022-09-19 06:37:50.500000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-20 06:24:57.828000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",3114.0,11739.0,3114.0,11739.0,0.0,0.0
websocket-client,2022-09-21 06:31:11.535000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:44:09.793000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",3114.0,11739.0,3114.0,11739.0,0.0,0.0
websocket-client,2022-10-06 06:11:59.790000,"{websocket-client,centipede,aflplusplus}","{37429a3efa1238cb5b6e5c056dd4e9190575d5ca,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-07 07:06:14.549000,"{websocket-client,centipede,aflplusplus}","{6ff442c6b11b56d98583056c4832d48f284246dc,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",3114.0,11739.0,3114.0,11738.0,-1.0,0.0022599217422580864
