project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
wget2,2019-03-13 14:04:47.424000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,e7e89684173c82e5104fe265a93916454f68200f,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,2c0ed45908fb2cdedfe92b8a1bef2f69034a4fb7,426f44034396d52d6981f3c6e79e089bbacce645,356048}",2019-03-14 14:04:00.220000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,9dca575622586e4c94ced9e453ae0a91f346d711,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,05044004157556f2c41e35b3823688a984722d15,356145}",20833.0,130025.0,20833.0,130025.0,0.0,0.0
wget2,2019-03-14 14:04:00.220000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,9dca575622586e4c94ced9e453ae0a91f346d711,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,05044004157556f2c41e35b3823688a984722d15,356145}",2019-03-15 14:02:09.306000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,9dca575622586e4c94ced9e453ae0a91f346d711,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,a336be6b8c12a99506bf4fbe654108bd179704b7,356260}",20833.0,130025.0,20833.0,130025.0,0.0,0.0
wget2,2019-03-15 14:02:09.306000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,9dca575622586e4c94ced9e453ae0a91f346d711,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,a336be6b8c12a99506bf4fbe654108bd179704b7,356260}",2019-03-16 14:01:49.620000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,9dca575622586e4c94ced9e453ae0a91f346d711,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,a336be6b8c12a99506bf4fbe654108bd179704b7,356323}",20833.0,130025.0,20833.0,130025.0,0.0,0.0
wget2,2019-03-16 14:01:49.620000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,9dca575622586e4c94ced9e453ae0a91f346d711,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,a336be6b8c12a99506bf4fbe654108bd179704b7,356323}",2019-03-17 14:01:22.456000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,b6c6e148b542a3ac3b0c407708fbc86e884d4f82,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,4d9813bf6bbf6489c1de4ad9d48943b961976bce,356330}",20833.0,130025.0,20833.0,130009.0,-16.0,0.0019718392915208938
wget2,2019-03-17 14:01:22.456000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,b6c6e148b542a3ac3b0c407708fbc86e884d4f82,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,4d9813bf6bbf6489c1de4ad9d48943b961976bce,356330}",2019-03-18 14:04:05.439000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,b6c6e148b542a3ac3b0c407708fbc86e884d4f82,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,03eccb2d010e0755fd55458e2f012fcfb0735c2d,356367}",20833.0,130009.0,20833.0,130009.0,0.0,0.0
wget2,2019-03-18 14:04:05.439000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,b6c6e148b542a3ac3b0c407708fbc86e884d4f82,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,03eccb2d010e0755fd55458e2f012fcfb0735c2d,356367}",2019-03-19 14:02:19.607000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,b6c6e148b542a3ac3b0c407708fbc86e884d4f82,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,661f63a41ac96060878e9fe94e547ded44e3f371,356454}",20833.0,130009.0,20833.0,130009.0,0.0,0.0
wget2,2019-03-19 14:02:19.607000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,b6c6e148b542a3ac3b0c407708fbc86e884d4f82,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,661f63a41ac96060878e9fe94e547ded44e3f371,356454}",2019-03-20 14:02:29.218000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,d9e1e50131d725cf8c8dd5e7d30b8eab5892bd63,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,17c967e57bf89d4c6fc0e94453814cf6852e39e2,356553}",20833.0,130009.0,20833.0,130009.0,0.0,0.0
wget2,2019-03-20 14:02:29.218000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,d9e1e50131d725cf8c8dd5e7d30b8eab5892bd63,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,17c967e57bf89d4c6fc0e94453814cf6852e39e2,356553}",2019-03-21 14:02:44.425000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,d9e1e50131d725cf8c8dd5e7d30b8eab5892bd63,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,480e356f01a7d2ed9435cb6a5d0facecfa8acabc,356664}",20833.0,130009.0,20833.0,130009.0,0.0,0.0
wget2,2019-03-21 14:02:44.425000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,d9e1e50131d725cf8c8dd5e7d30b8eab5892bd63,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,480e356f01a7d2ed9435cb6a5d0facecfa8acabc,356664}",2019-03-22 14:04:04.729000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,d9e1e50131d725cf8c8dd5e7d30b8eab5892bd63,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,480e356f01a7d2ed9435cb6a5d0facecfa8acabc,356750}",20833.0,130009.0,20833.0,130009.0,0.0,0.0
wget2,2019-03-22 14:04:04.729000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,d9e1e50131d725cf8c8dd5e7d30b8eab5892bd63,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,480e356f01a7d2ed9435cb6a5d0facecfa8acabc,356750}",2019-03-23 14:01:22.944000,"{wget2,gnutls,nettle,libpsl,libidn2,libunistring,gnulib,libfuzzer}","{eb508f49035cba01ee76ec7621475a8c80727b7a,8d2c1c345e1db472ef5d484d6ecc9ddbc794d791,d85e39b5da8fc60bb6055720a1ddeaa31951da02,b32e81367ce91388e94bd34c54e7297063857d66,5b4a152d7904b64c988ccedfd42f2488a007f0e6,37cc7b27485023128c1411e0ebb05698549d48fe,5a929250f4890af2ae8224105b39822b5a992e8b,356832}",20833.0,130009.0,20833.0,130026.0,17.0,-0.0020950631344653914
