project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
wheel,2023-01-23 06:52:19.667000,{wheel},{8dfef1355a8f19e773a08630613bd2da6c636c37},2023-01-24 06:39:45.313000,{wheel},{d91850f43fa17eb9af78d3e252d9d08fdb60b12e},5851.0,35376.0,5851.0,35376.0,0.0,0.0
wheel,2023-01-30 06:19:32.566000,{wheel},{d91850f43fa17eb9af78d3e252d9d08fdb60b12e},2023-01-31 03:08:59.781000,{wheel},{895558fc74f694dc6132723cfee58752d14c1482},5851.0,35376.0,5851.0,35376.0,0.0,0.0
wheel,2023-03-10 06:33:50.376000,{wheel},{895558fc74f694dc6132723cfee58752d14c1482},2023-03-11 06:08:11.067000,{wheel},{0de0c1af8e3bd8cbc813cb79ee6c7f1765088949},1442.0,8265.0,1442.0,8265.0,0.0,0.0
wheel,2023-03-11 06:08:11.067000,{wheel},{0de0c1af8e3bd8cbc813cb79ee6c7f1765088949},2023-03-12 06:13:44.539000,{wheel},{f79953324d21479a598e5ae036d5b123b390c4d7},1442.0,8265.0,1442.0,8265.0,0.0,0.0
wheel,2023-03-12 06:13:44.539000,{wheel},{f79953324d21479a598e5ae036d5b123b390c4d7},2023-03-13 06:04:07.461000,{wheel},{e0f18dd29ae60c26d30e5bc57c768ffc26abd498},1442.0,8265.0,1444.0,8279.0,14.0,-0.005345926219352037
wheel,2023-03-13 06:04:07.461000,{wheel},{e0f18dd29ae60c26d30e5bc57c768ffc26abd498},2023-03-14 06:26:20.802000,{wheel},{ba4b195a0ea86bdbe7bccab2dffef987d9d45510},1444.0,8279.0,1444.0,8283.0,4.0,-0.008422899922486238
wheel,2023-03-14 06:26:20.802000,{wheel},{ba4b195a0ea86bdbe7bccab2dffef987d9d45510},2023-03-15 06:04:05.408000,{wheel},{4aa790292fba033eb402011964f7604db2bd1438},1444.0,8283.0,1444.0,8283.0,0.0,0.0
wheel,2023-03-21 06:06:59.119000,{wheel},{4aa790292fba033eb402011964f7604db2bd1438},2023-03-22 06:17:00.955000,{wheel},{c87e6ed82b58b41b258a3e8c852af8bc1817bb00},1444.0,8283.0,1444.0,8283.0,0.0,0.0
wheel,2023-04-13 06:23:51.029000,{wheel},{c87e6ed82b58b41b258a3e8c852af8bc1817bb00},2023-04-14 06:46:42.914000,{wheel},{3dfe1be6b25df8b5e3127ec6e4364b3f7d88c6e3},1444.0,8283.0,1444.0,8283.0,0.0,0.0
wheel,2023-04-14 06:46:42.914000,{wheel},{3dfe1be6b25df8b5e3127ec6e4364b3f7d88c6e3},2023-04-15 07:16:46.444000,{wheel},{3b203dca000e8eeec47f456ce27af777568920f9},1444.0,8283.0,1446.0,8290.0,7.0,0.009404936091431892
wheel,2023-04-24 07:30:09.610000,{wheel},{3b203dca000e8eeec47f456ce27af777568920f9},2023-04-25 06:32:39.685000,{wheel},{95b7bc9a9b110f7dddbd95c068877f081c3998bf},1446.0,8290.0,1446.0,8290.0,0.0,0.0
wheel,2023-05-01 06:18:36.116000,{wheel},{95b7bc9a9b110f7dddbd95c068877f081c3998bf},2023-05-01 22:56:12.154000,{wheel},{82bb09b7beb8a06329582204fc1e5e24dec3aabf},1446.0,8290.0,1446.0,8290.0,0.0,0.0
wheel,2023-05-09 06:45:25.621000,{wheel},{82bb09b7beb8a06329582204fc1e5e24dec3aabf},2023-05-10 07:14:10.936000,{wheel},{79005b40a41c9994da68f1d23c41c3d0bdec61c1},1446.0,8290.0,1446.0,8290.0,0.0,0.0
wheel,2023-05-16 06:03:50.549000,{wheel},{79005b40a41c9994da68f1d23c41c3d0bdec61c1},2023-05-17 06:39:14.584000,{wheel},{21a2355099eeb78e9af1ecfed5f39119f71d005b},1446.0,8290.0,1446.0,8290.0,0.0,0.0
wheel,2023-05-22 06:11:50.116000,{wheel},{21a2355099eeb78e9af1ecfed5f39119f71d005b},2023-05-23 06:04:30.089000,{wheel},{7e6aeeee641a98e1dbbc37d2867ec87062486ec5},1446.0,8290.0,1446.0,8290.0,0.0,0.0
