project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
woff2,2019-03-13 13:34:24.282000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356046}",2019-03-14 13:33:35.355000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356140}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-14 13:33:35.355000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356140}",2019-03-15 13:33:01.302000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356258}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-15 13:33:01.302000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356258}",2019-03-16 13:32:16.342000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356322}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-16 13:32:16.342000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356322}",2019-03-17 13:33:24.300000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356330}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-17 13:33:24.300000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356330}",2019-03-18 13:34:10.699000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356366}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-18 13:34:10.699000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356366}",2019-03-19 13:31:53.140000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356451}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-19 13:31:53.140000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356451}",2019-03-20 13:31:53.941000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356553}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-20 13:31:53.941000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356553}",2019-03-21 13:32:13.368000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356663}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-21 13:32:13.368000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356663}",2019-03-22 13:33:07.322000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356747}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-22 13:33:07.322000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356747}",2019-03-23 13:32:39.668000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356831}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-23 13:32:39.668000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356831}",2019-03-24 13:31:56.863000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356853}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-24 13:31:56.863000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356853}",2019-03-25 13:35:54.956000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356894}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-03-25 13:35:54.956000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,356894}",2019-04-01 13:32:44.273000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357381}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-01 13:32:44.273000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357381}",2019-04-02 14:38:19.511000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357475}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-02 14:38:19.511000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357475}",2019-04-03 13:29:30.226000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357577}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-03 13:29:30.226000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357577}",2019-04-04 13:30:03.393000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357691}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-04 13:30:03.393000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357691}",2019-04-05 13:31:36.680000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357759}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-05 13:31:36.680000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357759}",2019-04-06 13:29:50.629000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357838}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-06 13:29:50.629000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357838}",2019-04-07 13:29:28.314000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357864}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-07 13:29:28.314000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357864}",2019-04-08 13:29:46.198000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357910}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-08 13:29:46.198000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,357910}",2019-04-09 13:32:15.026000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,358002}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-09 13:32:15.026000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,358002}",2019-04-10 13:32:48.535000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,358082}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-10 13:32:48.535000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,358082}",2019-04-11 13:32:19.360000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,358165}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-11 13:32:19.360000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,358165}",2019-04-12 13:29:17.104000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,358283}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
woff2,2019-04-12 13:29:17.104000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,358283}",2019-04-13 13:31:13.969000,"{woff2,libfuzzer}","{a0d0ed7da27b708c0a4e96ad7a998bddc933c06e,358331}",3878.0,4382.0,3878.0,4382.0,0.0,0.0
