project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
wolfmqtt,2021-02-04 06:44:54.767000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,d7ac40ba2e1fb3d37590dcbca2aca2b9f142a6d2,714aa97490f0574fff7f766f31931de13cb2b986,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2021-02-05 06:21:23.212000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,714aa97490f0574fff7f766f31931de13cb2b986,1f71b85426f837ebcae8381897d44a3a67c73a4f}",1821.0,40985.0,1847.0,40982.0,-3.0,0.0637677338052054
wolfmqtt,2021-02-06 07:26:53.782000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,714aa97490f0574fff7f766f31931de13cb2b986,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2021-02-07 06:42:26.609000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,714aa97490f0574fff7f766f31931de13cb2b986,a763c61d89f90330bcde7c294c57cfccda1431b8}",1843.0,40982.0,1858.0,40982.0,0.0,0.03660143477624267
wolfmqtt,2021-02-07 06:42:26.609000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,714aa97490f0574fff7f766f31931de13cb2b986,a763c61d89f90330bcde7c294c57cfccda1431b8}",2021-02-08 08:35:04.510000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,36d124ed2fc50d45945358234082224e4f50152d,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",1858.0,40982.0,1853.0,40982.0,0.0,-0.01220047825874726
wolfmqtt,2021-02-08 08:35:04.510000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,36d124ed2fc50d45945358234082224e4f50152d,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-09 09:28:35.147000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,58189237625676a2ab8015d94ac0ccd1d71e4eb9,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",1853.0,40982.0,1853.0,40994.0,12.0,-0.0013235587381643654
wolfmqtt,2021-02-09 09:28:35.147000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,58189237625676a2ab8015d94ac0ccd1d71e4eb9,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-10 06:04:18.887000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,b704c3b3f86cd5da14f983964a243e3189bf003f,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",1853.0,40994.0,1860.0,41010.0,16.0,0.015305467472732204
wolfmqtt,2021-02-10 06:04:18.887000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,b704c3b3f86cd5da14f983964a243e3189bf003f,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-11 07:24:38.787000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,acdc26710452c65be81ffc8f2981ef4155ce14ff,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",1860.0,41010.0,1853.0,41017.0,7.0,-0.017840123706267974
wolfmqtt,2021-02-11 07:24:38.787000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,e5e54fae19a2fbe79818580f2aa52c9d19108cf4,acdc26710452c65be81ffc8f2981ef4155ce14ff,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-12 06:08:24.632000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,5b99e4d12700cc0499d939daeb2f660e5fe836f1,ae073b7ce2fc7c19fcc567749d33f191868bfc34,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",1853.0,41017.0,1860.0,41015.0,-2.0,0.01728721877497108
wolfmqtt,2021-02-12 06:08:24.632000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,5b99e4d12700cc0499d939daeb2f660e5fe836f1,ae073b7ce2fc7c19fcc567749d33f191868bfc34,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-13 06:29:58.029000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,5b99e4d12700cc0499d939daeb2f660e5fe836f1,fc005f941ca107a5928d1c7951659763949a4b11,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",1860.0,41015.0,1860.0,41015.0,0.0,0.0
wolfmqtt,2021-02-14 08:35:30.305000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,5b99e4d12700cc0499d939daeb2f660e5fe836f1,fc005f941ca107a5928d1c7951659763949a4b11,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-15 06:04:34.271000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,5b99e4d12700cc0499d939daeb2f660e5fe836f1,c5190d12941d3e0572d4a9e46878fad8eac22ff8,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",1833.0,41015.0,1834.0,41013.0,-2.0,0.0026561869003458582
wolfmqtt,2021-02-15 06:04:34.271000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,5b99e4d12700cc0499d939daeb2f660e5fe836f1,c5190d12941d3e0572d4a9e46878fad8eac22ff8,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-16 09:02:31.483000,"{fuzzing-headers,wolfmqtt-fuzzers,wolfmqtt,wolfssl,aflplusplus}","{0a596947f9003e765643235c25625473726b9bcd,e77562b87079e1852ba56cdc232d20e672a89844,0026149ca2bb013b2ce3eca18682fce5d836806c,830de9a9fb99e30f9ac9caa0a7f7bba29c3b4863,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",1834.0,41013.0,1839.0,41017.0,4.0,0.011753979778253765
