project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
wpantund,2019-03-13 14:19:30.403000,"{wpantund,libfuzzer}","{73a4f9d49517df819e569bcae0b1fd24dba548eb,356050}",2019-03-14 14:17:48.573000,"{wpantund,libfuzzer}","{73a4f9d49517df819e569bcae0b1fd24dba548eb,356146}",9572.0,19897.0,9572.0,19897.0,0.0,0.0
wpantund,2019-03-14 14:17:48.573000,"{wpantund,libfuzzer}","{73a4f9d49517df819e569bcae0b1fd24dba548eb,356146}",2019-03-15 14:15:31.697000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356261}",9572.0,19897.0,9584.0,19919.0,22.0,0.007110266146170829
wpantund,2019-03-15 14:15:31.697000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356261}",2019-03-16 14:13:09.773000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356323}",9584.0,19919.0,9584.0,19919.0,0.0,0.0
wpantund,2019-03-16 14:13:09.773000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356323}",2019-03-17 14:15:36.649000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356331}",9584.0,19919.0,9584.0,19919.0,0.0,0.0
wpantund,2019-03-17 14:15:36.649000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356331}",2019-03-18 14:18:44.415000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356368}",9584.0,19919.0,9594.0,19919.0,0.0,0.05020332346001055
wpantund,2019-03-18 14:18:44.415000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356368}",2019-03-19 14:15:39.262000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356454}",9594.0,19919.0,9594.0,19919.0,0.0,0.0
wpantund,2019-03-19 14:15:39.262000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356454}",2019-03-20 14:12:38.884000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356553}",9594.0,19919.0,9594.0,19919.0,0.0,0.0
wpantund,2019-03-20 14:12:38.884000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356553}",2019-03-21 14:17:01.935000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356665}",9594.0,19919.0,9582.0,19919.0,0.0,-0.06024398815202403
wpantund,2019-03-21 14:17:01.935000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356665}",2019-03-22 14:17:35.433000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356750}",9582.0,19919.0,9594.0,19919.0,0.0,0.06024398815202403
wpantund,2019-03-22 14:17:35.433000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356750}",2019-03-23 14:14:51.763000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356832}",9594.0,19919.0,9594.0,19919.0,0.0,0.0
wpantund,2019-03-23 14:14:51.763000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356832}",2019-03-24 14:13:56.442000,"{wpantund,libfuzzer}","{b8d70c2e5133b8fa20a9ea45ab3c24b5d4a42923,356855}",9594.0,19919.0,9594.0,19919.0,0.0,0.0
