project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
wxwidgets,2019-03-13 14:20:31.751000,"{wxwidgets,libfuzzer}","{993334c48a5ff9dff0c8112cc38bb9da3974d05a,356050}",2019-03-14 14:17:34.770000,"{wxwidgets,libfuzzer}","{fbd645b2dd9381f155f0b2e3692c1573cb98fbab,356146}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-14 14:17:34.770000,"{wxwidgets,libfuzzer}","{fbd645b2dd9381f155f0b2e3692c1573cb98fbab,356146}",2019-03-15 14:15:22.143000,"{wxwidgets,libfuzzer}","{fbd645b2dd9381f155f0b2e3692c1573cb98fbab,356263}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-15 14:15:22.143000,"{wxwidgets,libfuzzer}","{fbd645b2dd9381f155f0b2e3692c1573cb98fbab,356263}",2019-03-16 14:13:32.935000,"{wxwidgets,libfuzzer}","{fbd645b2dd9381f155f0b2e3692c1573cb98fbab,356323}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-16 14:13:32.935000,"{wxwidgets,libfuzzer}","{fbd645b2dd9381f155f0b2e3692c1573cb98fbab,356323}",2019-03-17 14:12:13.581000,"{wxwidgets,libfuzzer}","{cfded96627cd5906c55b8d47112b8e00bd0c8c44,356331}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-17 14:12:13.581000,"{wxwidgets,libfuzzer}","{cfded96627cd5906c55b8d47112b8e00bd0c8c44,356331}",2019-03-18 14:19:12.276000,"{wxwidgets,libfuzzer}","{cfded96627cd5906c55b8d47112b8e00bd0c8c44,356370}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-18 14:19:12.276000,"{wxwidgets,libfuzzer}","{cfded96627cd5906c55b8d47112b8e00bd0c8c44,356370}",2019-03-19 14:15:17.982000,"{wxwidgets,libfuzzer}","{1cdc0acfbef6d65e184fe5e8aee88ace717b86a7,356456}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-19 14:15:17.982000,"{wxwidgets,libfuzzer}","{1cdc0acfbef6d65e184fe5e8aee88ace717b86a7,356456}",2019-03-20 14:12:41.980000,"{wxwidgets,libfuzzer}","{1cdc0acfbef6d65e184fe5e8aee88ace717b86a7,356554}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-20 14:12:41.980000,"{wxwidgets,libfuzzer}","{1cdc0acfbef6d65e184fe5e8aee88ace717b86a7,356554}",2019-03-21 14:15:48.092000,"{wxwidgets,libfuzzer}","{8042648c73990f05db5c97438b89be28f2a2729c,356667}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-21 14:15:48.092000,"{wxwidgets,libfuzzer}","{8042648c73990f05db5c97438b89be28f2a2729c,356667}",2019-03-22 14:17:07.677000,"{wxwidgets,libfuzzer}","{ac18cfe7cc1c7c6f8e545ccdcb1a947392c3f320,356751}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-22 14:17:07.677000,"{wxwidgets,libfuzzer}","{ac18cfe7cc1c7c6f8e545ccdcb1a947392c3f320,356751}",2019-03-23 14:15:03.154000,"{wxwidgets,libfuzzer}","{ac18cfe7cc1c7c6f8e545ccdcb1a947392c3f320,356832}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-23 14:15:03.154000,"{wxwidgets,libfuzzer}","{ac18cfe7cc1c7c6f8e545ccdcb1a947392c3f320,356832}",2019-03-24 14:11:58.851000,"{wxwidgets,libfuzzer}","{ac18cfe7cc1c7c6f8e545ccdcb1a947392c3f320,356855}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-24 14:11:58.851000,"{wxwidgets,libfuzzer}","{ac18cfe7cc1c7c6f8e545ccdcb1a947392c3f320,356855}",2019-03-25 14:24:27.805000,"{wxwidgets,libfuzzer}","{a9a030575825f70909b36ff21fa50dbc6705d43a,356898}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-03-25 14:24:27.805000,"{wxwidgets,libfuzzer}","{a9a030575825f70909b36ff21fa50dbc6705d43a,356898}",2019-04-01 14:14:03.872000,"{wxwidgets,libfuzzer}","{b0ad9ccffdf3a7f289c7526537e94cf1625e6a7f,357389}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-04-01 14:14:03.872000,"{wxwidgets,libfuzzer}","{b0ad9ccffdf3a7f289c7526537e94cf1625e6a7f,357389}",2019-04-02 16:27:50.151000,"{wxwidgets,libfuzzer}","{9f95e86e760220e0df0c1e72fe87a82a4d5f9c45,357490}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-04-02 16:27:50.151000,"{wxwidgets,libfuzzer}","{9f95e86e760220e0df0c1e72fe87a82a4d5f9c45,357490}",2019-04-03 14:09:14.704000,"{wxwidgets,libfuzzer}","{9f95e86e760220e0df0c1e72fe87a82a4d5f9c45,357582}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-04-03 14:09:14.704000,"{wxwidgets,libfuzzer}","{9f95e86e760220e0df0c1e72fe87a82a4d5f9c45,357582}",2019-04-04 14:13:36.338000,"{wxwidgets,libfuzzer}","{9f95e86e760220e0df0c1e72fe87a82a4d5f9c45,357698}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-04-04 14:13:36.338000,"{wxwidgets,libfuzzer}","{9f95e86e760220e0df0c1e72fe87a82a4d5f9c45,357698}",2019-04-05 14:17:49.911000,"{wxwidgets,libfuzzer}","{0dfe0d0a9c65bb12ace967f43c6dcd2646a126f5,357764}",3259.0,45621.0,3259.0,45621.0,0.0,0.0
wxwidgets,2019-04-05 14:17:49.911000,"{wxwidgets,libfuzzer}","{0dfe0d0a9c65bb12ace967f43c6dcd2646a126f5,357764}",2019-04-06 14:12:25.121000,"{wxwidgets,libfuzzer}","{955a60a3e1236a0b3f5128c7d9bb770ff064b019,357839}",3259.0,45621.0,3259.0,45624.0,3.0,-0.00046972908931852686
wxwidgets,2019-04-06 14:12:25.121000,"{wxwidgets,libfuzzer}","{955a60a3e1236a0b3f5128c7d9bb770ff064b019,357839}",2019-04-07 14:09:15.378000,"{wxwidgets,libfuzzer}","{909adbb6bf832ada3db034cffc5548b8309a1602,357866}",3259.0,45624.0,3259.0,45624.0,0.0,0.0
wxwidgets,2019-04-07 14:09:15.378000,"{wxwidgets,libfuzzer}","{909adbb6bf832ada3db034cffc5548b8309a1602,357866}",2019-04-08 14:12:03.814000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,357914}",3259.0,45624.0,3259.0,45624.0,0.0,0.0
wxwidgets,2019-04-08 14:12:03.814000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,357914}",2019-04-09 14:24:37.406000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,358006}",3259.0,45624.0,3259.0,45624.0,0.0,0.0
wxwidgets,2019-04-09 14:24:37.406000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,358006}",2019-04-10 14:32:44.716000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,358088}",3259.0,45624.0,3259.0,45624.0,0.0,0.0
wxwidgets,2019-04-10 14:32:44.716000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,358088}",2019-04-11 14:17:25.715000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,358170}",3259.0,45624.0,3259.0,45624.0,0.0,0.0
wxwidgets,2019-04-11 14:17:25.715000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,358170}",2019-04-12 14:14:13.851000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,358284}",3259.0,45624.0,3259.0,45624.0,0.0,0.0
wxwidgets,2019-04-12 14:14:13.851000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,358284}",2019-04-13 14:19:47.524000,"{wxwidgets,libfuzzer}","{755906a43115c591d76916330eed46579b9cecf9,358332}",3259.0,45624.0,3259.0,45624.0,0.0,0.0
