project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
xerces-c,2019-12-23 14:07:18.618000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1871926}",2019-12-24 14:07:07.895000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1871941}",24917.0,132537.0,25196.0,132537.0,0.0,0.2105072545779656
xerces-c,2019-12-24 14:07:07.895000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1871941}",2019-12-25 14:07:25.945000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1871970}",25196.0,132537.0,25224.0,132537.0,0.0,0.021126176086678328
xerces-c,2019-12-25 14:07:25.945000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1871970}",2019-12-26 14:07:08.626000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872001}",25224.0,132537.0,25232.0,132537.0,0.0,0.006036050310477492
xerces-c,2019-12-26 14:07:08.626000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872001}",2019-12-27 14:07:57.740000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872029}",25232.0,132537.0,25236.0,132537.0,0.0,0.0030180251552422988
xerces-c,2019-12-27 14:07:57.740000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872029}",2019-12-28 14:07:57.015000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872060}",25236.0,132537.0,25487.0,132752.0,215.0,0.15823675009455584
xerces-c,2019-12-28 14:07:57.015000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872060}",2019-12-29 14:07:43.962000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872080}",25487.0,132752.0,25494.0,132752.0,0.0,0.005272990237433106
xerces-c,2019-12-29 14:07:43.962000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872080}",2019-12-30 14:08:09.691000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872111}",25494.0,132752.0,25494.0,132752.0,0.0,0.0
xerces-c,2019-12-30 14:08:09.691000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872111}",2019-12-31 14:08:12.470000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872140}",25494.0,132752.0,25502.0,132758.0,6.0,0.005158066687744878
xerces-c,2019-12-31 14:08:12.470000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872140}",2020-01-02 14:07:50.384000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872245}",25502.0,132758.0,25497.0,132758.0,0.0,-0.003766251374681673
xerces-c,2020-01-02 14:07:50.384000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872245}",2020-01-03 14:07:45.607000,"{external.protobuf,libprotobuf-mutator,afl,xerces-c}","{1363bf9c051af36c555c23d734a204246c215697,dd89da92b59b1714bab6e2a135093948a1cf1c6a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,1872287}",25497.0,132758.0,25499.0,132758.0,0.0,0.0015065005498726691
