project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
xpdf,2020-06-30 13:55:27.637000,{afl},{8da80951dd7eeeb3e3b5a3bcd36c485045f40274},2020-07-01 13:54:35.216000,{afl},{518e42281f77768215851d31fc61e8970ce21481},3304.0,52315.0,3302.0,52315.0,0.0,-0.003822995316831168
xpdf,2020-07-04 13:52:25.291000,{afl},{518e42281f77768215851d31fc61e8970ce21481},2020-07-05 13:51:35.778000,{afl},{82b5e359463238d790cadbe2dd494d6a4928bff3},3304.0,52315.0,3315.0,52315.0,0.0,0.02102647424256876
xpdf,2021-01-25 09:50:50.234000,{afl},{82b5e359463238d790cadbe2dd494d6a4928bff3},2021-01-26 10:54:58.124000,"{aflplusplus,afl}","{068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",7496.0,47421.0,7518.0,47421.0,0.0,0.04639294827186369
xpdf,2021-01-31 09:16:11.629000,"{aflplusplus,afl}","{068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-01 10:18:17.770000,{aflplusplus},{068bef5eab942df0a133c92522f2ab81b28ac636},6536.0,47075.0,6904.0,47075.0,0.0,0.7817312798725435
xpdf,2021-02-01 10:18:17.770000,{aflplusplus},{068bef5eab942df0a133c92522f2ab81b28ac636},2021-02-02 10:31:11.014000,"{aflplusplus,afl}","{654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",6904.0,47075.0,6904.0,47075.0,0.0,0.0
xpdf,2021-02-02 10:31:11.014000,"{aflplusplus,afl}","{654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-03 10:28:20.216000,{aflplusplus},{1f71b85426f837ebcae8381897d44a3a67c73a4f},6904.0,47075.0,8624.0,47075.0,0.0,3.653744025491239
xpdf,2021-02-06 09:20:11.094000,{aflplusplus},{1f71b85426f837ebcae8381897d44a3a67c73a4f},2021-02-07 10:13:38.645000,{aflplusplus},{a763c61d89f90330bcde7c294c57cfccda1431b8},8506.0,47075.0,9077.0,47075.0,0.0,1.212958045671801
xpdf,2021-02-07 10:13:38.645000,{aflplusplus},{a763c61d89f90330bcde7c294c57cfccda1431b8},2021-02-08 06:47:05.477000,{aflplusplus},{aeb7d7048371cd91ab9280c3958f1c35e5d5e758},9077.0,47075.0,5579.0,47075.0,0.0,-7.430695698353691
xpdf,2021-02-18 06:50:34.016000,{aflplusplus},{aeb7d7048371cd91ab9280c3958f1c35e5d5e758},2021-02-19 08:38:10.358000,{aflplusplus},{5dd35f5281afec0955c08fe9f99e3c83222b7764},9343.0,47075.0,9386.0,47075.0,0.0,0.09134360063728053
xpdf,2021-02-22 09:22:47.241000,{aflplusplus},{5dd35f5281afec0955c08fe9f99e3c83222b7764},2021-02-23 11:11:05.901000,{aflplusplus},{a252943236b12c080248747bee06c9c5084b871e},6973.0,47075.0,7112.0,47075.0,0.0,0.29527349973446526
xpdf,2021-02-26 06:20:20.683000,{aflplusplus},{a252943236b12c080248747bee06c9c5084b871e},2021-02-27 06:19:29.583000,{aflplusplus},{78d96c4dc86ac20e2a6e244017407ccc037ff13b},9091.0,47075.0,7353.0,47075.0,0.0,-3.6919808815719612
xpdf,2021-03-01 10:20:18.573000,{aflplusplus},{78d96c4dc86ac20e2a6e244017407ccc037ff13b},2021-03-02 10:59:33.489000,{aflplusplus},{c3a8052a16f7d2d1947ea538719905a9d7a24d22},5496.0,47075.0,11414.0,47075.0,0.0,12.571428571428573
