project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
xs,2022-05-20 06:13:33.201000,"{moddable,aflplusplus}","{58f48111f53cfc0521aafc10951c3ebeba218770,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-21 06:11:36.710000,"{moddable,aflplusplus}","{512b97a66c17991ebdc6eb0d75cd0efd5e8a5651,c208dcf9c573e3d85990c7dea777646f7fa4961c}",9557.0,57197.0,9557.0,57197.0,0.0,0.0
xs,2022-05-25 06:20:16.473000,"{moddable,aflplusplus}","{512b97a66c17991ebdc6eb0d75cd0efd5e8a5651,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-26 06:12:20.784000,"{moddable,aflplusplus}","{b18d0b012134ef16679b95adb0aa505e4dfb76f7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",9597.0,57197.0,9649.0,57208.0,11.0,0.08767012703792432
xs,2022-05-26 06:12:20.784000,"{moddable,aflplusplus}","{b18d0b012134ef16679b95adb0aa505e4dfb76f7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-27 06:14:56.910000,"{moddable,aflplusplus}","{fe78d8ac6e09f3e893359a93e237e260e2480e38,c208dcf9c573e3d85990c7dea777646f7fa4961c}",9649.0,57208.0,9681.0,57208.0,0.0,0.055936232694726584
xs,2022-05-31 06:13:52.963000,"{moddable,aflplusplus}","{fe78d8ac6e09f3e893359a93e237e260e2480e38,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-01 06:19:25.833000,"{moddable,aflplusplus}","{bf632764bb45dc4d99e331018ab67774f91cb630,c208dcf9c573e3d85990c7dea777646f7fa4961c}",9697.0,57208.0,9711.0,57215.0,7.0,0.0223952986874707
xs,2022-06-01 06:19:25.833000,"{moddable,aflplusplus}","{bf632764bb45dc4d99e331018ab67774f91cb630,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-02 06:18:19.067000,"{moddable,aflplusplus}","{f9dabc1a74a0b83dccb92bc49b147c41c4b6b112,c208dcf9c573e3d85990c7dea777646f7fa4961c}",9711.0,57215.0,9738.0,57215.0,0.0,0.04719042209210755
xs,2022-06-06 06:28:02.294000,"{moddable,aflplusplus}","{f9dabc1a74a0b83dccb92bc49b147c41c4b6b112,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-07 06:17:14.095000,"{moddable,aflplusplus}","{2e30065710fed92484efa854e9646abcc54b927a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",9752.0,57215.0,7486.0,57254.0,39.0,-3.969412351492471
xs,2022-06-15 06:23:06.612000,"{moddable,aflplusplus}","{2e30065710fed92484efa854e9646abcc54b927a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-16 06:10:45.585000,"{moddable,aflplusplus}","{e11fa10d5c9804a6ddbad4941ed8645d8a9a29c8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",7581.0,57254.0,7597.0,57255.0,1.0,0.027713894048339682
xs,2022-06-24 06:23:57.604000,"{moddable,aflplusplus}","{e11fa10d5c9804a6ddbad4941ed8645d8a9a29c8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-29 06:27:39.730000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{886694700ec392b3c6f92cfa92cf47d8ff0b178f,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8564.0,57255.0,7641.0,57266.0,11.0,-1.614649776513554
xs,2022-07-05 06:12:45.908000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{886694700ec392b3c6f92cfa92cf47d8ff0b178f,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-06 06:25:28.676000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{acb12341204a754378608e9cc0d0a937903eacfe,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8472.0,57266.0,8566.0,57266.0,0.0,0.16414626479935812
xs,2022-07-12 06:16:36.080000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{acb12341204a754378608e9cc0d0a937903eacfe,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-13 06:24:48.815000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{86c6dff2cad47b2b72ad52e86de9eb8acfbcb8c0,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8865.0,57266.0,8866.0,57262.0,-4.0,0.0028277314631033335
xs,2022-07-20 06:15:08.610000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{86c6dff2cad47b2b72ad52e86de9eb8acfbcb8c0,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-21 06:17:14.066000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{2409e3a5efd41fbe0d756f3df0266db50c33b0bf,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",9163.0,57262.0,9173.0,57265.0,3.0,0.016624366398279022
xs,2022-07-31 06:20:21.365000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{2409e3a5efd41fbe0d756f3df0266db50c33b0bf,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-01 06:38:10.911000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{987b0b4b14c9b2f163dbdd8b3280345a3284d384,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",9163.0,57265.0,7723.0,57282.0,17.0,-2.518627453858576
xs,2022-08-03 06:21:12.267000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{987b0b4b14c9b2f163dbdd8b3280345a3284d384,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-04 06:15:41.566000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{32dcc802f2c958932946a2630faa544df2c165bb,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",7777.0,57282.0,8130.0,57272.0,-10.0,0.6187275965145282
xs,2022-08-05 18:16:31.304000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{32dcc802f2c958932946a2630faa544df2c165bb,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-06 06:37:17.014000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{7aa43947ab631e5f1426cf95c750645fd629a0e7,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8446.0,57272.0,7726.0,57273.0,1.0,-1.2573943598448238
xs,2022-08-08 19:04:28.891000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{7aa43947ab631e5f1426cf95c750645fd629a0e7,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-08 23:44:06.873000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{b620dca3612efe5ae46c1e5cf9ef5ac26b363be7,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",7733.0,57273.0,7733.0,57273.0,0.0,0.0
xs,2022-08-15 06:12:26.996000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{b620dca3612efe5ae46c1e5cf9ef5ac26b363be7,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-16 06:16:12.269000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{9ebf42f65103c35ce5beb4dc834403bacab602bd,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",7734.0,57292.0,7728.0,57292.0,0.0,-0.010472666340849202
xs,2022-08-19 06:27:58.900000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{9ebf42f65103c35ce5beb4dc834403bacab602bd,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-20 06:17:25.049000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{ae5ed20a963b22646f2d512101dff526006ae49d,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",7728.0,57292.0,7735.0,57509.0,217.0,-0.038725562113794965
xs,2022-08-26 06:17:51.057000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{ae5ed20a963b22646f2d512101dff526006ae49d,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-27 06:23:19.152000,"{moddable,test262-parser-tests,fuzzing,go-fuzz-corpus,aflplusplus}","{106eae9815e97b20a01209fc9076edda45b642ec,0e808c74fbec780646434cad17bb22dc52461003,748de3eed506a515840fcea85fb1c0c22c170c2a,c42c1b2914c7503500996ee15927d3ab3d2ba968,c208dcf9c573e3d85990c7dea777646f7fa4961c}",7735.0,57509.0,7735.0,57509.0,0.0,0.0
