project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
xstream,2022-07-03 06:36:50.452000,"{xstream,aflplusplus}","{eb21c8d3b0c98e7312b65cb53cecbb4c54f6c9ee,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-04 06:05:56.697000,"{xstream,aflplusplus}","{cf61d543f17d284a7c878c27704857e2ebc08079,c208dcf9c573e3d85990c7dea777646f7fa4961c}",9151.0,20770.0,9430.0,20784.0,14.0,1.3127010036608198
xstream,2022-08-10 06:14:33.003000,"{xstream,aflplusplus}","{cf61d543f17d284a7c878c27704857e2ebc08079,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-21 06:11:39.128000,"{xstream,centipede,aflplusplus}","{cf61d543f17d284a7c878c27704857e2ebc08079,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",9360.0,20769.0,9516.0,20784.0,15.0,0.7180519865668558
xstream,2022-09-21 06:11:39.128000,"{xstream,centipede,aflplusplus}","{cf61d543f17d284a7c878c27704857e2ebc08079,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:05:11.797000,"{xstream,centipede,aflplusplus}","{cf61d543f17d284a7c878c27704857e2ebc08079,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",9516.0,20784.0,9516.0,20784.0,0.0,0.0
xstream,2022-10-26 20:20:34.828000,"{xstream,centipede,aflplusplus}","{cf61d543f17d284a7c878c27704857e2ebc08079,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:07:16.229000,"{xstream,centipede}","{cf61d543f17d284a7c878c27704857e2ebc08079,baa82e7189677bb9086beb5d9b5e58018d991607}",9432.0,20784.0,9432.0,20784.0,0.0,0.0
xstream,2022-11-16 06:32:36.906000,"{xstream,centipede}","{cf61d543f17d284a7c878c27704857e2ebc08079,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:28:17.167000,{xstream},{cf61d543f17d284a7c878c27704857e2ebc08079},9463.0,20784.0,9432.0,20784.0,0.0,-0.14915319476521205
xstream,2022-12-29 06:04:29.048000,{xstream},{cf61d543f17d284a7c878c27704857e2ebc08079},2022-12-30 06:20:48.565000,{xstream},{ec6b1feabf144bd87c4f3e67b534165eb0ebd23f},9355.0,20729.0,9586.0,21259.0,530.0,-0.03852043278848072
xstream,2022-12-30 06:20:48.565000,{xstream},{ec6b1feabf144bd87c4f3e67b534165eb0ebd23f},2023-01-03 06:23:44.009000,{xstream},{49ed8eb97c8551db0c8c5fa466f02d068862c272},9586.0,21259.0,9647.0,21316.0,57.0,0.1655932178749211
xstream,2023-04-22 06:12:16.252000,{xstream},{49ed8eb97c8551db0c8c5fa466f02d068862c272},2023-04-23 06:27:35.674000,{xstream},{289ae780001c31d7d5d75e0d58608c13f44549a2},9584.0,21259.0,9600.0,21259.0,0.0,0.07526224187403585
xstream,2023-09-22 07:10:26.356000,{xstream},{289ae780001c31d7d5d75e0d58608c13f44549a2},2023-09-23 07:09:12.078000,{xstream},{2692d75eff8493757448adc8720aa0c47b6d4d37},9683.0,109022.0,9684.0,109025.0,3.0,0.0006728265919804244
xstream,2023-09-23 07:09:12.078000,{xstream},{2692d75eff8493757448adc8720aa0c47b6d4d37},2023-09-24 06:59:53.054000,{xstream},{59b50d8b0322b991ffd753ba294bc012b556b90c},9684.0,109025.0,9684.0,109025.0,0.0,0.0
