project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
xvid,2019-09-21 13:25:39.611000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372468}",2019-09-22 13:25:45.782000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372505}",3904.0,17200.0,5258.0,17200.0,0.0,7.872093023255811
xvid,2019-09-22 13:25:45.782000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372505}",2019-09-23 13:26:19.263000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372605}",5258.0,17200.0,5320.0,17200.0,0.0,0.3604651162790731
xvid,2019-09-23 13:26:19.263000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372605}",2019-09-24 13:25:44.827000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372751}",5320.0,17200.0,5300.0,17200.0,0.0,-0.11627906976744384
xvid,2019-09-24 13:25:44.827000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372751}",2019-09-25 13:30:36.654000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372868}",5300.0,17200.0,5253.0,17200.0,0.0,-0.2732558139534902
xvid,2019-09-25 13:30:36.654000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372868}",2019-09-26 13:25:11.944000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372974}",5253.0,17200.0,5263.0,17200.0,0.0,0.058139534883725474
xvid,2019-09-26 13:25:11.944000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,1f414d53535ea470bba3858bc1324081baf22c75,"""",372974}",2019-09-27 13:27:24.935000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,"""",373087}",5263.0,17200.0,5289.0,17200.0,0.0,0.15116279069767202
xvid,2019-09-27 13:27:24.935000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,"""",373087}",2019-09-29 00:40:16.715000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,"""",373153}",5289.0,17200.0,5262.0,17200.0,0.0,-0.1569767441860428
xvid,2019-09-29 00:40:16.715000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,"""",373153}",2019-09-29 13:24:46.973000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,"""",373164}",5262.0,17200.0,5262.0,17200.0,0.0,0.0
xvid,2019-09-29 13:24:46.973000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,"""",373164}",2019-09-30 13:26:50.952000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,"""",373206}",5262.0,17200.0,5355.0,17200.0,0.0,0.540697674418599
xvid,2019-09-30 13:26:50.952000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,"""",373206}",2019-10-01 13:27:27.642000,"{oss-fuzz-fuzzers,fuzzing-headers,afl,trunk,libfuzzer}","{66d0c7e6894a76866c8b8f6165d013682cf915fc,691f40546a8f2b093e28c9c506b01e7814d329f3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,"""",373337}",5355.0,17200.0,5354.0,17200.0,0.0,-0.005813953488370771
