project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
zeek,2020-05-17 13:55:40.600000,"{zeek,afl}","{9dec370048191f5ff78cffaefcb4d525929ce582,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-19 13:55:50.042000,"{zeek,afl}","{aafced6b196419b8b7fb6be8b94ddf51375d0590,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40463.0,453433.0,41452.0,453466.0,33.0,0.2174485361736469
zeek,2020-05-19 13:55:50.042000,"{zeek,afl}","{aafced6b196419b8b7fb6be8b94ddf51375d0590,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-20 13:56:00.574000,"{zeek,afl}","{fda8b98ac783fe14830a8e1477e5f5f043382009,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",41452.0,453466.0,41490.0,453659.0,193.0,0.004487419755699662
zeek,2020-05-20 13:56:00.574000,"{zeek,afl}","{fda8b98ac783fe14830a8e1477e5f5f043382009,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-21 13:57:18.140000,"{zeek,afl}","{7d98d816d83c276faaaddaf83b3991ec9f0b80d1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",41490.0,453659.0,47346.0,453670.0,11.0,1.2905843410540516
zeek,2020-05-21 13:57:18.140000,"{zeek,afl}","{7d98d816d83c276faaaddaf83b3991ec9f0b80d1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-22 13:56:11.523000,"{zeek,afl}","{94ef9f45421afd3a13cc7c1862f7b9dead18621d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",47346.0,453670.0,51641.0,453662.0,-8.0,0.9469241191928788
zeek,2020-05-26 13:56:15.173000,"{zeek,afl}","{94ef9f45421afd3a13cc7c1862f7b9dead18621d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-27 13:56:02.536000,"{zeek,afl}","{433e1154dafd5003c563430e85138b277a43aadc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",56499.0,453662.0,72547.0,453666.0,4.0,3.537294362058729
zeek,2020-05-28 13:57:15.190000,"{zeek,afl}","{433e1154dafd5003c563430e85138b277a43aadc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-29 13:56:51.372000,"{zeek,afl}","{1c08be1c0f89e9a8437ee230fbdbcd306485847b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",78235.0,453681.0,80792.0,453554.0,-127.0,0.5685983387620333
zeek,2020-05-29 13:56:51.372000,"{zeek,afl}","{1c08be1c0f89e9a8437ee230fbdbcd306485847b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-30 13:56:45.800000,"{zeek,afl}","{0fc59c357fc328309a975e773fff92e309d2a449,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",80792.0,453554.0,82636.0,453554.0,0.0,0.4065668035118222
zeek,2020-06-01 13:58:09.580000,"{zeek,afl}","{0fc59c357fc328309a975e773fff92e309d2a449,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-02 13:59:15.441000,"{zeek,afl}","{1a60fb7c0d0a9a7700f5125971f9e6054c725e42,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",85579.0,453554.0,87673.0,454751.0,1197.0,0.41080583076706034
zeek,2020-06-02 13:59:15.441000,"{zeek,afl}","{1a60fb7c0d0a9a7700f5125971f9e6054c725e42,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-03 14:00:54.848000,"{zeek,afl}","{a431f6b45d9fb22ae19ba207871f222b42f3d24d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",87673.0,454751.0,88280.0,454751.0,0.0,0.13347964050656813
zeek,2020-06-03 14:00:54.848000,"{zeek,afl}","{a431f6b45d9fb22ae19ba207871f222b42f3d24d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-04 14:01:53.279000,"{zeek,afl}","{b4aa5d9456ae866486e9629054b2402915ce52e4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",88280.0,454751.0,88710.0,454774.0,23.0,0.09357066390116842
zeek,2020-06-04 14:01:53.279000,"{zeek,afl}","{b4aa5d9456ae866486e9629054b2402915ce52e4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-05 14:01:30.842000,"{zeek,afl}","{ef6bd3ee39ab6d84d025a9e7bd564705c673dbef,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",88710.0,454774.0,89457.0,454774.0,0.0,0.16425741137356198
zeek,2020-06-08 13:57:38.775000,"{zeek,afl}","{ef6bd3ee39ab6d84d025a9e7bd564705c673dbef,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-09 14:01:38.541000,"{zeek,afl}","{c4ebd7640de7830322e7a5e95158ebef36507f16,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",89631.0,454774.0,90226.0,454783.0,9.0,0.13044159479743556
zeek,2020-06-09 14:01:38.541000,"{zeek,afl}","{c4ebd7640de7830322e7a5e95158ebef36507f16,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-10 13:56:57.428000,"{zeek,afl}","{e9243708760fbce56b02998843551fac7bf34ced,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",90226.0,454783.0,90581.0,454825.0,42.0,0.07621996859869995
zeek,2020-06-10 13:56:57.428000,"{zeek,afl}","{e9243708760fbce56b02998843551fac7bf34ced,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-11 13:58:49.648000,"{zeek,afl}","{0bc1d73c84a63807cf464c1e0eace8e742ae6cfd,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",90581.0,454825.0,90279.0,454823.0,-2.0,-0.06631188144872624
zeek,2020-06-11 13:58:49.648000,"{zeek,afl}","{0bc1d73c84a63807cf464c1e0eace8e742ae6cfd,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-12 13:57:49.141000,"{zeek,afl}","{6cec268e435e83c157ea48c33166ad63ff863be4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",90279.0,454823.0,90946.0,454888.0,65.0,0.1437931932635763
zeek,2020-06-12 13:57:49.141000,"{zeek,afl}","{6cec268e435e83c157ea48c33166ad63ff863be4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-13 14:01:56.902000,"{zeek,afl}","{1be4b7005f2c680899f69974d1224eb705e04778,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",90946.0,454888.0,91289.0,454941.0,53.0,0.07306522863083487
zeek,2020-06-15 14:02:01.861000,"{zeek,afl}","{1be4b7005f2c680899f69974d1224eb705e04778,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-16 13:58:24.087000,"{zeek,afl}","{8d9e85b84203f49a121b2bedbb46b5c335c2d356,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",91485.0,454941.0,91381.0,454941.0,0.0,-0.022860107134771823
zeek,2020-06-16 13:58:24.087000,"{zeek,afl}","{8d9e85b84203f49a121b2bedbb46b5c335c2d356,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-17 13:58:38.209000,"{zeek,afl}","{689a242836092fba7818ba24724b74a7a7902e48,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",91381.0,454941.0,91582.0,454941.0,0.0,0.044181553212393254
zeek,2020-06-18 13:59:25.306000,"{zeek,afl}","{689a242836092fba7818ba24724b74a7a7902e48,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-19 14:01:42.620000,"{zeek,afl}","{7ae5589469595b4460cb8a00e13c353d899c174d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",91758.0,454941.0,91874.0,455025.0,84.0,0.02176976312206591
zeek,2020-06-19 14:01:42.620000,"{zeek,afl}","{7ae5589469595b4460cb8a00e13c353d899c174d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-20 13:59:35.162000,"{zeek,afl}","{aa323a1841e33387143d995e3fa32d3f37c4bd61,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",91874.0,455025.0,91997.0,455023.0,-2.0,0.027120347668216027
zeek,2020-06-23 14:02:00.787000,"{zeek,afl}","{aa323a1841e33387143d995e3fa32d3f37c4bd61,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-24 14:02:49.038000,"{zeek,afl}","{23c3aa056f31562eaf7f5c37585d27f52038549d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",92266.0,455023.0,92429.0,455023.0,0.0,0.03582236502331071
zeek,2020-06-25 14:19:14.271000,"{zeek,afl}","{23c3aa056f31562eaf7f5c37585d27f52038549d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-26 14:04:05.049000,"{zeek,afl}","{00a486588514df141845cd4da9703bdd664a3e46,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",92484.0,455023.0,93050.0,455038.0,15.0,0.12371521302323885
zeek,2020-06-26 14:04:05.049000,"{zeek,afl}","{00a486588514df141845cd4da9703bdd664a3e46,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-27 14:05:45.631000,"{zeek,afl}","{eb1a408b6aa3bb0f53d07be097ba6ad77fe4a846,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",93050.0,455038.0,93294.0,455053.0,15.0,0.0529460686457881
zeek,2020-06-29 14:04:13.558000,"{zeek,afl}","{eb1a408b6aa3bb0f53d07be097ba6ad77fe4a846,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-30 14:01:55.546000,"{zeek,afl}","{a5a51de3c469c44a6d88a337c3486ecedd6a42a3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",93339.0,455053.0,93067.0,455053.0,0.0,-0.05977325718102833
zeek,2020-06-30 14:01:55.546000,"{zeek,afl}","{a5a51de3c469c44a6d88a337c3486ecedd6a42a3,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-07-01 14:00:48.982000,"{zeek,afl}","{4668378d917ec8c3f4dd9c4bc66b1dcd243c6560,518e42281f77768215851d31fc61e8970ce21481}",93067.0,455053.0,93268.0,454998.0,-55.0,0.046648237326877506
zeek,2020-07-01 14:00:48.982000,"{zeek,afl}","{4668378d917ec8c3f4dd9c4bc66b1dcd243c6560,518e42281f77768215851d31fc61e8970ce21481}",2020-07-02 14:00:23.194000,"{zeek,afl}","{734af6b6d1179ddbdef89e32a243dacb61da4a68,518e42281f77768215851d31fc61e8970ce21481}",93268.0,454998.0,93593.0,455003.0,5.0,0.07120284315002579
zeek,2020-07-02 14:00:23.194000,"{zeek,afl}","{734af6b6d1179ddbdef89e32a243dacb61da4a68,518e42281f77768215851d31fc61e8970ce21481}",2020-07-03 14:00:24.705000,"{zeek,afl}","{76e67ff239f2981121d15253bdf19fdf0f54df67,518e42281f77768215851d31fc61e8970ce21481}",93593.0,455003.0,93702.0,455011.0,8.0,0.02359380754337792
zeek,2020-07-03 14:00:24.705000,"{zeek,afl}","{76e67ff239f2981121d15253bdf19fdf0f54df67,518e42281f77768215851d31fc61e8970ce21481}",2020-07-04 14:00:47.383000,"{zeek,afl}","{8d4df512d0f4a97fd9065d865fad6c79e235fee9,518e42281f77768215851d31fc61e8970ce21481}",93702.0,455011.0,93932.0,455011.0,0.0,0.0505482285043648
zeek,2020-07-04 14:00:47.383000,"{zeek,afl}","{8d4df512d0f4a97fd9065d865fad6c79e235fee9,518e42281f77768215851d31fc61e8970ce21481}",2020-07-05 13:58:42.055000,"{zeek,afl}","{8d4df512d0f4a97fd9065d865fad6c79e235fee9,82b5e359463238d790cadbe2dd494d6a4928bff3}",93932.0,455011.0,94032.0,455011.0,0.0,0.021977490654069953
zeek,2020-07-06 13:57:57.134000,"{zeek,afl}","{8d4df512d0f4a97fd9065d865fad6c79e235fee9,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-07 13:59:57.971000,"{zeek,afl}","{7b15b82009e77b91b672031cd20b6330f05c549a,82b5e359463238d790cadbe2dd494d6a4928bff3}",94046.0,455011.0,94105.0,455108.0,97.0,0.008558653696550067
zeek,2020-07-07 13:59:57.971000,"{zeek,afl}","{7b15b82009e77b91b672031cd20b6330f05c549a,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-08 14:00:59.996000,"{zeek,afl}","{7f347a3b1e7eba894534e38fc6d7df93a5320213,82b5e359463238d790cadbe2dd494d6a4928bff3}",94105.0,455108.0,94153.0,455108.0,0.0,0.010546947098269754
zeek,2020-07-08 14:00:59.996000,"{zeek,afl}","{7f347a3b1e7eba894534e38fc6d7df93a5320213,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-09 14:03:48.265000,"{zeek,afl}","{48362cc0c06780dcf5dd50c569fd01da22cfa4c7,82b5e359463238d790cadbe2dd494d6a4928bff3}",94153.0,455108.0,94261.0,455090.0,-18.0,0.024549836331942743
zeek,2020-07-09 14:03:48.265000,"{zeek,afl}","{48362cc0c06780dcf5dd50c569fd01da22cfa4c7,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-10 14:01:38.225000,"{zeek,afl}","{39f549ed68f313afc07ffdb9bab3b3ef99f4ef42,82b5e359463238d790cadbe2dd494d6a4928bff3}",94261.0,455090.0,94514.0,455612.0,522.0,0.031799029684520974
zeek,2020-07-10 14:01:38.225000,"{zeek,afl}","{39f549ed68f313afc07ffdb9bab3b3ef99f4ef42,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-11 14:04:10.181000,"{zeek,afl}","{11df252f5fc96e27e2d85eb72787a9a80970823a,82b5e359463238d790cadbe2dd494d6a4928bff3}",94514.0,455612.0,94600.0,455638.0,26.0,0.01769089817242886
zeek,2020-07-12 14:00:27.834000,"{zeek,afl}","{11df252f5fc96e27e2d85eb72787a9a80970823a,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-13 18:54:31.423000,"{zeek,afl}","{034be246ba8184509a7a87c5d8b065b8c7f5b379,82b5e359463238d790cadbe2dd494d6a4928bff3}",94662.0,455638.0,94713.0,455638.0,0.0,0.011193096273796499
zeek,2020-07-13 18:54:31.423000,"{zeek,afl}","{034be246ba8184509a7a87c5d8b065b8c7f5b379,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-14 14:04:22.727000,"{zeek,afl}","{da2c968ba023a8081b493b473f82d983cac143ae,82b5e359463238d790cadbe2dd494d6a4928bff3}",94713.0,455638.0,94840.0,455832.0,194.0,0.019014334352640105
zeek,2020-07-14 14:04:22.727000,"{zeek,afl}","{da2c968ba023a8081b493b473f82d983cac143ae,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-15 14:11:50.652000,"{zeek,afl}","{fd8db24daf138b287a1f9787212f638a4b1b570b,82b5e359463238d790cadbe2dd494d6a4928bff3}",94840.0,455832.0,94931.0,455834.0,2.0,0.01987212050461551
zeek,2020-07-16 14:03:14.996000,"{zeek,afl}","{fd8db24daf138b287a1f9787212f638a4b1b570b,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-17 14:02:30.100000,"{zeek,afl}","{651831ad31974ea315d8d8a092f30214dacf9934,82b5e359463238d790cadbe2dd494d6a4928bff3}",94949.0,455834.0,94983.0,455806.0,-28.0,0.00873887683034269
