project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
zip-rs,2022-01-30 06:51:11.422000,"{zip,fuzz-introspector,aflplusplus}","{923c583227f44cfcda07638af2f18bbc39a0fb59,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",2022-01-31 07:50:28.134000,"{zip,aflplusplus}","{1cd39fb43c7aaf0e223541c5a3202be34b12fffb,550ba4d77294e61597a5259d00769c61281e0042}",529.0,47710.0,514.0,53269.0,5559.0,-0.14386829852348204
zip-rs,2022-01-31 07:50:28.134000,"{zip,aflplusplus}","{1cd39fb43c7aaf0e223541c5a3202be34b12fffb,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-01 10:45:53.119000,"{zip,aflplusplus}","{478501289a84958909ef3cfa880b81714f406f0c,550ba4d77294e61597a5259d00769c61281e0042}",514.0,53269.0,564.0,52462.0,-807.0,0.11014992831824832
zip-rs,2022-02-05 06:26:49.164000,"{zip,aflplusplus}","{478501289a84958909ef3cfa880b81714f406f0c,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-06 06:24:15.957000,"{zip,aflplusplus}","{0f5fa36025cb4152849cbd42fbbb0202b75e4ee0,550ba4d77294e61597a5259d00769c61281e0042}",571.0,53269.0,572.0,53269.0,0.0,0.0018772644502431657
zip-rs,2022-02-07 09:48:34.577000,"{zip,aflplusplus}","{0f5fa36025cb4152849cbd42fbbb0202b75e4ee0,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-08 13:00:16.621000,"{zip,aflplusplus}","{a9e143665526a40cd8e1c194085644f7ec58f953,550ba4d77294e61597a5259d00769c61281e0042}",571.0,53269.0,575.0,53291.0,22.0,0.007063440430392642
zip-rs,2022-02-27 07:35:20.882000,"{zip,aflplusplus}","{a9e143665526a40cd8e1c194085644f7ec58f953,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-28 10:23:23.795000,"{zip,aflplusplus}","{2009d162fbaf162190e6495e211cebfe6cd98a96,550ba4d77294e61597a5259d00769c61281e0042}",576.0,52498.0,576.0,53305.0,807.0,-0.016610599686809557
zip-rs,2022-03-08 06:53:40.337000,"{zip,aflplusplus}","{2009d162fbaf162190e6495e211cebfe6cd98a96,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-09 09:01:59.505000,"{zip,aflplusplus}","{25a5b4e4ba6ebfb0adcbfbcd24a7947e909fcd9f,550ba4d77294e61597a5259d00769c61281e0042}",576.0,52498.0,576.0,52497.0,-1.0,2.0899949609631818e-05
zip-rs,2022-03-20 10:52:30.246000,"{zip,aflplusplus}","{25a5b4e4ba6ebfb0adcbfbcd24a7947e909fcd9f,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-21 06:03:17.680000,"{zip,aflplusplus}","{2be9ae871fff12f09586eb2462a56550a38800a8,550ba4d77294e61597a5259d00769c61281e0042}",576.0,53304.0,576.0,52497.0,-807.0,0.016611227723336563
zip-rs,2022-03-25 08:10:07.038000,"{zip,aflplusplus}","{2be9ae871fff12f09586eb2462a56550a38800a8,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-26 10:25:04.879000,"{zip,aflplusplus}","{a1da6860ea423e999b731fca866ed54505e0096e,550ba4d77294e61597a5259d00769c61281e0042}",576.0,53605.0,607.0,53780.0,175.0,0.054145738931828724
zip-rs,2022-03-26 10:25:04.879000,"{zip,aflplusplus}","{a1da6860ea423e999b731fca866ed54505e0096e,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-27 11:18:40.397000,"{zip,aflplusplus}","{77294fd3ce4d9657a31ea07894ca6fb3e83c2174,550ba4d77294e61597a5259d00769c61281e0042}",607.0,53780.0,577.0,53626.0,-154.0,-0.05270175763972307
zip-rs,2022-03-28 08:00:45.616000,"{zip,aflplusplus}","{77294fd3ce4d9657a31ea07894ca6fb3e83c2174,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-29 09:08:14.730000,"{zip,aflplusplus}","{d00ad632a1f21fdc747e30e25c3eebc047dfd958,550ba4d77294e61597a5259d00769c61281e0042}",577.0,53626.0,577.0,52819.0,-807.0,0.016439316974865337
zip-rs,2022-03-31 12:22:36.976000,"{zip,aflplusplus}","{d00ad632a1f21fdc747e30e25c3eebc047dfd958,550ba4d77294e61597a5259d00769c61281e0042}",2022-04-01 11:16:33.061000,"{zip,aflplusplus}","{172f60fb9ae98450631e4a99a08bbadb7e3aa9da,550ba4d77294e61597a5259d00769c61281e0042}",577.0,52819.0,577.0,52819.0,0.0,0.0
