project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
zlib-ng,2019-03-13 13:37:41.935000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356046}",2019-03-14 13:36:15.580000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356140}",5052.0,6468.0,5052.0,6468.0,0.0,0.0
zlib-ng,2019-03-14 13:36:15.580000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356140}",2019-03-15 13:36:26.065000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356258}",5052.0,6468.0,5052.0,6468.0,0.0,0.0
zlib-ng,2019-03-15 13:36:26.065000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356258}",2019-03-16 13:35:55.133000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356322}",5052.0,6468.0,5052.0,6468.0,0.0,0.0
zlib-ng,2019-03-16 13:35:55.133000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356322}",2019-03-17 13:36:24.070000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356330}",5052.0,6468.0,5052.0,6468.0,0.0,0.0
zlib-ng,2019-03-17 13:36:24.070000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356330}",2019-03-18 13:37:06.125000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356367}",5052.0,6468.0,5052.0,6468.0,0.0,0.0
zlib-ng,2019-03-18 13:37:06.125000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356367}",2019-03-19 13:36:10.936000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356452}",5052.0,6468.0,5052.0,6468.0,0.0,0.0
zlib-ng,2019-03-19 13:36:10.936000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356452}",2019-03-20 13:35:26.640000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356553}",5052.0,6468.0,5052.0,6468.0,0.0,0.0
zlib-ng,2019-03-20 13:35:26.640000,"{zlib-ng,libfuzzer}","{9ca9da69d34941a2996b8a8856c9993248afbb58,356553}",2019-03-21 13:35:46.757000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356663}",5052.0,6468.0,4874.0,6284.0,-184.0,-0.5455442983859768
zlib-ng,2019-03-21 13:35:46.757000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356663}",2019-03-22 13:36:40.864000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356747}",4874.0,6284.0,4874.0,6284.0,0.0,0.0
zlib-ng,2019-03-22 13:36:40.864000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356747}",2019-03-23 13:35:53.369000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356831}",4874.0,6284.0,4878.0,6284.0,0.0,0.06365372374284561
zlib-ng,2019-03-23 13:35:53.369000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356831}",2019-03-24 13:35:52.266000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356853}",4878.0,6284.0,4878.0,6284.0,0.0,0.0
zlib-ng,2019-03-24 13:35:52.266000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356853}",2019-03-25 13:40:19.799000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356894}",4878.0,6284.0,4878.0,6284.0,0.0,0.0
zlib-ng,2019-03-25 13:40:19.799000,"{zlib-ng,libfuzzer}","{4a6a599e9312fbb15de83e8445d4bf097f506fd0,356894}",2019-04-01 13:35:51.497000,"{zlib-ng,libfuzzer}","{3714bcf395ae1146645f0f2590b914e715569bf3,357381}",4878.0,6284.0,4874.0,6284.0,0.0,-0.06365372374284561
zlib-ng,2019-04-01 13:35:51.497000,"{zlib-ng,libfuzzer}","{3714bcf395ae1146645f0f2590b914e715569bf3,357381}",2019-04-02 14:47:14.867000,"{zlib-ng,libfuzzer}","{3714bcf395ae1146645f0f2590b914e715569bf3,357478}",4874.0,6284.0,4874.0,6284.0,0.0,0.0
zlib-ng,2019-04-02 14:47:14.867000,"{zlib-ng,libfuzzer}","{3714bcf395ae1146645f0f2590b914e715569bf3,357478}",2019-04-03 13:33:25.910000,"{zlib-ng,libfuzzer}","{3714bcf395ae1146645f0f2590b914e715569bf3,357578}",4874.0,6284.0,4874.0,6284.0,0.0,0.0
zlib-ng,2019-04-03 13:33:25.910000,"{zlib-ng,libfuzzer}","{3714bcf395ae1146645f0f2590b914e715569bf3,357578}",2019-04-04 13:33:31.348000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357691}",4874.0,6284.0,4878.0,6288.0,4.0,0.014273497213324049
zlib-ng,2019-04-04 13:33:31.348000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357691}",2019-04-05 13:34:49.351000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357760}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-05 13:34:49.351000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357760}",2019-04-06 13:33:18.821000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357838}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-06 13:33:18.821000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357838}",2019-04-07 13:33:02.283000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357864}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-07 13:33:02.283000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357864}",2019-04-08 13:34:08.064000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357910}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-08 13:34:08.064000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,357910}",2019-04-09 13:35:18.912000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358002}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-09 13:35:18.912000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358002}",2019-04-10 13:36:13.925000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358083}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-10 13:36:13.925000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358083}",2019-04-11 13:34:44.867000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358165}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-11 13:34:44.867000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358165}",2019-04-12 13:32:29.734000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358283}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-12 13:32:29.734000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358283}",2019-04-13 13:35:23.753000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358331}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-13 13:35:23.753000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358331}",2019-04-14 13:34:13.430000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358356}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-14 13:34:13.430000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358356}",2019-04-15 13:36:36.132000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358405}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-15 13:36:36.132000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358405}",2019-04-16 13:40:11.017000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358488}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-16 13:40:11.017000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358488}",2019-04-17 13:38:50.353000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358577}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-17 13:38:50.353000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358577}",2019-04-18 13:35:19.476000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358663}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-18 13:35:19.476000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358663}",2019-04-19 13:35:04.782000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358755}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-19 13:35:04.782000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358755}",2019-04-20 13:35:52.596000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358816}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-20 13:35:52.596000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358816}",2019-04-21 13:36:02.509000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358850}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-21 13:36:02.509000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358850}",2019-04-22 13:36:27.863000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358884}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-22 13:36:27.863000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358884}",2019-04-23 13:37:48.776000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358985}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-23 13:37:48.776000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,358985}",2019-04-24 13:36:40.902000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359093}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-24 13:36:40.902000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359093}",2019-04-25 13:34:43.445000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359190}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-25 13:34:43.445000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359190}",2019-04-26 13:34:48.863000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359305}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-26 13:34:48.863000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359305}",2019-04-27 13:35:36.956000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359378}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-27 13:35:36.956000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359378}",2019-04-28 13:35:51.234000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359399}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-28 13:35:51.234000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359399}",2019-04-29 13:36:35.700000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359447}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-29 13:36:35.700000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359447}",2019-04-30 13:35:47.747000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359560}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
zlib-ng,2019-04-30 13:35:47.747000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359560}",2019-05-01 13:33:41.997000,"{zlib-ng,libfuzzer}","{098f73a45e1e346b7634b6caa15675095f764dfc,359679}",4878.0,6288.0,4878.0,6288.0,0.0,0.0
