project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
zxing,2021-08-30 08:57:36.772000,"{zxing,aflplusplus}","{d2027d0e0f210d35feda20902315e89dedf311ad,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-08-31 07:27:01.141000,"{zxing,aflplusplus}","{629ce38a5daebeefb43ea69202bdd16b4eb7245a,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",7356.0,10184.0,9620.0,11827.0,1643.0,9.108357851617157
zxing,2021-09-01 07:09:15.784000,"{zxing,aflplusplus}","{629ce38a5daebeefb43ea69202bdd16b4eb7245a,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-07 06:12:10.862000,"{zxing,aflplusplus}","{0235f355ff54efabbffd2586d9fd4112da14a29e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",9954.0,11827.0,10068.0,11793.0,-34.0,1.2093236726187513
zxing,2021-09-08 10:46:21.993000,"{zxing,aflplusplus}","{0235f355ff54efabbffd2586d9fd4112da14a29e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-10 07:34:24.308000,"{zxing,aflplusplus}","{91a423b0501d69c685a6b51aadaa55cc514299cb,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",8103.0,11793.0,8146.0,11793.0,0.0,0.3646230814890288
zxing,2021-09-11 09:27:44.972000,"{zxing,aflplusplus}","{91a423b0501d69c685a6b51aadaa55cc514299cb,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-12 06:46:39.077000,"{zxing,aflplusplus}","{c6a4e0fa97da88f586fa91baeae472f7f45dffae,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",7646.0,11793.0,10085.0,11795.0,2.0,20.667259843721467
zxing,2021-09-17 09:15:58.828000,"{zxing,aflplusplus}","{c6a4e0fa97da88f586fa91baeae472f7f45dffae,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-18 06:28:06.157000,"{zxing,aflplusplus}","{be2c5bdd883f9f42e794e4b0e7e1b30f436fc0a7,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10146.0,11795.0,10126.0,11795.0,0.0,-0.16956337431115287
zxing,2021-09-28 07:57:29.011000,"{zxing,aflplusplus}","{be2c5bdd883f9f42e794e4b0e7e1b30f436fc0a7,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-29 06:05:49.577000,"{zxing,aflplusplus}","{fc50fca12f12c44867b1aa07f8a2f7d328a2fd03,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10113.0,11782.0,10104.0,11782.0,0.0,-0.07638771006620004
zxing,2021-10-05 06:52:49.162000,"{zxing,aflplusplus}","{fc50fca12f12c44867b1aa07f8a2f7d328a2fd03,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-06 06:07:19.490000,"{zxing,aflplusplus}","{b51346c072723d6c3f14da17a0c842243af8a2ab,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10080.0,11782.0,10159.0,11791.0,9.0,0.6046995066179903
zxing,2021-10-07 08:51:59.817000,"{zxing,aflplusplus}","{b51346c072723d6c3f14da17a0c842243af8a2ab,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-08 10:05:54.302000,"{zxing,aflplusplus}","{af7831b5c7be38fa24d6ad732778f77bc8904fd5,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10140.0,11791.0,10151.0,11785.0,-6.0,0.1371223393780241
zxing,2021-10-09 11:06:59.294000,"{zxing,aflplusplus}","{af7831b5c7be38fa24d6ad732778f77bc8904fd5,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-12 07:10:07.224000,"{zxing,aflplusplus}","{f984496a10c365ca5577393ff6e718b7f8ed523a,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10152.0,11785.0,10193.0,11816.0,31.0,0.12098464103382867
zxing,2021-10-12 07:10:07.224000,"{zxing,aflplusplus}","{f984496a10c365ca5577393ff6e718b7f8ed523a,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-13 07:16:43.661000,"{zxing,aflplusplus}","{831ebac6e74ebf2e5d1f7c0185caabb20a4e9799,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10193.0,11816.0,10216.0,11816.0,0.0,0.19465132024373588
zxing,2021-10-15 08:48:27.676000,"{zxing,aflplusplus}","{831ebac6e74ebf2e5d1f7c0185caabb20a4e9799,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-18 08:39:29.444000,"{zxing,aflplusplus}","{128775149b7d1a432d7ba05464739d549dbcd2b8,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10224.0,11816.0,10246.0,11811.0,-5.0,0.22289676716567897
zxing,2021-10-18 08:39:29.444000,"{zxing,aflplusplus}","{128775149b7d1a432d7ba05464739d549dbcd2b8,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-21 09:23:09.136000,"{zxing,aflplusplus}","{c729abe393b9ace4beefe83b52add392853072c3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10246.0,11811.0,4.0,430.0,-11381.0,-85.81940760780746
zxing,2021-10-21 09:23:09.136000,"{zxing,aflplusplus}","{c729abe393b9ace4beefe83b52add392853072c3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-22 06:36:17.371000,"{zxing,aflplusplus}","{6c034f977505b058c7cf764b3d9b1abd068a725e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",4.0,430.0,4.0,430.0,0.0,0.0
zxing,2021-11-11 10:52:07.573000,"{zxing,aflplusplus}","{6c034f977505b058c7cf764b3d9b1abd068a725e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 08:46:04.212000,"{zxing,aflplusplus}","{c25029d29ad28c488db7166c5eaaf798c5ed2667,533e979010ca338df6fc415d87668f8187752915}",4.0,430.0,4.0,430.0,0.0,0.0
zxing,2021-11-15 07:03:37.046000,"{zxing,aflplusplus}","{c25029d29ad28c488db7166c5eaaf798c5ed2667,533e979010ca338df6fc415d87668f8187752915}",2021-11-16 09:37:31.587000,"{zxing,aflplusplus}","{21eb978d6732714751ffee4c74edb8479260340f,533e979010ca338df6fc415d87668f8187752915}",4.0,430.0,4.0,430.0,0.0,0.0
zxing,2021-11-17 08:45:52.120000,"{zxing,aflplusplus}","{21eb978d6732714751ffee4c74edb8479260340f,533e979010ca338df6fc415d87668f8187752915}",2021-11-18 08:11:39.074000,"{zxing,aflplusplus}","{21eb978d6732714751ffee4c74edb8479260340f,132630d48d0f9fe50e9388f941433c85636587da}",4.0,430.0,4.0,430.0,0.0,0.0
zxing,2021-11-19 07:16:30.590000,"{zxing,aflplusplus}","{21eb978d6732714751ffee4c74edb8479260340f,132630d48d0f9fe50e9388f941433c85636587da}",2021-11-20 08:03:30.125000,"{zxing,aflplusplus}","{21eb978d6732714751ffee4c74edb8479260340f,7777045c09c404b1274c930788317525fedb43ad}",4.0,430.0,4.0,430.0,0.0,0.0
