Iteration,G1_Total_Projects,G1_Detected_Count,G1_Detection_Rate_pct,G2_Total_Projects,G2_Detected_Count,G2_Detection_Rate_pct
1,633,211,33.33333333333333,144,51,35.41666666666667
2,633,113,17.851500789889414,144,34,23.61111111111111
3,633,90,14.218009478672986,144,33,22.916666666666664
4,633,99,15.639810426540285,144,34,23.61111111111111
5,633,47,7.424960505529225,144,29,20.13888888888889
6,633,56,8.846761453396525,144,22,15.277777777777779
7,633,53,8.372827804107425,144,23,15.972222222222221
8,633,47,7.424960505529225,144,19,13.194444444444445
9,633,56,8.846761453396525,144,17,11.805555555555555
10,633,44,6.9510268562401265,144,17,11.805555555555555
11,633,41,6.477093206951026,144,13,9.027777777777777
12,633,38,6.003159557661927,144,18,12.5
13,633,26,4.107424960505529,144,19,13.194444444444445
14,633,37,5.845181674565561,144,12,8.333333333333332
15,633,25,3.949447077409163,144,15,10.416666666666668
16,633,30,4.739336492890995,144,16,11.11111111111111
17,633,35,5.529225908372828,144,18,12.5
18,633,23,3.6334913112164293,144,9,6.25
19,633,24,3.7914691943127963,144,11,7.638888888888889
20,633,21,3.3175355450236967,144,16,11.11111111111111
21,633,30,4.739336492890995,144,11,7.638888888888889
22,633,29,4.581358609794629,144,13,9.027777777777777
23,633,26,4.107424960505529,144,9,6.25
24,633,23,3.6334913112164293,144,14,9.722222222222223
25,633,23,3.6334913112164293,144,10,6.944444444444445
26,633,22,3.4755134281200633,144,10,6.944444444444445
27,633,22,3.4755134281200633,144,14,9.722222222222223
28,633,23,3.6334913112164293,144,13,9.027777777777777
29,633,18,2.843601895734597,144,11,7.638888888888889
30,633,19,3.0015797788309637,144,8,5.555555555555555
31,633,27,4.265402843601896,144,12,8.333333333333332
32,633,21,3.3175355450236967,144,8,5.555555555555555
33,633,19,3.0015797788309637,144,4,2.7777777777777777
34,633,18,2.843601895734597,144,12,8.333333333333332
35,633,24,3.7914691943127963,144,8,5.555555555555555
36,633,27,4.265402843601896,144,8,5.555555555555555
37,633,20,3.15955766192733,144,9,6.25
38,633,13,2.0537124802527646,144,14,9.722222222222223
39,633,20,3.15955766192733,144,8,5.555555555555555
40,633,14,2.211690363349131,144,12,8.333333333333332
41,633,20,3.15955766192733,144,11,7.638888888888889
42,633,25,3.949447077409163,144,9,6.25
43,633,13,2.0537124802527646,144,10,6.944444444444445
44,633,26,4.107424960505529,144,12,8.333333333333332
45,633,11,1.7377567140600316,144,9,6.25
46,633,17,2.6856240126382307,144,10,6.944444444444445
47,633,14,2.211690363349131,144,11,7.638888888888889
48,633,18,2.843601895734597,144,8,5.555555555555555
49,633,20,3.15955766192733,144,8,5.555555555555555
50,633,13,2.0537124802527646,144,5,3.4722222222222223
51,633,16,2.527646129541864,144,5,3.4722222222222223
52,633,24,3.7914691943127963,144,9,6.25
53,633,10,1.579778830963665,144,8,5.555555555555555
54,633,19,3.0015797788309637,144,9,6.25
55,633,15,2.3696682464454977,144,6,4.166666666666666
56,633,19,3.0015797788309637,144,9,6.25
57,633,12,1.8957345971563981,144,5,3.4722222222222223
58,633,11,1.7377567140600316,144,7,4.861111111111112
59,633,15,2.3696682464454977,144,4,2.7777777777777777
60,633,22,3.4755134281200633,144,6,4.166666666666666
61,633,15,2.3696682464454977,144,6,4.166666666666666
62,633,9,1.4218009478672986,144,4,2.7777777777777777
63,633,12,1.8957345971563981,144,8,5.555555555555555
64,633,12,1.8957345971563981,144,8,5.555555555555555
65,633,11,1.7377567140600316,144,9,6.25
66,633,25,3.949447077409163,144,10,6.944444444444445
67,633,13,2.0537124802527646,144,12,8.333333333333332
68,633,16,2.527646129541864,144,9,6.25
69,633,15,2.3696682464454977,144,9,6.25
70,633,16,2.527646129541864,144,10,6.944444444444445
71,633,21,3.3175355450236967,144,9,6.25
72,633,15,2.3696682464454977,144,9,6.25
73,633,17,2.6856240126382307,144,8,5.555555555555555
74,633,16,2.527646129541864,144,8,5.555555555555555
75,633,8,1.263823064770932,144,7,4.861111111111112
76,633,16,2.527646129541864,144,7,4.861111111111112
77,633,16,2.527646129541864,144,6,4.166666666666666
78,633,13,2.0537124802527646,144,8,5.555555555555555
79,633,20,3.15955766192733,144,4,2.7777777777777777
80,633,15,2.3696682464454977,144,5,3.4722222222222223
81,633,17,2.6856240126382307,144,8,5.555555555555555
82,633,11,1.7377567140600316,144,7,4.861111111111112
83,633,17,2.6856240126382307,144,4,2.7777777777777777
84,633,10,1.579778830963665,144,5,3.4722222222222223
85,633,16,2.527646129541864,144,6,4.166666666666666
86,633,23,3.6334913112164293,144,8,5.555555555555555
87,633,19,3.0015797788309637,144,5,3.4722222222222223
88,633,18,2.843601895734597,144,6,4.166666666666666
89,633,14,2.211690363349131,144,2,1.3888888888888888
90,633,14,2.211690363349131,144,8,5.555555555555555
91,633,19,3.0015797788309637,144,1,0.6944444444444444
